武器,聖遺物セット,聖遺物メイン,バフキャラ,通常期待値,スキル期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
有楽御簾切(効果二倍),華館4,防御%、防御%、会心率,ゴロー+鍾離,173139.5,44578.79,1176,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,防御%、防御%、会心ダメージ,ゴロー+鍾離,173139.5,44578.79,1176,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、元素バフ、防御%,ゴロー+鍾離,173093.2,34541.32,1331.7,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),ファントムハンター,防御%、防御%、会心率,ゴロー+鍾離,172408.7,40390.35,1176,16218,0.35,4.208,0,1.00:3.21,3.21,a,0.08700001,0,0,0
有楽御簾切(効果二倍),ファントムハンター,防御%、防御%、会心ダメージ,ゴロー+鍾離,172408.7,40390.35,1176,16218,0.35,4.208,0,1.00:3.21,3.21,a,0.398,0,0,0
有楽御簾切,華館4,防御%、元素バフ、会心率,ゴロー+鍾離,171863.6,41412.3,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,171863.6,41412.3,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切,ファントムハンター,防御%、元素バフ、防御%,ゴロー+鍾離,171627,38670.89,1176,16218,0.816,3.586,0,1.00:2.59,2.59,a,0.398,0,0,0
有楽御簾切(効果二倍),ファントムハンター,防御%、防御%、防御%,ゴロー+鍾離,171423.4,41003.05,1176,16218,0.35,3.586,0,1.00:2.59,2.59,a,0.398,0,0,0
有楽御簾切,ファントムハンター,防御%、元素バフ、会心率,ゴロー+鍾離,167814.2,36699.69,1176,16218,0.816,4.208,0,1.00:3.21,3.21,a,0.08700001,0,0,0
有楽御簾切,ファントムハンター,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,167814.2,36699.69,1176,16218,0.816,4.208,0,1.00:3.21,3.21,a,0.398,0,0,0
有楽御簾切(効果二倍),剣闘士4,防御%、元素バフ、会心率,ゴロー+鍾離,165966.6,33971.27,1331.7,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),剣闘士4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,165966.6,33971.27,1331.7,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、元素バフ、会心率,ゴロー+鍾離,165926.3,33971.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,165926.3,33971.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、防御%、防御%,ゴロー+鍾離,165857,32796.09,1331.7,16218,0.35,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,しめ縄4,防御%、元素バフ、会心率,ゴロー+鍾離,165299,30420.27,1331.7,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,しめ縄4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,165299,30420.27,1331.7,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切,華館4,防御%、元素バフ、防御%,ゴロー+鍾離,165185.6,40660.2,1176,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館+悠久,防御%、元素バフ、会心率,ゴロー+鍾離,164971.1,40594.63,1176,16218,0.966,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館+悠久,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,164971.1,40594.63,1176,16218,0.966,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館+ファントム,防御%、元素バフ、会心率,ゴロー+鍾離,164971.1,38105.18,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館+ファントム,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,164971.1,38105.18,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、元素バフ、防御%,ゴロー+鍾離,163748.6,34541.32,1176,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),剣闘士4,防御%、元素バフ、防御%,ゴロー+鍾離,163243.4,34541.32,1331.7,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,防御%、防御%、防御%,ゴロー+鍾離,162940.1,42613.8,1176,16218,0.59,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,しめ縄4,防御%、元素バフ、防御%,ゴロー+鍾離,162586.8,30930.73,1331.7,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、防御%、会心率,ゴロー+鍾離,162539.5,33479.45,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、防御%、会心ダメージ,ゴロー+鍾離,162539.5,33479.45,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),ファントムハンター,攻撃%、元素バフ、防御%,ゴロー+鍾離,161877,34925.74,1579.09,16218,0.816,3.586,0,1.00:2.59,2.59,a,0.398,0,0,0
有楽御簾切(効果二倍),ファントムハンター,防御%、元素バフ、攻撃%,ゴロー+鍾離,161877,34925.74,1579.09,16218,0.816,3.586,0,1.00:2.59,2.59,a,0.398,0,0,0
有楽御簾切(効果二倍),華館4,攻撃%、元素バフ、会心率,ゴロー+鍾離,161357.6,36867.82,1579.09,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離,161357.6,36867.82,1579.09,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),剣闘士4,防御%、防御%、会心率,ゴロー+鍾離,161304.4,33479.45,1331.7,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),剣闘士4,防御%、防御%、会心ダメージ,ゴロー+鍾離,161304.4,33479.45,1331.7,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切,しめ縄4,防御%、防御%、会心率,ゴロー+鍾離,160505.8,29088.71,1331.7,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,しめ縄4,防御%、防御%、会心ダメージ,ゴロー+鍾離,160505.8,29088.71,1331.7,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館+悠久,防御%、元素バフ、防御%,ゴロー+鍾離,160271.4,40419.4,1176,16218,0.966,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館+ファントム,防御%、元素バフ、防御%,ゴロー+鍾離,160271.4,37940.7,1176,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),沈淪4,防御%、元素バフ、会心率,ゴロー+鍾離,159383.5,33971.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),沈淪4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,159383.5,33971.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切,華館4,防御%、防御%、会心率,ゴロー+鍾離,158635.6,39410.23,1176,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,華館4,防御%、防御%、会心ダメージ,ゴロー+鍾離,158635.6,39410.23,1176,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,攻撃%、元素バフ、防御%,ゴロー+鍾離,158269,37613.73,1579.09,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、攻撃%,ゴロー+鍾離,158269,37613.73,1579.09,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),沈淪4,防御%、元素バフ、防御%,ゴロー+鍾離,157291.6,34541.32,1176,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,ファントムハンター,防御%、防御%、会心率,ゴロー+鍾離,157251.9,35093.26,1176,16218,0.35,4.208,0,1.00:3.21,3.21,a,0.08700001,0,0,0
有楽御簾切,ファントムハンター,防御%、防御%、会心ダメージ,ゴロー+鍾離,157251.9,35093.26,1176,16218,0.35,4.208,0,1.00:3.21,3.21,a,0.398,0,0,0
有楽御簾切,ファントムハンター,防御%、防御%、防御%,ゴロー+鍾離,156353.2,35625.6,1176,16218,0.35,3.586,0,1.00:2.59,2.59,a,0.398,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、防御%、防御%,ゴロー+鍾離,155946.3,32796.09,1176,16218,0.35,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,砂上4,防御%、元素バフ、会心率,ゴロー+鍾離,155457.8,30420.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,砂上4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,155457.8,30420.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切,剣闘士4,防御%、元素バフ、会心率,ゴロー+鍾離,155285,30420.27,1331.7,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,剣闘士4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,155285,30420.27,1331.7,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館+悠久,防御%、防御%、会心率,ゴロー+鍾離,155171.3,39788.62,1176,16218,0.5,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館+悠久,防御%、防御%、会心ダメージ,ゴロー+鍾離,155171.3,39788.62,1176,16218,0.5,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館+ファントム,防御%、防御%、会心率,ゴロー+鍾離,155171.3,36774.33,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館+ファントム,防御%、防御%、会心ダメージ,ゴロー+鍾離,155171.3,36774.33,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,攻撃%、防御%、会心率,ゴロー+鍾離,154718.8,37336,1579.09,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,攻撃%、防御%、会心ダメージ,ゴロー+鍾離,154718.8,37336,1579.09,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,防御%、攻撃%、会心率,ゴロー+鍾離,154718.8,37336,1579.09,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,防御%、攻撃%、会心ダメージ,ゴロー+鍾離,154718.8,37336,1579.09,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),沈淪4,防御%、防御%、会心率,ゴロー+鍾離,154687.4,33479.45,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),沈淪4,防御%、防御%、会心ダメージ,ゴロー+鍾離,154687.4,33479.45,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),剣闘士4,防御%、防御%、防御%,ゴロー+鍾離,154392.3,32796.09,1331.7,16218,0.35,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
黎明の神剣,華館4,防御%、元素バフ、会心率,ゴロー+鍾離,153966,36074.48,1035,16218,1.056,3.635,0,1.00:2.64,2.64,a,0.167,0,0,0
黎明の神剣,華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,153966,36074.48,1035,16218,1.056,3.635,0,1.00:2.64,2.64,a,0.478,0,0,0
有楽御簾切(効果二倍),ファントムハンター,攻撃%、元素バフ、会心率,ゴロー+鍾離,153845.7,31291.85,1579.09,16218,0.816,4.208,0,1.00:3.21,3.21,a,0.08700001,0,0,0
有楽御簾切(効果二倍),ファントムハンター,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離,153845.7,31291.85,1579.09,16218,0.816,4.208,0,1.00:3.21,3.21,a,0.398,0,0,0
有楽御簾切(効果二倍),ファントムハンター,防御%、元素バフ、HP%,ゴロー+鍾離,153771.6,34925.74,1176,21548.11,0.816,3.586,0,1.00:2.59,2.59,a,0.398,0,0,0
有楽御簾切(効果二倍),ファントムハンター,防御%、元素バフ、元素熟知,ゴロー+鍾離,153771.6,34925.74,1176,16218,0.816,3.586,187,1.00:2.59,2.59,a,0.398,0,0,0
有楽御簾切(効果二倍),ファントムハンター,防御%、元素バフ、治癒効果,ゴロー+鍾離,153771.6,34925.74,1176,16218,0.816,3.586,0,1.00:2.59,2.59,a,0.398,0,0,0
有楽御簾切(効果二倍),ファントムハンター,HP%、元素バフ、防御%,ゴロー+鍾離,153771.6,34925.74,1176,21548.11,0.816,3.586,0,1.00:2.59,2.59,a,0.398,0,0,0
有楽御簾切(効果二倍),ファントムハンター,元素熟知、元素バフ、防御%,ゴロー+鍾離,153771.6,34925.74,1176,16218,0.816,3.586,187,1.00:2.59,2.59,a,0.398,0,0,0
有楽御簾切(効果二倍),ファントムハンター,元チャ、元素バフ、防御%,ゴロー+鍾離,153771.6,34925.74,1176,16218,0.816,3.586,0,1.00:2.59,2.59,a,0.398,0,0,0
萃光の裁葉,華館4,防御%、元素バフ、会心率,ゴロー+鍾離,153665.3,35409.57,1176,16218,1.056,3.568,0,1.00:2.57,2.57,a,0.407,0,0,0
萃光の裁葉,華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,153665.3,35409.57,1176,16218,1.056,3.568,0,1.00:2.57,2.57,a,0.718,0,0,0
有楽御簾切,しめ縄4,防御%、防御%、防御%,ゴロー+鍾離,153627.9,28494.96,1331.7,16218,0.35,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,華館+悠久,防御%、元素バフ、会心率,ゴロー+鍾離,153424.6,36611.51,1176,16218,0.966,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,華館+悠久,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,153424.6,36611.51,1176,16218,0.966,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切,華館+ファントム,防御%、元素バフ、会心率,ゴロー+鍾離,153424.6,34122.06,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,華館+ファントム,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,153424.6,34122.06,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切,砂上4,防御%、元素バフ、防御%,ゴロー+鍾離,153417.5,30930.73,1176,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),ファントムハンター,攻撃%、防御%、防御%,ゴロー+鍾離,153377.5,34420.11,1579.09,16218,0.35,3.586,0,1.00:2.59,2.59,a,0.398,0,0,0
有楽御簾切(効果二倍),ファントムハンター,防御%、攻撃%、防御%,ゴロー+鍾離,153377.5,34420.11,1579.09,16218,0.35,3.586,0,1.00:2.59,2.59,a,0.398,0,0,0
有楽御簾切(効果二倍),ファントムハンター,防御%、防御%、攻撃%,ゴロー+鍾離,153377.5,34420.11,1579.09,16218,0.35,3.586,0,1.00:2.59,2.59,a,0.398,0,0,0
黎明の神剣,ファントムハンター,防御%、元素バフ、防御%,ゴロー+鍾離,153227.4,33224.07,1035,16218,0.816,3.733,0,1.00:2.73,2.73,a,0.118,0,0,0
有楽御簾切(効果二倍),華館4,HP%、元素バフ、会心率,ゴロー+鍾離,153163.3,36867.82,1176,21548.11,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,HP%、元素バフ、会心ダメージ,ゴロー+鍾離,153163.3,36867.82,1176,21548.11,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,元素熟知、元素バフ、会心率,ゴロー+鍾離,153163.3,36867.82,1176,16218,1.056,3.488,187,1.00:2.49,2.49,a,0.447,0,0,0
