武器,聖遺物セット,聖遺物メイン,バフキャラ,通常期待値,スキル期待値,攻撃力,防御力,バフ,会心ダメ期待値,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
有楽御簾切(効果二倍),しめ縄4,防御%+岩バフ+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,278926,31419,1331.7,2931.048,2.486,2.868245,0.97:1.93,2.00,,0.72:0.15,0,0,1.6
有楽御簾切(効果二倍),残響4,防御%+岩バフ+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,278926,36662,1331.7,2931.048,2.486,2.868245,0.97:1.93,2.00,,0.72:0.15,0,0,1.6
有楽御簾切(効果二倍),剣闘士4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,277863,32112,1331.7,2375.449,2.336,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),しめ縄4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,276708,30602,1331.7,2375.449,2.486,3.244,1.00:2.24,2.24,,0.57:0.46,0,0,1.6
有楽御簾切(効果二倍),残響4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,276708,35709,1331.7,2375.449,2.486,3.244,1.00:2.24,2.24,,0.57:0.46,0,0,1.6
有楽御簾切(効果二倍),ファントム+華館,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,276308,33608,1176,2661.349,2.136,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,275068,36051,1176,3445.668,1.76,3.244,1.00:2.24,2.24,,0.57:0.46,0,0,1.6
霧切(完凸),剣闘士4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,274177,30991,1487.46,2740.448,2.35,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),剣闘士4,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,274177,30991,1487.46,2740.448,2.35,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),ファントム+華館,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,273365,32266,1308,2470.749,2.616,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),ファントム+華館,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,273365,32266,1308,2470.749,2.616,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
有楽御簾切(効果二倍),しめ縄4,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,273296,30008,1331.7,2931.048,2.02,3.244,1.00:2.24,2.24,,0.57:0.46,0,0,1.6
有楽御簾切(効果二倍),残響4,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,273296,35938,1331.7,2931.048,2.02,3.244,1.00:2.24,2.24,,0.57:0.46,0,0,1.6
霧切(完凸),剣闘士4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,272774,30971,1487.46,2184.849,2.816,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),剣闘士4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,272774,30971,1487.46,2184.849,2.816,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),華館4,防御%+岩バフ+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,272761,34509,1308,3255.068,2.706,2.466328,0.86:1.71,2.00,,0.61:0.37,0,0,1.6
有楽御簾切(効果二倍),ファントム4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,272609,32762,1176,2375.449,2.136,3.604,1.00:2.60,2.60,,0.70:0.20,0,0,1.6
有楽御簾切(効果二倍),ファントム4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,272609,32762,1176,2375.449,2.136,3.604,1.00:2.60,2.60,,0.39:0.82,0,0,1.6
有楽御簾切(効果二倍),剣闘士4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,272531,31488,1331.7,2931.048,1.87,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),ファントム4,防御%+防御%+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,272340,33736,1176,3486.647,1.67,3.293,1.00:2.29,2.29,,0.54:0.51,0,0,1.6
有楽御簾切(効果二倍),華館4,攻撃%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,272009,36274,1579.09,2334.47,2.226,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),しめ縄4,防御%+防御%+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,271328,30214,1331.7,3486.647,2.02,2.868245,0.97:1.93,2.00,,0.72:0.15,0,0,1.6
有楽御簾切(効果二倍),残響4,防御%+防御%+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,271328,36186,1331.7,3486.647,2.02,2.868245,0.97:1.93,2.00,,0.72:0.15,0,0,1.6
霧切(完凸),ファントム+華館,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,270778,32106,1308,3026.348,2.15,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),ファントム+華館,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,270778,32106,1308,3026.348,2.15,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+防御%+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,270339,35907,1176,4001.267,1.76,2.868245,0.97:1.93,2.00,,0.72:0.15,0,0,1.6
霧切(完凸),ファントム4,攻撃%+岩バフ+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,269761,33608,1772.602,2184.849,2.616,3.0725,1.00:2.07,2.07,,0.43:0.73,0,0,1.6
霧切(完凸),華館4,攻撃%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,269233,35063,1772.602,2143.87,2.706,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),華館4,攻撃%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,269233,35063,1772.602,2143.87,2.706,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),華館4,攻撃%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,268954,35210,1772.602,2699.469,2.24,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),華館4,攻撃%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,268954,35210,1772.602,2699.469,2.24,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),ファントム4,攻撃%+防御%+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,268167,33329,1772.602,2740.448,2.15,3.0725,1.00:2.07,2.07,,0.43:0.73,0,0,1.6
有楽御簾切(効果二倍),剣闘士4,防御%+岩バフ+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,266924,31419,1331.7,2931.048,2.336,2.868245,0.97:1.93,2.00,,0.72:0.15,0,0,1.6
有楽御簾切(効果二倍),しめ縄+華館,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,266636,34775,1331.7,2661.349,1.986,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),華館+剣闘士,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,266636,34775,1331.7,2661.349,1.986,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),華館+残響,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,266636,34775,1331.7,2661.349,1.986,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),ファントム+華館,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,266399,32751,1176,3216.948,1.67,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
霧切(完凸),しめ縄+華館,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,266237,33589,1487.46,2470.749,2.466,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),しめ縄+華館,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,266237,33589,1487.46,2470.749,2.466,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),華館+剣闘士,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,266237,33589,1487.46,2470.749,2.466,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),華館+剣闘士,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,266237,33589,1487.46,2470.749,2.466,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),華館+残響,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,266237,33589,1487.46,2470.749,2.466,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),華館+残響,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,266237,33589,1487.46,2470.749,2.466,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),華館4,防御%+防御%+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,265851,33854,1308,3810.667,2.24,2.466328,0.86:1.71,2.00,,0.61:0.37,0,0,1.6
有楽御簾切(効果二倍),ファントム4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,265081,32294,1176,2931.048,1.67,3.604,1.00:2.60,2.60,,0.70:0.20,0,0,1.6
有楽御簾切(効果二倍),ファントム4,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,265081,32294,1176,2931.048,1.67,3.604,1.00:2.60,2.60,,0.39:0.82,0,0,1.6
有楽御簾切(効果二倍),華館4,攻撃%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,264917,35836,1579.09,2890.069,1.76,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),剣闘士4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,264802,30602,1331.7,2375.449,2.336,3.244,1.00:2.24,2.24,,0.57:0.46,0,0,1.6
霧切(完凸),しめ縄4,防御%+岩バフ+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,264777,29414,1487.46,2740.448,2.966,2.466328,0.86:1.71,2.00,,0.61:0.37,0,0,1.6
霧切(完凸),残響4,防御%+岩バフ+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,264777,33849,1487.46,2740.448,2.966,2.466328,0.86:1.71,2.00,,0.61:0.37,0,0,1.6
有楽御簾切(効果二倍),ファントム+華館,防御%+岩バフ+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,263649,32679,1176,3216.948,2.136,2.868245,0.97:1.93,2.00,,0.72:0.15,0,0,1.6
有楽御簾切(効果二倍),ファントム+華館,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,263321,32028,1176,2661.349,2.136,3.244,1.00:2.24,2.24,,0.57:0.46,0,0,1.6
霧切(完凸),しめ縄4,防御%+防御%+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,263252,28847,1487.46,3296.047,2.5,2.466328,0.86:1.71,2.00,,0.61:0.37,0,0,1.6
霧切(完凸),残響4,防御%+防御%+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,263252,33908,1487.46,3296.047,2.5,2.466328,0.86:1.71,2.00,,0.61:0.37,0,0,1.6
霧切(完凸),しめ縄+華館,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,261529,33242,1487.46,3026.348,2,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),しめ縄+華館,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,261529,33242,1487.46,3026.348,2,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),華館+剣闘士,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,261529,33242,1487.46,3026.348,2,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),華館+剣闘士,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,261529,33242,1487.46,3026.348,2,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),華館+残響,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,261529,33242,1487.46,3026.348,2,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),華館+残響,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,261529,33242,1487.46,3026.348,2,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
有楽御簾切(効果二倍),しめ縄+ファントム,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,261204,32112,1331.7,2375.449,2.136,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),ファントム+剣闘士,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,261204,32112,1331.7,2375.449,2.136,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),ファントム+残響,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,261204,32112,1331.7,2375.449,2.136,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
霧切(完凸),しめ縄4,攻撃%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,261196,29561,1952.062,2184.849,2.5,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),しめ縄4,攻撃%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,261196,29561,1952.062,2184.849,2.5,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),残響4,攻撃%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,261196,34747,1952.062,2184.849,2.5,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),残響4,攻撃%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,261196,34747,1952.062,2184.849,2.5,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
有楽御簾切(効果二倍),華館4,攻撃%+岩バフ+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,260910,35276,1579.09,2890.069,2.226,2.868245,0.97:1.93,2.00,,0.72:0.15,0,0,1.6
有楽御簾切(効果二倍),しめ縄4,攻撃%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,260822,29669,1734.79,2375.449,2.02,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),残響4,攻撃%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,260822,35532,1734.79,2375.449,2.02,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),しめ縄4,攻撃%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,260399,29957,1734.79,1819.85,2.486,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),残響4,攻撃%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,260399,34956,1734.79,1819.85,2.486,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),剣闘士4,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,259722,30008,1331.7,2931.048,1.87,3.244,1.00:2.24,2.24,,0.57:0.46,0,0,1.6
有楽御簾切(効果二倍),華館4,攻撃%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,259223,34569,1579.09,2334.47,2.226,3.244,1.00:2.24,2.24,,0.57:0.46,0,0,1.6
霧切(完凸),ファントム4,攻撃%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,258783,31809,1772.602,2184.849,2.15,3.3835,1.00:2.38,2.38,,0.59:0.42,0,0,1.6
霧切(完凸),ファントム4,攻撃%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,258783,31809,1772.602,2184.849,2.15,3.3835,1.00:2.38,2.38,,0.28:1.04,0,0,1.6
霧切(完凸),華館4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+雲菫+鍾離,258563,31846,1308,2699.469,1.956,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),華館4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+雲菫+鍾離,258563,31846,1308,2699.469,1.956,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),しめ縄+ファントム,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,258477,30971,1487.46,2184.849,2.616,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),しめ縄+ファントム,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,258477,30971,1487.46,2184.849,2.616,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),ファントム+剣闘士,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,258477,30971,1487.46,2184.849,2.616,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),ファントム+剣闘士,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,258477,30971,1487.46,2184.849,2.616,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),ファントム+残響,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,258477,30971,1487.46,2184.849,2.616,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),ファントム+残響,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,258477,30971,1487.46,2184.849,2.616,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
有楽御簾切(効果二倍),ファントム4,攻撃%+岩バフ+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,258409,32858,1579.09,2375.449,2.136,3.293,1.00:2.29,2.29,,0.54:0.51,0,0,1.6
静水流転の輝き,華館4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,258369,33963,1176,2699.469,1.906,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),剣闘士4,防御%+防御%+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,257851,30214,1331.7,3486.647,1.87,2.868245,0.97:1.93,2.00,,0.72:0.15,0,0,1.6
霧切(完凸),しめ縄+ファントム,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,257809,30991,1487.46,2740.448,2.15,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),しめ縄+ファントム,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,257809,30991,1487.46,2740.448,2.15,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),ファントム+剣闘士,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,257809,30991,1487.46,2740.448,2.15,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),ファントム+剣闘士,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,257809,30991,1487.46,2740.448,2.15,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),ファントム+残響,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,257809,30991,1487.46,2740.448,2.15,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
