武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,防御力,バフ合計,バフ共通,元素バフ,バフ落下,パーティ元素,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
赤角石塵滅砕,ファントム4,防御%+防御%+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),213762,4385.529,2831.804,2.1,1.05,0.9,0,Hydro:1、Geo:3、,1.00:2.41,2.41,,0.49:0.63,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+防御%+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),213762,4385.529,2831.804,2.1,1.05,0.9,0,Hydro:1、Geo:3、,1.00:2.41,2.41,,0.80:0.01,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+岩バフ+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),213748,3835.865,2365.987,2.566,1.05,1.366,0,Hydro:1、Geo:3、,1.00:2.41,2.41,,0.49:0.63,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),213748,3835.865,2365.987,2.566,1.05,1.366,0,Hydro:1、Geo:3、,1.00:2.41,2.41,,0.80:0.01,0,0,1.6
赤角石塵滅砕,残響4,防御%+岩バフ+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族),212880,4959.405,2365.987,2.166,0.3,1.866,0,Pyro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,華館4,防御%+岩バフ+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族),212454,5336.587,2797.447,1.906,0.3,1.606,0,Pyro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,残響4,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族),212280,4959.405,2365.987,2.166,0.3,1.866,0,Pyro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,華館4,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族),211855,5336.587,2797.447,1.906,0.3,1.606,0,Pyro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,剣闘士4,防御%+防御%+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),208824,4517.469,2831.804,2.3,1.05,0.9,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,華館4,防御%+岩バフ+防御%,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),208302,4894.651,3263.264,2.656,1.05,1.606,0,Hydro:1、Geo:3、,0.85:1.78,2.10,,0.80:0.00,0,0,1.6
赤角石塵滅砕,剣闘士4,防御%+防御%+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),208235,4517.469,2831.804,2.3,1.05,0.9,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,剣闘士4,防御%+岩バフ+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),207944,3967.805,2365.987,2.766,1.05,1.366,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,剣闘士4,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),207358,3967.805,2365.987,2.766,1.05,1.366,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,ファントム+華館,防御%+岩バフ+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),205993,4118.71,2605.687,2.566,1.05,1.366,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,ファントム+華館,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),205412,4118.71,2605.687,2.566,1.05,1.366,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,残響4,防御%+岩バフ+防御%,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),204178,4517.469,2831.804,2.916,1.05,1.866,0,Hydro:1、Geo:3、,0.85:1.78,2.10,,0.80:0.00,0,0,1.6
赤角石塵滅砕,ファントム+華館,防御%+防御%+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),204071,4668.375,3071.504,2.1,1.05,0.9,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,ファントム+華館,防御%+防御%+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),203496,4668.375,3071.504,2.1,1.05,0.9,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,残響4,防御%+防御%+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族),203319,5509.069,2831.804,1.7,0.3,1.4,0,Pyro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,華館4,防御%+防御%+防御%,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),202947,5444.315,3729.081,2.19,1.05,1.14,0,Hydro:1、Geo:3、,0.85:1.78,2.10,,0.80:0.00,0,0,1.6
赤角石塵滅砕,残響4,防御%+防御%+防御%,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),202804,5067.133,3297.621,2.45,1.05,1.4,0,Hydro:1、Geo:3、,0.85:1.78,2.10,,0.80:0.00,0,0,1.6
赤角石塵滅砕,剣闘士4,防御%+岩バフ+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族),202794,4959.405,2365.987,2.016,0.3,1.366,0,Pyro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,華館+剣闘士,防御%+岩バフ+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),202793,4250.651,2605.687,2.416,1.05,1.366,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,華館+残響,防御%+岩バフ+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),202793,4250.651,2605.687,2.416,1.05,1.366,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,残響4,防御%+防御%+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族),202746,5509.069,2831.804,1.7,0.3,1.4,0,Pyro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,剣闘士4,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族),202223,4959.405,2365.987,2.016,0.3,1.366,0,Pyro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,華館+剣闘士,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),202221,4250.651,2605.687,2.416,1.05,1.366,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,華館+残響,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),202221,4250.651,2605.687,2.416,1.05,1.366,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,華館4,防御%+岩バフ+会心率,イアンサ(灰燼以外、爆発lv10)+ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上),201827,5034.987,2797.447,1.906,0.3,1.606,0,Electro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,残響4,防御%+岩バフ+会心率,イアンサ(灰燼以外、爆発lv10)+ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上),201302,4657.805,2365.987,2.166,0.3,1.866,0,Electro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,華館4,防御%+岩バフ+会心ダメージ,イアンサ(灰燼以外、爆発lv10)+ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上),201258,5034.987,2797.447,1.906,0.3,1.606,0,Electro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,残響4,防御%+岩バフ+会心ダメージ,イアンサ(灰燼以外、爆発lv10)+ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上),200735,4657.805,2365.987,2.166,0.3,1.866,0,Electro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,華館+剣闘士,防御%+防御%+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),198916,4800.314,3071.504,1.95,1.05,0.9,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,華館+残響,防御%+防御%+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),198916,4800.314,3071.504,1.95,1.05,0.9,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,華館4,防御%+岩バフ+会心率,ゴロー(6凸)+シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル),198894,4344.987,2797.447,2.256,1.05,1.206,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+岩バフ+防御%,ゴロー(6凸)+シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル),198414,4385.529,2831.804,2.166,1.05,0.966,0,Hydro:1、Geo:3、,1.00:2.10,2.10,,0.64:0.32,0,0,1.6
赤角石塵滅砕,華館+剣闘士,防御%+防御%+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),198356,4800.314,3071.504,1.95,1.05,0.9,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,華館+残響,防御%+防御%+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),198356,4800.314,3071.504,1.95,1.05,0.9,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,華館4,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル),198333,4344.987,2797.447,2.256,1.05,1.206,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+岩バフ+防御%,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,198127,3632.984,2194.054,2.566,0.9,1.366,0,Hydro:1、Geo:3、,0.95:1.90,2.00,,0.54:0.52,0,0,1.6
赤角石塵滅砕,華館4,防御%+防御%+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族),198061,5886.251,3263.264,1.44,0.3,1.14,0,Pyro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,華館4,防御%+防御%+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族),197503,5886.251,3263.264,1.44,0.3,1.14,0,Pyro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,華館+長き夜の誓い,防御%+岩バフ+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),197328,4118.71,2605.687,2.416,1.05,1.366,0.25,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+防御%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,197094,3632.984,2194.054,2.1,0.9,0.9,0,Hydro:1、Geo:3、,1.00:2.21,2.21,,0.39:0.83,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+防御%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,197094,3632.984,2194.054,2.1,0.9,0.9,0,Hydro:1、Geo:3、,1.00:2.21,2.21,,0.70:0.21,0,0,1.6
赤角石塵滅砕,ファントム+剣闘士,防御%+岩バフ+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),196901,3967.805,2365.987,2.566,1.05,1.366,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,ファントム+残響,防御%+岩バフ+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),196901,3967.805,2365.987,2.566,1.05,1.366,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+岩バフ+防御%,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),196868,4624.583,2194.054,2.416,0.9,1.366,0,Pyro:1、Hydro:1、Geo:2、,0.95:1.90,2.00,,0.54:0.52,0,0,1.6
赤角石塵滅砕,華館+長き夜の誓い,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),196772,4118.71,2605.687,2.416,1.05,1.366,0.25,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,ファントム+華館,防御%+岩バフ+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族),196526,5110.311,2605.687,1.816,0.3,1.366,0,Pyro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+岩バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,196458,3083.32,1728.237,2.566,0.9,1.366,0,Hydro:1、Geo:3、,1.00:2.21,2.21,,0.39:0.83,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+岩バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,196458,3083.32,1728.237,2.566,0.9,1.366,0,Hydro:1、Geo:3、,1.00:2.21,2.21,,0.70:0.21,0,0,1.6
赤角石塵滅砕,残響4,防御%+岩バフ+防御%,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族),196438,5509.069,2831.804,2.166,0.3,1.866,0,Pyro:1、Geo:3、,0.85:1.78,2.10,,0.80:0.00,0,0,1.6
赤角石塵滅砕,剣闘士4,防御%+岩バフ+防御%,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),196357,4517.469,2831.804,2.766,1.05,1.366,0,Hydro:1、Geo:3、,0.85:1.78,2.10,,0.80:0.00,0,0,1.6
赤角石塵滅砕,ファントム+剣闘士,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),196346,3967.805,2365.987,2.566,1.05,1.366,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,ファントム+残響,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),196346,3967.805,2365.987,2.566,1.05,1.366,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+岩バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),196290,4074.92,1728.237,2.416,0.9,1.366,0,Pyro:1、Hydro:1、Geo:2、,1.00:2.21,2.21,,0.39:0.83,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+岩バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),196290,4074.92,1728.237,2.416,0.9,1.366,0,Pyro:1、Hydro:1、Geo:2、,1.00:2.21,2.21,,0.70:0.21,0,0,1.6
赤角石塵滅砕,ファントム+剣闘士,防御%+防御%+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),196168,4517.469,2831.804,2.1,1.05,0.9,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,ファントム+残響,防御%+防御%+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),196168,4517.469,2831.804,2.1,1.05,0.9,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,ファントム+華館,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族),195972,5110.311,2605.687,1.816,0.3,1.366,0,Pyro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,ファントム+剣闘士,防御%+防御%+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),195615,4517.469,2831.804,2.1,1.05,0.9,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,ファントム+残響,防御%+防御%+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),195615,4517.469,2831.804,2.1,1.05,0.9,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+防御%+防御%,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,195226,4182.648,2659.871,2.1,0.9,0.9,0,Hydro:1、Geo:3、,0.95:1.90,2.00,,0.54:0.52,0,0,1.6
赤角石塵滅砕,華館4,防御%+岩バフ+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+夜蘭(終焉、9秒平均),194623,4491.587,2797.447,2.096,0.49,1.606,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+防御%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),194548,4624.583,2194.054,1.95,0.9,0.9,0,Pyro:1、Hydro:1、Geo:2、,1.00:2.21,2.21,,0.39:0.83,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+防御%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),194548,4624.583,2194.054,1.95,0.9,0.9,0,Pyro:1、Hydro:1、Geo:2、,1.00:2.21,2.21,,0.70:0.21,0,0,1.6
赤角石塵滅砕,華館4,防御%+岩バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,194539,3592.442,2159.697,2.656,0.9,1.606,0,Hydro:1、Geo:3、,0.93:1.85,2.00,,0.57:0.47,0,0,1.6
赤角石塵滅砕,華館4,防御%+岩バフ+防御%,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族),194360,5886.251,3263.264,1.906,0.3,1.606,0,Pyro:1、Geo:3、,0.85:1.78,2.10,,0.80:0.00,0,0,1.6
赤角石塵滅砕,華館+長き夜の誓い,防御%+防御%+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),194197,4668.375,3071.504,1.95,1.05,0.9,0.25,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,残響4,防御%+岩バフ+会心率,ゴロー(6凸)+シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル),194140,3967.805,2365.987,2.516,1.05,1.466,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,剣闘士+残響,防御%+岩バフ+会心率,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),194083,4099.745,2365.987,2.416,1.05,1.366,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,華館4,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+夜蘭(終焉、9秒平均),194075,4491.587,2797.447,2.096,0.49,1.606,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,剣闘士4,防御%+防御%+防御%,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),193986,5067.133,3297.621,2.3,1.05,0.9,0,Hydro:1、Geo:3、,0.85:1.78,2.10,,0.80:0.00,0,0,1.6
赤角石塵滅砕,華館4,防御%+岩バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,193711,3592.442,2159.697,2.656,0.9,1.606,0,Hydro:1、Geo:3、,0.85:2.00,2.36,,0.80:0.00,0,0,1.6
赤角石塵滅砕,華館+長き夜の誓い,防御%+防御%+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),193650,4668.375,3071.504,1.95,1.05,0.9,0.25,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,残響4,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル),193593,3967.805,2365.987,2.516,1.05,1.466,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,華館4,防御%+岩バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),193581,4584.042,2159.697,2.506,0.9,1.606,0,Pyro:1、Hydro:1、Geo:2、,0.93:1.85,2.00,,0.57:0.47,0,0,1.6
赤角石塵滅砕,剣闘士+残響,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),193536,4099.745,2365.987,2.416,1.05,1.366,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,残響4,防御%+防御%+会心率,イアンサ(灰燼以外、爆発lv10)+ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上),193445,5207.469,2831.804,1.7,0.3,1.4,0,Electro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,ファントム+華館,防御%+岩バフ+防御%,ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),193421,4668.375,3071.504,2.566,1.05,1.366,0,Hydro:1、Geo:3、,0.85:1.78,2.10,,0.80:0.00,0,0,1.6
赤角石塵滅砕,残響4,防御%+防御%+会心率,ゴロー(6凸)+シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル),193004,4517.469,2831.804,2.05,1.05,1,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,華館4,防御%+防御%+会心率,ゴロー(6凸)+シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル),192926,4894.651,3263.264,1.79,1.05,0.74,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,残響4,防御%+防御%+会心ダメージ,イアンサ(灰燼以外、爆発lv10)+ゴロー(6凸)+シロネン(灰燼4、2凸、2色以上),192900,5207.469,2831.804,1.7,0.3,1.4,0,Electro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
