武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,防御力,バフ合計,バフ共通,雷バフ,バフ落下,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
赤角石塵滅砕,長き夜の誓い4,防御%+岩バフ+会心ダメージ,ゴロー+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),113303,4827.465,2365.987,1.58,0.3,0,1.28,0.91:2.40,2.64,,0.80:0.00,0,0,1.6
実りの鈎鉈(5),長き夜の誓い4,防御%+岩バフ+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),112318,3803.531,2142.267,2.65,1.05,0,1.6,0.92:1.83,2.00,,0.49:0.61,0,0,1.6
実りの鈎鉈(5),長き夜の誓い4,防御%+岩バフ+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),112316,3803.531,2142.267,2.65,1.05,0,1.6,0.91:1.84,2.02,,0.80:0.00,0,0,1.6
葦海の標(2),長き夜の誓い4,防御%+防御%+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),112047,4507.139,2608.084,2.33,1.05,0,1.28,1.00:2.00,2.00,,0.25:1.10,0,0,1.6
葦海の標(2),長き夜の誓い4,防御%+防御%+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),112047,4507.139,2608.084,2.33,1.05,0,1.28,1.00:2.00,2.00,,0.56:0.48,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+岩バフ+会心率,イアンサ(灰燼以外、爆発lv10)+ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),110984,4229.875,2142.267,2.08,0.8,0,1.28,0.97:1.95,2.00,,0.28:1.05,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+岩バフ+会心ダメージ,イアンサ(灰燼以外、爆発lv10)+ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),110984,4229.875,2142.267,2.08,0.8,0,1.28,0.97:1.95,2.00,,0.59:0.43,0,0,1.6
赤角石塵滅砕,長き夜の誓い4,防御%+岩バフ+会心率,ゴロー+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),110615,4827.465,2365.987,1.58,0.3,0,1.28,1.00:2.11,2.11,,0.64:0.33,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+岩バフ+会心率,ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+鍾離,110392,3539.875,2142.267,2.08,0.8,0,1.28,0.97:1.95,2.00,,0.28:1.05,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+岩バフ+会心ダメージ,ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+鍾離,110392,3539.875,2142.267,2.08,0.8,0,1.28,0.97:1.95,2.00,,0.59:0.43,0,0,1.6
螭龍の剣(完凸),残響4,防御%+岩バフ+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),109894,3666.055,2142.267,1.83,1.55,0,0.28,0.97:1.95,2.00,,0.28:1.05,0,0,1.6
螭龍の剣(完凸),残響4,防御%+岩バフ+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),109894,3666.055,2142.267,1.83,1.55,0,0.28,0.97:1.95,2.00,,0.59:0.43,0,0,1.6
赤角石塵滅砕,長き夜の誓い4,防御%+岩バフ+防御%,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),109810,4385.529,2831.804,2.33,1.05,0,1.28,0.90:1.80,2.00,,0.79:0.02,0,0,1.6
赤角石塵滅砕,残響4,防御%+岩バフ+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),109610,3967.805,2365.987,1.33,1.05,0,0.28,0.91:2.40,2.64,,0.80:0.00,0,0,1.6
裁断,長き夜の誓い4,防御%+岩バフ+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),109099,3876.875,2142.267,2.33,1.05,0,1.28,0.95:1.89,2.00,,0.30:0.99,0,0,1.6
裁断,長き夜の誓い4,防御%+岩バフ+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),109099,3876.875,2142.267,2.33,1.05,0,1.28,0.95:1.89,2.00,,0.62:0.37,0,0,1.6
赤角石塵滅砕,長き夜の誓い4,防御%+岩バフ+会心ダメージ,イアンサ(灰燼以外、爆発lv10)+ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),109091,4525.865,2365.987,1.58,0.3,0,1.28,0.91:2.40,2.64,,0.80:0.00,0,0,1.6
赤角石塵滅砕,長き夜の誓い4,防御%+岩バフ+会心ダメージ,ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+鍾離,108925,3835.865,2365.987,1.58,0.3,0,1.28,0.91:2.40,2.64,,0.80:0.00,0,0,1.6
葦海の標(2),長き夜の誓い4,防御%+岩バフ+会心率,ゴロー+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),108478,4962.275,2142.267,1.58,0.3,0,1.28,1.00:2.00,2.00,,0.25:1.10,0,0,1.6
葦海の標(2),長き夜の誓い4,防御%+岩バフ+会心ダメージ,ゴロー+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),108478,4962.275,2142.267,1.58,0.3,0,1.28,1.00:2.00,2.00,,0.56:0.48,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+岩バフ+会心率,ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+夜蘭(終焉、9秒平均),108375,3680.075,2142.267,2.27,0.99,0,1.28,0.97:1.95,2.00,,0.28:1.05,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+岩バフ+会心ダメージ,ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+夜蘭(終焉、9秒平均),108375,3680.075,2142.267,2.27,0.99,0,1.28,0.97:1.95,2.00,,0.59:0.43,0,0,1.6
螭龍の剣(完凸),華館4,防御%+岩バフ+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),108007,4048.998,2573.727,1.83,1.55,0,0.28,0.97:1.95,2.00,,0.28:1.05,0,0,1.6
螭龍の剣(完凸),華館4,防御%+岩バフ+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),108007,4048.998,2573.727,1.83,1.55,0,0.28,0.97:1.95,2.00,,0.59:0.43,0,0,1.6
赤角石塵滅砕,長き夜の誓い4,防御%+岩バフ+会心ダメージ,ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+夜蘭(終焉、9秒平均),107832,3982.465,2365.987,1.77,0.49,0,1.28,0.91:2.40,2.64,,0.80:0.00,0,0,1.6
実りの鈎鉈(5),長き夜の誓い4,防御%+防御%+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),107326,4353.195,2608.084,2.65,1.05,0,1.6,0.92:1.83,2.00,,0.49:0.61,0,0,1.6
実りの鈎鉈(5),長き夜の誓い4,防御%+防御%+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),107323,4353.195,2608.084,2.65,1.05,0,1.6,0.91:1.84,2.02,,0.80:0.00,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+防御%+会心率,ゴロー+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),107237,5074.739,2608.084,2.08,0.8,0,1.28,0.97:1.95,2.00,,0.28:1.05,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+防御%+会心ダメージ,ゴロー+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),107237,5074.739,2608.084,2.08,0.8,0,1.28,0.97:1.95,2.00,,0.59:0.43,0,0,1.6
赤角石塵滅砕,残響4,防御%+岩バフ+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),107009,3967.805,2365.987,1.33,1.05,0,0.28,1.00:2.11,2.11,,0.64:0.33,0,0,1.6
螭龍の剣(完凸),ファントム4,防御%+岩バフ+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),107005,3539.875,2142.267,1.83,1.55,0,0.28,1.00:2.31,2.31,,0.10:1.41,0,0,1.6
螭龍の剣(完凸),ファントム4,防御%+岩バフ+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),107005,3539.875,2142.267,1.83,1.55,0,0.28,1.00:2.31,2.31,,0.41:0.79,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+岩バフ+防御%,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),106556,4089.539,2608.084,2.83,1.55,0,1.28,0.82:1.64,2.00,,0.43:0.74,0,0,1.6
赤角石塵滅砕,長き夜の誓い4,防御%+岩バフ+会心率,イアンサ(灰燼以外、爆発lv10)+ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),106502,4525.865,2365.987,1.58,0.3,0,1.28,1.00:2.11,2.11,,0.64:0.33,0,0,1.6
赤角石塵滅砕,長き夜の誓い4,防御%+岩バフ+会心率,ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+鍾離,106340,3835.865,2365.987,1.58,0.3,0,1.28,1.00:2.11,2.11,,0.64:0.33,0,0,1.6
赤角石塵滅砕,華館4,防御%+岩バフ+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),106215,4344.987,2797.447,1.33,1.05,0,0.28,0.91:2.40,2.64,,0.80:0.00,0,0,1.6
赤角石塵滅砕,長き夜の誓い4,防御%+岩バフ+会心率,ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+夜蘭(終焉、9秒平均),105274,3982.465,2365.987,1.77,0.49,0,1.28,1.00:2.11,2.11,,0.64:0.33,0,0,1.6
葦海の標(2),残響4,防御%+岩バフ+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),105127,4101.295,2142.267,1.33,1.05,0,0.28,1.00:2.00,2.00,,0.25:1.10,0,0,1.6
葦海の標(2),残響4,防御%+岩バフ+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),105127,4101.295,2142.267,1.33,1.05,0,0.28,1.00:2.00,2.00,,0.56:0.48,0,0,1.6
螭龍の剣(完凸),華館+長き夜の誓い,防御%+岩バフ+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),104970,3822.721,2381.967,2.08,1.55,0,0.53,0.97:1.95,2.00,,0.28:1.05,0,0,1.6
螭龍の剣(完凸),華館+長き夜の誓い,防御%+岩バフ+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),104970,3822.721,2381.967,2.08,1.55,0,0.53,0.97:1.95,2.00,,0.59:0.43,0,0,1.6
実りの鈎鉈(5),長き夜の誓い4,防御%+岩バフ+会心率,ゴロー+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),104761,4799.731,2142.267,1.9,0.3,0,1.6,0.92:1.83,2.00,,0.49:0.61,0,0,1.6
実りの鈎鉈(5),長き夜の誓い4,防御%+岩バフ+会心ダメージ,ゴロー+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),104759,4799.731,2142.267,1.9,0.3,0,1.6,0.91:1.84,2.02,,0.80:0.00,0,0,1.6
螭龍の剣(完凸),ファントム4,防御%+岩バフ+防御%,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),104610,4089.539,2608.084,1.83,1.55,0,0.28,1.00:2.00,2.00,,0.25:1.10,0,0,1.6
葦海の標(2),長き夜の誓い4,防御%+岩バフ+会心率,イアンサ(灰燼以外、爆発lv10)+ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),104337,4647.475,2142.267,1.58,0.3,0,1.28,1.00:2.00,2.00,,0.25:1.10,0,0,1.6
葦海の標(2),長き夜の誓い4,防御%+岩バフ+会心ダメージ,イアンサ(灰燼以外、爆発lv10)+ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),104337,4647.475,2142.267,1.58,0.3,0,1.28,1.00:2.00,2.00,,0.56:0.48,0,0,1.6
葦海の標(2),長き夜の誓い4,防御%+岩バフ+会心率,ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+鍾離,104334,3957.475,2142.267,1.58,0.3,0,1.28,1.00:2.00,2.00,,0.25:1.10,0,0,1.6
葦海の標(2),長き夜の誓い4,防御%+岩バフ+会心ダメージ,ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+鍾離,104334,3957.475,2142.267,1.58,0.3,0,1.28,1.00:2.00,2.00,,0.56:0.48,0,0,1.6
螭龍の剣(完凸),残響4,防御%+防御%+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),104027,4215.719,2608.084,1.83,1.55,0,0.28,0.97:1.95,2.00,,0.28:1.05,0,0,1.6
螭龍の剣(完凸),残響4,防御%+防御%+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),104027,4215.719,2608.084,1.83,1.55,0,0.28,0.97:1.95,2.00,,0.59:0.43,0,0,1.6
赤角石塵滅砕,華館4,防御%+岩バフ+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103694,4344.987,2797.447,1.33,1.05,0,0.28,1.00:2.11,2.11,,0.64:0.33,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+防御%+会心率,ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+鍾離,103608,4089.539,2608.084,2.08,0.8,0,1.28,0.97:1.95,2.00,,0.28:1.05,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+防御%+会心ダメージ,ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+鍾離,103608,4089.539,2608.084,2.08,0.8,0,1.28,0.97:1.95,2.00,,0.59:0.43,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+防御%+会心率,イアンサ(灰燼以外、爆発lv10)+ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103450,4779.539,2608.084,2.08,0.8,0,1.28,0.97:1.95,2.00,,0.28:1.05,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+防御%+会心ダメージ,イアンサ(灰燼以外、爆発lv10)+ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103450,4779.539,2608.084,2.08,0.8,0,1.28,0.97:1.95,2.00,,0.59:0.43,0,0,1.6
赤角石塵滅砕,長き夜の誓い4,防御%+岩バフ+会心率,フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+鍾離,103442,3083.32,1728.237,2.18,0.9,0,1.28,0.96:1.91,2.00,,0.54:0.53,0,0,1.6
葦海の標(2),長き夜の誓い4,防御%+岩バフ+会心率,ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+夜蘭(終焉、9秒平均),103436,4117.275,2142.267,1.77,0.49,0,1.28,1.00:2.00,2.00,,0.25:1.10,0,0,1.6
葦海の標(2),長き夜の誓い4,防御%+岩バフ+会心ダメージ,ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+夜蘭(終焉、9秒平均),103436,4117.275,2142.267,1.77,0.49,0,1.28,1.00:2.00,2.00,,0.56:0.48,0,0,1.6
赤角石塵滅砕,華館+長き夜の誓い,防御%+岩バフ+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103404,4118.71,2605.687,1.58,1.05,0,0.53,0.91:2.40,2.64,,0.80:0.00,0,0,1.6
葦海の標(2),長き夜の誓い4,防御%+岩バフ+防御%,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103379,4507.139,2608.084,2.33,1.05,0,1.28,0.85:1.69,2.00,,0.40:0.79,0,0,1.6
赤角石塵滅砕,長き夜の誓い4,防御%+岩バフ+会心ダメージ,フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+鍾離,103287,3083.32,1728.237,2.18,0.9,0,1.28,0.91:2.00,2.20,,0.80:0.00,0,0,1.6
赤角石塵滅砕,長き夜の誓い4,防御%+防御%+防御%,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103232,4935.193,3297.621,2.33,1.05,0,1.28,0.90:1.80,2.00,,0.79:0.02,0,0,1.6
裁断,長き夜の誓い4,防御%+防御%+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103051,4426.539,2608.084,2.33,1.05,0,1.28,0.95:1.89,2.00,,0.30:0.99,0,0,1.6
裁断,長き夜の誓い4,防御%+防御%+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103051,4426.539,2608.084,2.33,1.05,0,1.28,0.95:1.89,2.00,,0.62:0.37,0,0,1.6
螭龍の剣(完凸),剣闘士+長き夜の誓い,防御%+岩バフ+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),102656,3666.055,2142.267,2.08,1.55,0,0.53,0.97:1.95,2.00,,0.28:1.05,0,0,1.6
螭龍の剣(完凸),剣闘士+長き夜の誓い,防御%+岩バフ+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),102656,3666.055,2142.267,2.08,1.55,0,0.53,0.97:1.95,2.00,,0.59:0.43,0,0,1.6
螭龍の剣(完凸),残響+長き夜の誓い,防御%+岩バフ+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),102656,3666.055,2142.267,2.08,1.55,0,0.53,0.97:1.95,2.00,,0.28:1.05,0,0,1.6
螭龍の剣(完凸),残響+長き夜の誓い,防御%+岩バフ+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),102656,3666.055,2142.267,2.08,1.55,0,0.53,0.97:1.95,2.00,,0.59:0.43,0,0,1.6
赤角石塵滅砕,長き夜の誓い4,防御%+防御%+会心ダメージ,ゴロー+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),102472,5377.129,2831.804,1.58,0.3,0,1.28,0.91:2.40,2.64,,0.80:0.00,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+防御%+会心率,ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+夜蘭(終焉、9秒平均),102343,4229.739,2608.084,2.27,0.99,0,1.28,0.97:1.95,2.00,,0.28:1.05,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+防御%+会心ダメージ,ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り)+夜蘭(終焉、9秒平均),102343,4229.739,2608.084,2.27,0.99,0,1.28,0.97:1.95,2.00,,0.59:0.43,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+防御%+防御%,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),102079,4639.203,3073.901,2.83,1.55,0,1.28,0.82:1.64,2.00,,0.43:0.74,0,0,1.6
葦海の標(2),華館4,防御%+岩バフ+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101623,4466.598,2573.727,1.33,1.05,0,0.28,1.00:2.00,2.00,,0.25:1.10,0,0,1.6
葦海の標(2),華館4,防御%+岩バフ+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101623,4466.598,2573.727,1.33,1.05,0,0.28,1.00:2.00,2.00,,0.56:0.48,0,0,1.6
実りの鈎鉈(5),ファントム4,防御%+岩バフ+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101384,3803.531,2142.267,1.65,1.05,0,0.6,1.00:2.19,2.19,,0.31:0.97,0,0,1.6
実りの鈎鉈(5),ファントム4,防御%+岩バフ+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101384,3803.531,2142.267,1.65,1.05,0,0.6,1.00:2.19,2.19,,0.63:0.35,0,0,1.6
赤角石塵滅砕,剣闘士+長き夜の誓い,防御%+岩バフ+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101296,3967.805,2365.987,1.58,1.05,0,0.53,0.91:2.40,2.64,,0.80:0.00,0,0,1.6
赤角石塵滅砕,残響+長き夜の誓い,防御%+岩バフ+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101296,3967.805,2365.987,1.58,1.05,0,0.53,0.91:2.40,2.64,,0.80:0.00,0,0,1.6
赤角石塵滅砕,残響4,防御%+防御%+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101246,4517.469,2831.804,1.33,1.05,0,0.28,0.91:2.40,2.64,,0.80:0.00,0,0,1.6
赤角石塵滅砕,華館+長き夜の誓い,防御%+岩バフ+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),100950,4118.71,2605.687,1.58,1.05,0,0.53,1.00:2.11,2.11,,0.64:0.33,0,0,1.6
螭龍の剣(完凸),華館4,防御%+防御%+会心率,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),100801,4598.662,3039.544,1.83,1.55,0,0.28,0.97:1.95,2.00,,0.28:1.05,0,0,1.6
螭龍の剣(完凸),華館4,防御%+防御%+会心ダメージ,ゴロー+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),100801,4598.662,3039.544,1.83,1.55,0,0.28,0.97:1.95,2.00,,0.59:0.43,0,0,1.6
実りの鈎鉈(5),長き夜の誓い4,防御%+岩バフ+会心率,イアンサ(灰燼以外、爆発lv10)+ゴロー+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),100794,4493.531,2142.267,1.9,0.3,0,1.6,0.92:1.83,2.00,,0.49:0.61,0,0,1.6
