武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,加算,バフ合計,バフ共通,元素バフ,バフ通常,耐性ダウン,パーティ元素,熟知,率ダメ,サブステ,スコア
弓蔵(R5),ファントム4,攻撃%+攻撃%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,101477.2,2212.795,1301.5,2.688,0.9,0.688,1.1,0,Hydro:2、Geo:2、,0,0.74:1.47,0.01:0.97,1
飛雷の鳴弦,しめ縄4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,101212.8,3439.408,1301.5,1.888,0.15,0.688,1.05,0,Pyro:1、Hydro:1、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,ファントム4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+雲菫,101140.3,2248.988,1301.5,1.888,0.9,0.288,0.7,0,Hydro:2、Geo:2、,0,0.90:1.80,0.49:0.02,1
飛雷の鳴弦,ファントム4,攻撃%+攻撃%+会心率,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+雲菫,101140.3,2248.988,1301.5,1.888,0.9,0.288,0.7,0,Hydro:2、Geo:2、,0,0.90:1.80,0.18:0.64,1
飛雷の鳴弦,しめ縄4,攻撃%+水バフ+会心ダメージ,ベネット(西風、旧貴族)+雲菫+万葉(翠緑4),101041,3015.814,1301.5,2.104,0.3,0.7539999,1.05,0,Pyro:1、Hydro:1、Geo:1、Anemo:1、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,しめ縄4,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,100825.7,1989.014,1301.5,3.104,0.9,1.154,1.05,0,Hydro:2、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,水仙の夢4,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,100590.9,2052.644,1301.5,2.904,0.9,1.454,0.55,0,Hydro:2、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,しめ縄4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,100510.3,2412.608,1301.5,2.638,0.9,0.688,1.05,0,Hydro:2、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,しめ縄4,攻撃%+水バフ+会心率,マーヴィカ(灰燼4、戦意200時)+雲菫+万葉(翠緑4),100491,1989.014,1301.5,2.904,0.7,1.154,1.05,0,Pyro:1、Hydro:1、Geo:1、Anemo:1、,0,0.72:1.44,0.36:0.28,1
天空弓,ファントム4,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,100446.2,1740.35,1301.5,2.354,0.9,1.154,0.3,0,Hydro:2、Geo:2、,0,0.90:1.79,0.27:0.47,1
天空弓,ファントム4,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,100283.1,1740.35,1301.5,2.354,0.9,1.154,0.3,0,Hydro:2、Geo:2、,0,0.94:1.70,0.00:1.00,1
弾弓(R5),ファントム4,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,100030.7,1271.23,1301.5,2.954,0.9,1.154,0.9,0,Hydro:2、Geo:2、,0,0.89:1.78,0.17:0.66,1
飛雷の鳴弦,ファントム+水仙の夢,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,100022.6,2852.194,1301.5,2.154,0.15,1.304,0.7,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,ファントム+沈淪,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,100022.6,2852.194,1301.5,2.154,0.15,1.304,0.7,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,水仙の夢+沈淪,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,100022.6,2852.194,1301.5,2.154,0.15,1.454,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,辰砂4,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,99902.29,2425.334,1301.5,2.604,0.9,1.154,0.55,0,Hydro:2、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,しめ縄4,攻撃%+攻撃%+会心率,マーヴィカ(灰燼4、戦意200時)+雲菫+万葉(翠緑4),99519.28,2412.608,1301.5,2.438,0.7,0.688,1.05,0,Pyro:1、Hydro:1、Geo:1、Anemo:1、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,辰砂4,攻撃%+攻撃%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,99439,2848.928,1301.5,2.138,0.9,0.688,0.55,0,Hydro:2、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,水仙の夢4,攻撃%+攻撃%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,99415.58,2476.238,1301.5,2.438,0.9,0.988,0.55,0,Hydro:2、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,しめ縄4,攻撃%+水バフ+会心率,ベネット(西風、旧貴族)+マーヴィカ(灰燼4、戦意200時)+雲菫,99375.09,3243.064,1301.5,2.604,0.4,1.154,1.05,0,Pyro:2、Hydro:1、Geo:1、,0,0.72:1.44,0.36:0.28,1
天空弓,ファントム4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,98957.83,2194.7,1301.5,1.888,0.9,0.688,0.3,0,Hydro:2、Geo:2、,0,0.90:1.79,0.27:0.47,1
飛雷の鳴弦,沈淪4,攻撃%+攻撃%+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,98942.67,3275.788,1301.5,1.838,0.15,0.838,0.85,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,しめ縄+ファントム,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,98921.44,3015.814,1301.5,2.004,0.15,1.154,0.7,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,しめ縄+水仙の夢,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,98921.44,3015.814,1301.5,2.004,0.15,1.304,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,しめ縄+沈淪,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,98921.44,3015.814,1301.5,2.004,0.15,1.304,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,ファントム+辰砂,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,98921.44,3015.814,1301.5,2.004,0.15,1.154,0.7,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,水仙の夢+辰砂,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,98921.44,3015.814,1301.5,2.004,0.15,1.304,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,辰砂+沈淪,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,98921.44,3015.814,1301.5,2.004,0.15,1.304,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
天空弓,ファントム4,攻撃%+攻撃%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,98797.11,2194.7,1301.5,1.888,0.9,0.688,0.3,0,Hydro:2、Geo:2、,0,0.94:1.70,0.00:1.00,1
飛雷の鳴弦,水仙の夢4,攻撃%+水バフ+会心率,ベネット(西風、旧貴族)+雲菫+万葉(翠緑4),98719.67,3079.444,1301.5,1.904,0.3,1.054,0.55,0,Pyro:1、Hydro:1、Geo:1、Anemo:1、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,沈淪4,攻撃%+水バフ+会心率,ベネット(西風、旧貴族)+雲菫+万葉(翠緑4),98565.53,2852.194,1301.5,2.054,0.3,0.904,0.85,0,Pyro:1、Hydro:1、Geo:1、Anemo:1、,0,0.72:1.44,0.36:0.28,1
破魔の弓(R5、2倍),ファントム4,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,98406.36,1833.835,1301.5,2.994,0.9,1.154,0.9399999,0,Hydro:2、Geo:2、,0,0.74:1.47,0.33:0.35,1
破魔の弓(R5、2倍),ファントム4,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,98406.36,1833.835,1301.5,2.994,0.9,1.154,0.9399999,0,Hydro:2、Geo:2、,0,0.74:1.47,0.01:0.97,1
弾弓(R5),しめ縄4,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,98361.55,2365.13,1301.5,2.554,0.15,1.154,1.25,0,Pyro:1、Hydro:1、Geo:2、,0,0.71:1.42,0.35:0.30,1
弾弓(R5),しめ縄4,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,98361.55,2365.13,1301.5,2.554,0.15,1.154,1.25,0,Pyro:1、Hydro:1、Geo:2、,0,0.71:1.42,0.04:0.92,1
弾弓(R5),ファントム4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,98280.91,1576.46,1301.5,2.488,0.9,0.688,0.9,0,Hydro:2、Geo:2、,0,0.89:1.78,0.17:0.66,1
飛雷の鳴弦,水仙の夢4,攻撃%+攻撃%+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,98256.47,3503.038,1301.5,1.688,0.15,0.988,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,しめ縄4,攻撃%+水バフ+会心率,シトラリ(灰燼4)+ベネット(西風、旧貴族)+雲菫,98037.86,3015.814,1301.5,2.204,0,1.154,1.05,0,Pyro:1、Hydro:1、Cryo:1、Geo:1、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,しめ縄4,攻撃%+水バフ+会心率,シトラリ(灰燼4)+雲菫+万葉(翠緑4),98037.8,1989.014,1301.5,2.504,0.3,1.154,1.05,0,Hydro:1、Cryo:1、Geo:1、Anemo:1、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,ファントム4,攻撃%+攻撃%+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+雲菫,97792.22,3275.788,1301.5,1.738,0.75,0.288,0.7,0,Pyro:1、Hydro:2、Geo:1、,0,0.90:1.80,0.49:0.02,1
飛雷の鳴弦,ファントム4,攻撃%+攻撃%+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+雲菫,97792.22,3275.788,1301.5,1.738,0.75,0.288,0.7,0,Pyro:1、Hydro:2、Geo:1、,0,0.90:1.80,0.18:0.64,1
飛雷の鳴弦,水仙の夢4,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,97706.77,2052.644,1301.5,2.904,0.9,1.454,0.55,0,Hydro:2、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,沈淪4,攻撃%+攻撃%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,97688.56,2248.988,1301.5,2.588,0.9,0.838,0.85,0,Hydro:2、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,しめ縄4,攻撃%+水バフ+会心ダメージ,マーヴィカ(灰燼4、戦意200時)+雲菫+万葉(翠緑4),97609.69,1989.014,1301.5,2.904,0.7,1.154,1.05,0,Pyro:1、Hydro:1、Geo:1、Anemo:1、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,沈淪4,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,97603.68,1825.394,1301.5,3.054,0.9,1.304,0.85,0,Hydro:2、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,しめ縄+辰砂,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,97455.16,3179.434,1301.5,1.854,0.15,1.154,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
弓蔵(R5),しめ縄4,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,97396.5,2988.049,1301.5,2.754,0.15,1.154,1.45,0,Pyro:1、Hydro:1、Geo:2、,0,0.56:1.11,0.19:0.61,1
弓蔵(R5),しめ縄4,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,97392.86,2988.049,1301.5,2.754,0.15,1.154,1.45,0,Pyro:1、Hydro:1、Geo:2、,0,0.55:1.12,0.50:0.00,1
飛雷の鳴弦,しめ縄4,攻撃%+水バフ+会心率,シロネン(灰燼以外、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,97274.94,3015.814,1301.5,1.954,0.15,0.7539999,1.05,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,しめ縄4,攻撃%+水バフ+攻撃%,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,97247.47,3439.408,1301.5,2.354,0.15,1.154,1.05,0,Pyro:1、Hydro:1、Geo:2、,0,0.55:1.16,0.50:0.00,1
飛雷の鳴弦,ファントム+水仙の夢,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,97154.78,2852.194,1301.5,2.154,0.15,1.304,0.7,0,Pyro:1、Hydro:1、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,ファントム+沈淪,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,97154.78,2852.194,1301.5,2.154,0.15,1.304,0.7,0,Pyro:1、Hydro:1、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,水仙の夢+沈淪,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,97154.78,2852.194,1301.5,2.154,0.15,1.454,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,水仙の夢4,攻撃%+水バフ+会心率,マーヴィカ(灰燼4、戦意200時)+雲菫+万葉(翠緑4),97126.86,2052.644,1301.5,2.704,0.7,1.454,0.55,0,Pyro:1、Hydro:1、Geo:1、Anemo:1、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,しめ縄4,攻撃%+攻撃%+会心率,ベネット(西風、旧貴族)+雲菫+万葉(翠緑4),96864.91,3439.408,1301.5,1.638,0.3,0.288,1.05,0,Pyro:1、Hydro:1、Geo:1、Anemo:1、,0,0.72:1.44,0.36:0.28,1
弾弓(R5),ファントム4,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,96704.8,1271.23,1301.5,2.954,0.9,1.154,0.9,0,Hydro:2、Geo:2、,0,1.00:1.50,0.00:1.00,1
飛雷の鳴弦,しめ縄4,攻撃%+攻撃%+会心ダメージ,マーヴィカ(灰燼4、戦意200時)+雲菫+万葉(翠緑4),96665.86,2412.608,1301.5,2.438,0.7,0.688,1.05,0,Pyro:1、Hydro:1、Geo:1、Anemo:1、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,辰砂4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,96587.88,2848.928,1301.5,2.138,0.9,0.688,0.55,0,Hydro:2、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,水仙の夢4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,96565.13,2476.238,1301.5,2.438,0.9,0.988,0.55,0,Hydro:2、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,しめ縄4,攻撃%+水バフ+会心ダメージ,ベネット(西風、旧貴族)+マーヴィカ(灰燼4、戦意200時)+雲菫,96525.79,3243.064,1301.5,2.604,0.4,1.154,1.05,0,Pyro:2、Hydro:1、Geo:1、,0,0.55:1.78,0.50:0.00,1
破魔の弓(R5、2倍),ファントム4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,96348.09,2185.665,1301.5,2.528,0.9,0.688,0.9399999,0,Hydro:2、Geo:2、,0,0.74:1.47,0.33:0.35,1
破魔の弓(R5、2倍),ファントム4,攻撃%+攻撃%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,96348.09,2185.665,1301.5,2.528,0.9,0.688,0.9399999,0,Hydro:2、Geo:2、,0,0.74:1.47,0.01:0.97,1
飛雷の鳴弦,沈淪4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,96105.79,3275.788,1301.5,1.838,0.15,0.838,0.85,0,Pyro:1、Hydro:1、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,しめ縄+ファントム,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,96085.16,3015.814,1301.5,2.004,0.15,1.154,0.7,0,Pyro:1、Hydro:1、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,しめ縄+水仙の夢,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,96085.16,3015.814,1301.5,2.004,0.15,1.304,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,しめ縄+沈淪,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,96085.16,3015.814,1301.5,2.004,0.15,1.304,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,ファントム+辰砂,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,96085.16,3015.814,1301.5,2.004,0.15,1.154,0.7,0,Pyro:1、Hydro:1、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,水仙の夢+辰砂,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,96085.16,3015.814,1301.5,2.004,0.15,1.304,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,辰砂+沈淪,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,96085.16,3015.814,1301.5,2.004,0.15,1.304,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,水仙の夢4,攻撃%+水バフ+会心ダメージ,ベネット(西風、旧貴族)+雲菫+万葉(翠緑4),95889.17,3079.444,1301.5,1.904,0.3,1.054,0.55,0,Pyro:1、Hydro:1、Geo:1、Anemo:1、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,沈淪4,攻撃%+水バフ+会心ダメージ,ベネット(西風、旧貴族)+雲菫+万葉(翠緑4),95739.44,2852.194,1301.5,2.054,0.3,0.904,0.85,0,Pyro:1、Hydro:1、Geo:1、Anemo:1、,0,0.55:1.78,0.50:0.00,1
