武器,聖遺物セット,聖遺物メイン,バフキャラ,通常期待値,スキル期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
有楽御簾切(効果二倍),砂上4,防御%、防御%、会心率,ゴロー+鍾離,35177.53,33479.45,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、防御%、会心ダメージ,ゴロー+鍾離,35177.53,33479.45,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),しめ縄4,攻撃%、元素バフ、会心率,ゴロー+鍾離,35126.58,25937.73,1734.79,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),しめ縄4,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離,35126.58,25937.73,1734.79,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,攻撃%、元素バフ、防御%,ゴロー+鍾離,35037.29,37613.73,1579.09,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、攻撃%,ゴロー+鍾離,35037.29,37613.73,1579.09,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,しめ縄4,防御%、防御%、会心率,ゴロー+鍾離,35036.62,29088.71,1331.7,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,しめ縄4,防御%、防御%、会心ダメージ,ゴロー+鍾離,35036.62,29088.71,1331.7,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),沈淪4,防御%、元素バフ、会心率,ゴロー+鍾離,35018.35,33971.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),沈淪4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,35018.35,33971.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,防御%、防御%、防御%,ゴロー+鍾離,34613.62,42613.8,1176,16218,0.59,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),しめ縄4,攻撃%、防御%、会心率,ゴロー+鍾離,34599.22,27076.41,1734.79,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),しめ縄4,攻撃%、防御%、会心ダメージ,ゴロー+鍾離,34599.22,27076.41,1734.79,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、攻撃%、会心率,ゴロー+鍾離,34599.22,27076.41,1734.79,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、攻撃%、会心ダメージ,ゴロー+鍾離,34599.22,27076.41,1734.79,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),しめ縄4,攻撃%、元素バフ、防御%,ゴロー+鍾離,34561.43,27935.19,1734.79,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、元素バフ、攻撃%,ゴロー+鍾離,34561.43,27935.19,1734.79,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,攻撃%、防御%、会心率,ゴロー+鍾離,34251.36,37336,1579.09,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,攻撃%、防御%、会心ダメージ,ゴロー+鍾離,34251.36,37336,1579.09,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,防御%、攻撃%、会心率,ゴロー+鍾離,34251.36,37336,1579.09,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,防御%、攻撃%、会心ダメージ,ゴロー+鍾離,34251.36,37336,1579.09,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切,砂上4,防御%、元素バフ、会心率,ゴロー+鍾離,34155.82,30420.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,砂上4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,34155.82,30420.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),沈淪4,防御%、元素バフ、防御%,ゴロー+鍾離,34041.76,34541.32,1176,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,華館4,防御%、防御%、会心率,ゴロー+鍾離,33984.06,39410.23,1176,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,華館4,防御%、防御%、会心ダメージ,ゴロー+鍾離,33984.06,39410.23,1176,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切,華館4,攻撃%、元素バフ、会心率,ゴロー+鍾離,33935.87,33378.75,1579.09,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,華館4,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離,33935.87,33378.75,1579.09,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,HP%、元素バフ、会心率,ゴロー+鍾離,33696.92,36867.82,1176,21548.11,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,HP%、元素バフ、会心ダメージ,ゴロー+鍾離,33696.92,36867.82,1176,21548.11,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,元素熟知、元素バフ、会心率,ゴロー+鍾離,33696.92,36867.82,1176,16218,1.056,3.488,187,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,元素熟知、元素バフ、会心ダメージ,ゴロー+鍾離,33696.92,36867.82,1176,16218,1.056,3.488,187,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,元チャ、元素バフ、会心率,ゴロー+鍾離,33696.92,36867.82,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,元チャ、元素バフ、会心ダメージ,ゴロー+鍾離,33696.92,36867.82,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),沈淪4,防御%、防御%、会心率,ゴロー+鍾離,33478.13,33479.45,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),沈淪4,防御%、防御%、会心ダメージ,ゴロー+鍾離,33478.13,33479.45,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
萃光の裁葉,華館4,防御%、元素バフ、会心率,ゴロー+鍾離,33445.45,35409.57,1176,16218,1.056,3.568,0,1.00:2.57,2.57,a,0.407,0,0,0
萃光の裁葉,華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,33445.45,35409.57,1176,16218,1.056,3.568,0,1.00:2.57,2.57,a,0.718,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、防御%、防御%,ゴロー+鍾離,33384.53,32796.09,1176,16218,0.35,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
黎明の神剣,華館4,防御%、元素バフ、会心率,ゴロー+鍾離,33225.2,36074.48,1035,16218,1.056,3.635,0,1.00:2.64,2.64,a,0.1670001,0,0,0
黎明の神剣,華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,33225.2,36074.48,1035,16218,1.056,3.635,0,1.00:2.64,2.64,a,0.478,0,0,0
霧切(通常無し),華館4,防御%、元素バフ、会心率,ゴロー+鍾離,33207.8,34357.21,1308,16218,1.336,3.047,0,1.00:2.05,2.05,a,0.447,0,0,0
霧切(通常無し),華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,33207.8,34357.21,1308,16218,1.336,3.047,0,1.00:2.05,2.05,a,0.758,0,0,0
有楽御簾切,砂上4,防御%、元素バフ、防御%,ゴロー+鍾離,33203.29,30930.73,1176,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,しめ縄4,防御%、防御%、防御%,ゴロー+鍾離,33139.46,28494.96,1331.7,16218,0.35,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),しめ縄4,攻撃%、防御%、防御%,ゴロー+鍾離,33124.31,27530.75,1734.79,16218,0.35,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、攻撃%、防御%,ゴロー+鍾離,33124.31,27530.75,1734.79,16218,0.35,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、防御%、攻撃%,ゴロー+鍾離,33124.31,27530.75,1734.79,16218,0.35,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,しめ縄4,攻撃%、元素バフ、会心率,ゴロー+鍾離,32994.47,23226.47,1734.79,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,しめ縄4,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離,32994.47,23226.47,1734.79,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
萃光の裁葉,しめ縄4,防御%、元素バフ、会心率,ゴロー+鍾離,32964.4,25255.76,1331.7,16218,0.816,3.568,0,1.00:2.57,2.57,a,0.407,0,0,0
萃光の裁葉,しめ縄4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,32964.4,25255.76,1331.7,16218,0.816,3.568,0,1.00:2.57,2.57,a,0.718,0,0,0
有楽御簾切(効果二倍),悠久4,防御%、元素バフ、会心率,ゴロー+鍾離,32862.05,36190.65,1176,16218,0.966,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),悠久4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,32862.05,36190.65,1176,16218,0.966,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、HP%,ゴロー+鍾離,32825.93,37613.73,1176,21548.11,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、元素熟知,ゴロー+鍾離,32825.93,37613.73,1176,16218,1.056,2.868245,187,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、治癒効果,ゴロー+鍾離,32825.93,37613.73,1176,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,HP%、元素バフ、防御%,ゴロー+鍾離,32825.93,37613.73,1176,21548.11,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,元素熟知、元素バフ、防御%,ゴロー+鍾離,32825.93,37613.73,1176,16218,1.056,2.868245,187,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,元チャ、元素バフ、防御%,ゴロー+鍾離,32825.93,37613.73,1176,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,沈淪4,防御%、元素バフ、会心率,ゴロー+鍾離,32718.29,30420.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,沈淪4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,32718.29,30420.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
磐岩結緑,華館4,防御%、元素バフ、会心率,ゴロー+鍾離,32695.55,34615.63,1176,18505.6,1.056,3.488,0,1.00:2.49,2.49,a,0.006000042,0,0,0
磐岩結緑,華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,32695.55,34615.63,1176,18505.6,1.056,3.488,0,1.00:2.49,2.49,a,0.317,0,0,0
磐岩結緑(完凸),華館4,防御%、元素バフ、会心率,ゴロー+鍾離,32695.55,34615.63,1176,20793.2,1.056,3.488,0,1.00:2.49,2.49,a,0.006000042,0,0,0
磐岩結緑(完凸),華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,32695.55,34615.63,1176,20793.2,1.056,3.488,0,1.00:2.49,2.49,a,0.317,0,0,0
静水流転の輝き,華館4,防御%、元素バフ、会心率,ゴロー+鍾離,32695.55,38656.36,1176,19420.64,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
静水流転の輝き,華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,32695.55,38656.36,1176,19420.64,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),砂上4,攻撃%、元素バフ、会心率,ゴロー+鍾離,32685.32,25937.73,1579.09,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),砂上4,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離,32685.32,25937.73,1579.09,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切,華館4,攻撃%、元素バフ、防御%,ゴロー+鍾離,32677.88,34054.07,1579.09,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,華館4,防御%、元素バフ、攻撃%,ゴロー+鍾離,32677.88,34054.07,1579.09,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),しめ縄+剣闘士,防御%、元素バフ、会心率,ゴロー+鍾離,32573.38,33971.27,1487.4,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),しめ縄+剣闘士,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,32573.38,33971.27,1487.4,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
霧切(通常無し),しめ縄4,防御%、元素バフ、会心率,ゴロー+鍾離,32546.14,24893.36,1487.46,16218,1.096,3.047,0,1.00:2.05,2.05,a,0.447,0,0,0
霧切(通常無し),しめ縄4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,32546.14,24893.36,1487.46,16218,1.096,3.047,0,1.00:2.05,2.05,a,0.758,0,0,0
有楽御簾切,しめ縄4,攻撃%、元素バフ、防御%,ゴロー+鍾離,32463.62,25015.13,1734.79,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,しめ縄4,防御%、元素バフ、攻撃%,ゴロー+鍾離,32463.62,25015.13,1734.79,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
