武器,聖遺物セット,聖遺物メイン,バフキャラ,スキル期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
シナバースピンドル(R5),華館4,防御%+元素熟知+会心率,鍾離,14565,1016,18006,0.438,1.995461,187,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
狼牙(R5),劇団4(控え),防御%+岩バフ+会心ダメージ,鍾離,14564,1072,18006,0.438,2.705704,0,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),劇団4(控え),防御%+岩バフ+会心率,鍾離,14564,1072,18006,0.438,2.705705,0,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
黎明の神剣(R5),華館4,防御%+防御%+防御%,鍾離,14534,963,18006,0.438,2.303305,0,0.81:1.61,2.00,,0.48:0.65,0,0,1.6
磐岩結緑,華館4,防御%+岩バフ+防御%,鍾離,14509,1104,20651.2,0.438,2.18734,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
狼牙(R5),華館+劇団,防御%+岩バフ+会心ダメージ,鍾離,14412,1072,18006,0.438,2.705704,0,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),華館+劇団,防御%+岩バフ+会心率,鍾離,14412,1072,18006,0.438,2.705705,0,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
磐岩結緑,劇団4(控え),防御%+岩バフ+防御%,鍾離,14377,1104,20651.2,0.438,2.18734,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,防御%+防御%+会心ダメージ,鍾離,14226,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,防御%+防御%+会心率,鍾離,14226,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館+劇団,防御%+岩バフ+会心ダメージ,鍾離,14217,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館+劇団,防御%+岩バフ+会心率,鍾離,14217,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
シナバースピンドル(R5),華館4,防御%+元素熟知+防御%,鍾離,14143,1016,18006,0.438,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
磐岩結緑,華館4,防御%+岩バフ+会心ダメージ,鍾離,14129,1104,20651.2,0.438,2.714952,0,0.93:1.85,2.00,,0.44:0.73,0,0,1.6
磐岩結緑,華館4,防御%+岩バフ+会心率,鍾離,14129,1104,20651.2,0.438,2.714952,0,0.93:1.85,2.00,,0.12:1.35,0,0,1.6
磐岩結緑,華館4,防御%+防御%+会心ダメージ,鍾離,14095,1104,20651.2,0.438,2.714952,0,0.93:1.85,2.00,,0.44:0.73,0,0,1.6
磐岩結緑,華館4,防御%+防御%+会心率,鍾離,14095,1104,20651.2,0.438,2.714952,0,0.93:1.85,2.00,,0.12:1.35,0,0,1.6
シナバースピンドル(R5),劇団4(控え),防御%+防御%+会心ダメージ,,14055,1016,18006,0.288,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),劇団4(控え),防御%+防御%+会心率,,14055,1016,18006,0.288,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
黎明の神剣(R5),華館+劇団,防御%+岩バフ+防御%,鍾離,13989,963,18006,0.438,2.303305,0,0.81:1.61,2.00,,0.48:0.65,0,0,1.6
シナバースピンドル(R5),劇団4(控え),防御%+岩バフ+防御%,,13890,1016,18006,0.288,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
磐岩結緑,華館4,防御%+防御%+防御%,鍾離,13802,1104,20651.2,0.438,2.18734,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
シナバースピンドル(R5),華館+劇団,防御%+岩バフ+元素熟知,鍾離,13755,1016,18006,0.438,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
腐植の剣(R5),劇団4(控え),防御%+防御%+防御%,鍾離,13749,1072,18006,0.438,1.7442,0,0.61:1.22,2.00,,0.44:0.72,0,0,1.6
シナバースピンドル(R5),劇団4(控え),防御%+岩バフ+会心ダメージ,,13744,1016,18006,0.288,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),劇団4(控え),防御%+岩バフ+会心率,,13744,1016,18006,0.288,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館+劇団,防御%+岩バフ+防御%,鍾離,13740,1016,18006,0.438,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
黎明の神剣(R5),劇団4(控え),防御%+岩バフ+会心ダメージ,鍾離,13708,963,18006,0.438,2.853775,0,0.96:1.93,2.00,,0.63:0.33,0,0,1.6
黎明の神剣(R5),劇団4(控え),防御%+岩バフ+会心率,鍾離,13708,963,18006,0.438,2.853775,0,0.96:1.93,2.00,,0.32:0.96,0,0,1.6
シナバースピンドル(R5),劇団4(控え),防御%+防御%+防御%,,13613,1016,18006,0.288,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
黎明の神剣(R5),華館+劇団,防御%+防御%+会心ダメージ,鍾離,13582,963,18006,0.438,2.853775,0,0.96:1.93,2.00,,0.63:0.33,0,0,1.6
黎明の神剣(R5),華館+劇団,防御%+防御%+会心率,鍾離,13582,963,18006,0.438,2.853775,0,0.96:1.93,2.00,,0.32:0.96,0,0,1.6
黎明の神剣(R5),華館+劇団,防御%+防御%+防御%,鍾離,13554,963,18006,0.438,2.303305,0,0.81:1.61,2.00,,0.48:0.65,0,0,1.6
シナバースピンドル(R5),華館4,防御%+岩バフ+会心ダメージ,,13545,1016,18006,0.288,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館4,防御%+岩バフ+会心率,,13545,1016,18006,0.288,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
狼牙(R5),劇団4(控え),防御%+元素熟知+防御%,鍾離,13538,1072,18006,0.438,2.179648,187,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
腐植の剣(R5),劇団4(控え),防御%+防御%+会心ダメージ,鍾離,13490,1072,18006,0.438,2.171981,0,0.77:1.53,2.00,,0.60:0.41,0,0,1.6
腐植の剣(R5),劇団4(控え),防御%+防御%+会心率,鍾離,13490,1072,18006,0.438,2.171981,0,0.77:1.53,2.00,,0.28:1.03,0,0,1.6
狼牙(R5),華館4,防御%+元素熟知+防御%,鍾離,13474,1072,18006,0.438,2.179648,187,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
腐植の剣(R5),華館4,防御%+防御%+会心ダメージ,鍾離,13426,1072,18006,0.438,2.171981,0,0.77:1.53,2.00,,0.60:0.41,0,0,1.6
腐植の剣(R5),華館4,防御%+防御%+会心率,鍾離,13426,1072,18006,0.438,2.171981,0,0.77:1.53,2.00,,0.28:1.03,0,0,1.6
シナバースピンドル(R5),華館+劇団,防御%+元素熟知+会心ダメージ,鍾離,13401,1016,18006,0.438,1.995461,187,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館+劇団,防御%+元素熟知+会心率,鍾離,13401,1016,18006,0.438,1.995461,187,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館+劇団,防御%+防御%+会心ダメージ,鍾離,13387,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館+劇団,防御%+防御%+会心率,鍾離,13387,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
腐植の剣(R5),華館4,防御%+岩バフ+防御%,鍾離,13297,1072,18006,0.438,1.7442,0,0.61:1.22,2.00,,0.44:0.72,0,0,1.6
磐岩結緑,華館+劇団,防御%+岩バフ+防御%,鍾離,13284,1104,20651.2,0.438,2.18734,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,防御%+防御%+防御%,鍾離,13238,1016,18006,0.438,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
黎明の神剣(R5),華館+劇団,防御%+岩バフ+会心ダメージ,鍾離,13234,963,18006,0.438,2.853775,0,0.96:1.93,2.00,,0.63:0.33,0,0,1.6
黎明の神剣(R5),華館+劇団,防御%+岩バフ+会心率,鍾離,13234,963,18006,0.438,2.853775,0,0.96:1.93,2.00,,0.32:0.96,0,0,1.6
シナバースピンドル(R5),華館+劇団,防御%+元素熟知+防御%,鍾離,13221,1016,18006,0.438,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
シナバースピンドル(R5),華館4,防御%+岩バフ+防御%,,13152,1016,18006,0.288,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
狼牙(R5),華館4,防御%+元素熟知+会心ダメージ,鍾離,13122,1072,18006,0.438,2.705704,187,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),華館4,防御%+元素熟知+会心率,鍾離,13122,1072,18006,0.438,2.705705,187,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
腐植の剣(R5),華館4,防御%+防御%+防御%,鍾離,13105,1072,18006,0.438,1.7442,0,0.61:1.22,2.00,,0.44:0.72,0,0,1.6
磐岩結緑,劇団4(控え),防御%+岩バフ+会心ダメージ,鍾離,13041,1104,20651.2,0.438,2.714952,0,0.93:1.85,2.00,,0.44:0.73,0,0,1.6
磐岩結緑,劇団4(控え),防御%+岩バフ+会心率,鍾離,13041,1104,20651.2,0.438,2.714952,0,0.93:1.85,2.00,,0.12:1.35,0,0,1.6
狼牙(R5),華館4,防御%+岩バフ+元素熟知,鍾離,13036,1072,18006,0.438,2.179648,187,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
腐植の剣(R5),華館4,防御%+岩バフ+会心ダメージ,鍾離,12991,1072,18006,0.438,2.171981,0,0.77:1.53,2.00,,0.60:0.41,0,0,1.6
腐植の剣(R5),華館4,防御%+岩バフ+会心率,鍾離,12991,1072,18006,0.438,2.171981,0,0.77:1.53,2.00,,0.28:1.03,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),防御%+元素熟知+会心ダメージ,鍾離,12944,1016,18006,0.438,1.995461,187,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),防御%+元素熟知+会心率,鍾離,12944,1016,18006,0.438,1.995461,187,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
磐岩結緑,華館+劇団,防御%+防御%+会心ダメージ,鍾離,12921,1104,20651.2,0.438,2.714952,0,0.93:1.85,2.00,,0.44:0.73,0,0,1.6
磐岩結緑,華館+劇団,防御%+防御%+会心率,鍾離,12921,1104,20651.2,0.438,2.714952,0,0.93:1.85,2.00,,0.12:1.35,0,0,1.6
磐岩結緑,華館+劇団,防御%+防御%+防御%,鍾離,12871,1104,20651.2,0.438,2.18734,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
腐植の剣(R5),劇団4(控え),防御%+岩バフ+防御%,鍾離,12846,1072,18006,0.438,1.7442,0,0.61:1.22,2.00,,0.44:0.72,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),防御%+元素熟知+防御%,鍾離,12752,1016,18006,0.438,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
狼牙(R5),劇団4(控え),防御%+防御%+防御%,,12642,1072,18006,0.288,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),防御%+岩バフ+元素熟知,鍾離,12629,1016,18006,0.438,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
磐岩結緑,華館+劇団,防御%+岩バフ+会心ダメージ,鍾離,12590,1104,20651.2,0.438,2.714952,0,0.93:1.85,2.00,,0.44:0.73,0,0,1.6
磐岩結緑,華館+劇団,防御%+岩バフ+会心率,鍾離,12590,1104,20651.2,0.438,2.714952,0,0.93:1.85,2.00,,0.12:1.35,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館+劇団,防御%+防御%+防御%,鍾離,12573,1016,18006,0.438,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
シナバースピンドル(R5),華館4,防御%+防御%+会心ダメージ,,12531,1016,18006,0.288,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館4,防御%+防御%+会心率,,12531,1016,18006,0.288,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
黎明の神剣(R5),劇団4(控え),防御%+元素熟知+防御%,鍾離,12481,963,18006,0.438,2.303305,187,0.81:1.61,2.00,,0.48:0.65,0,0,1.6
シナバースピンドル(R5),華館+劇団,防御%+岩バフ+会心ダメージ,,12451,1016,18006,0.288,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館+劇団,防御%+岩バフ+会心率,,12451,1016,18006,0.288,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
狼牙(R5),劇団4(控え),防御%+防御%+会心ダメージ,,12365,1072,18006,0.288,2.705704,0,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),劇団4(控え),防御%+防御%+会心率,,12365,1072,18006,0.288,2.705705,0,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
シナバースピンドル(R5),劇団4(控え),防御%+元素熟知+元素熟知,鍾離,12343,1016,18006,0.438,1.605,374,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
狼牙(R5),華館+劇団,防御%+元素熟知+防御%,鍾離,12340,1072,18006,0.438,2.179648,187,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
サーンドルの渡し守(R5),劇団4(控え),防御%+防御%+防御%,鍾離,12336,1072,18006,0.438,1.7938,0,0.63:1.26,2.00,,0.42:0.76,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,防御%+岩バフ+元素熟知,鍾離,12327,1016,18006,0.438,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
腐植の剣(R5),華館+劇団,防御%+防御%+会心ダメージ,鍾離,12297,1072,18006,0.438,2.171981,0,0.77:1.53,2.00,,0.60:0.41,0,0,1.6
腐植の剣(R5),華館+劇団,防御%+防御%+会心率,鍾離,12297,1072,18006,0.438,2.171981,0,0.77:1.53,2.00,,0.28:1.03,0,0,1.6
シナバースピンドル(R5),華館+劇団,防御%+岩バフ+防御%,,12284,1016,18006,0.288,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
狼牙(R5),劇団4(控え),防御%+元素熟知+会心ダメージ,鍾離,12282,1072,18006,0.438,2.705704,187,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),劇団4(控え),防御%+元素熟知+会心率,鍾離,12282,1072,18006,0.438,2.705705,187,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
狼牙(R5),華館4,防御%+岩バフ+防御%,,12212,1072,18006,0.288,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
腐植の剣(R5),華館+劇団,防御%+防御%+防御%,鍾離,12209,1072,18006,0.438,1.7442,0,0.61:1.22,2.00,,0.44:0.72,0,0,1.6
腐植の剣(R5),華館+劇団,防御%+岩バフ+防御%,鍾離,12167,1072,18006,0.438,1.7442,0,0.61:1.22,2.00,,0.44:0.72,0,0,1.6
狼牙(R5),華館4,防御%+防御%+会心ダメージ,,12107,1072,18006,0.288,2.705704,0,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),華館4,防御%+防御%+会心率,,12107,1072,18006,0.288,2.705705,0,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
サーンドルの渡し守(R5),劇団4(控え),防御%+防御%+会心ダメージ,鍾離,12105,1072,18006,0.438,2.23402,0,0.79:1.57,2.00,,0.58:0.45,0,0,1.6
サーンドルの渡し守(R5),劇団4(控え),防御%+防御%+会心率,鍾離,12105,1072,18006,0.438,2.234021,0,0.79:1.57,2.00,,0.26:1.07,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,防御%+元素熟知+会心ダメージ,鍾離,11994,1016,18006,0.438,1.995461,187,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,防御%+元素熟知+会心率,鍾離,11994,1016,18006,0.438,1.995461,187,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
黎明の神剣(R5),華館4,防御%+岩バフ+元素熟知,鍾離,11987,963,18006,0.438,2.303305,187,0.81:1.61,2.00,,0.48:0.65,0,0,1.6
黎明の神剣(R5),華館4,防御%+元素熟知+防御%,鍾離,11958,963,18006,0.438,2.303305,187,0.81:1.61,2.00,,0.48:0.65,0,0,1.6
狼牙(R5),劇団4(控え),防御%+岩バフ+防御%,,11930,1072,18006,0.288,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
サーンドルの渡し守(R5),華館4,防御%+岩バフ+防御%,鍾離,11899,1072,18006,0.438,1.7938,0,0.63:1.26,2.00,,0.42:0.76,0,0,1.6
