武器,聖遺物セット,聖遺物メイン,バフキャラ,スキル期待値,防御力,HP,バフ,加算,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
シナバースピンドル(R5),華館+劇団,元チャ+岩バフ+会心率,鍾離,13226,1743.24,18006,1.154,1394.592,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
シナバースピンドル(R5),華館+劇団,元チャ+防御%+防御%,鍾離,13221,2764.656,18006,0.688,2211.725,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
狼牙(R5),華館4,元チャ+防御%+会心ダメージ,鍾離,13122,1859.748,18006,0.998,0,2.705704,0,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),華館4,元チャ+防御%+会心率,鍾離,13122,1859.748,18006,0.998,0,2.705705,0,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
狼牙(R5),華館4,元チャ+岩バフ+防御%,鍾離,13036,1859.748,18006,1.464,0,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),元チャ+防御%+会心ダメージ,鍾離,12944,2271.468,18006,1.188,0,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),元チャ+防御%+会心率,鍾離,12944,2271.468,18006,1.188,0,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),元チャ+防御%+防御%,鍾離,12752,2782.176,18006,1.188,0,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),元チャ+岩バフ+防御%,鍾離,12629,2271.468,18006,1.654,0,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
黎明の神剣(R5),劇団4(控え),元チャ+防御%+防御%,鍾離,12481,1897.416,18006,1.188,0,2.303305,0,0.81:1.61,2.00,,0.48:0.65,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,元チャ+岩バフ+会心ダメージ,鍾離,12474,2233.8,18006,1.144,0,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,元チャ+岩バフ+会心率,鍾離,12474,2233.8,18006,1.144,0,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
シナバースピンドル(R5),劇団4(控え),元チャ+元素熟知+防御%,鍾離,12343,1991.148,18006,1.188,1592.918,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
狼牙(R5),華館+劇団,元チャ+防御%+防御%,鍾離,12340,2160.216,18006,1.008,0,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,元チャ+岩バフ+防御%,鍾離,12327,2744.508,18006,1.144,0,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
狼牙(R5),劇団4(控え),元チャ+防御%+会心ダメージ,鍾離,12282,1386.708,18006,1.508,0,2.705704,0,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),劇団4(控え),元チャ+防御%+会心率,鍾離,12282,1386.708,18006,1.508,0,2.705705,0,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),元チャ+岩バフ+会心ダメージ,鍾離,12171,1760.76,18006,1.654,0,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),元チャ+岩バフ+会心率,鍾離,12171,1760.76,18006,1.654,0,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,元チャ+防御%+会心ダメージ,鍾離,11994,2744.508,18006,0.678,0,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,元チャ+防御%+会心率,鍾離,11994,2744.508,18006,0.678,0,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
黎明の神剣(R5),華館4,元チャ+岩バフ+防御%,鍾離,11987,1859.748,18006,1.144,0,2.303305,0,0.81:1.61,2.00,,0.48:0.65,0,0,1.6
黎明の神剣(R5),華館4,元チャ+防御%+防御%,鍾離,11958,2370.456,18006,0.678,0,2.303305,0,0.81:1.61,2.00,,0.48:0.65,0,0,1.6
シナバースピンドル(R5),華館4,元チャ+岩バフ+元素熟知,鍾離,11866,1953.48,18006,1.144,1562.784,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
磐岩結緑,劇団4(控え),元チャ+防御%+防御%,鍾離,11852,1897.416,20651.2,1.188,0,2.18734,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
狼牙(R5),華館4,元チャ+岩バフ+会心ダメージ,鍾離,11739,1349.04,18006,1.464,0,2.705704,0,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),華館4,元チャ+岩バフ+会心率,鍾離,11739,1349.04,18006,1.464,0,2.705705,0,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
狼牙(R5),劇団4(控え),元チャ+岩バフ+防御%,鍾離,11732,1386.708,18006,1.974,0,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
シナバースピンドル(R5),華館4,元チャ+元素熟知+防御%,鍾離,11715,2464.188,18006,0.678,1971.35,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
狼牙(R5),華館+劇団,元チャ+防御%+会心ダメージ,鍾離,11697,1649.508,18006,1.008,0,2.705704,0,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),華館+劇団,元チャ+防御%+会心率,鍾離,11697,1649.508,18006,1.008,0,2.705705,0,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
黎明の神剣(R5),華館4,元チャ+防御%+会心ダメージ,鍾離,11624,1859.748,18006,0.678,0,2.853775,0,0.96:1.93,2.00,,0.63:0.33,0,0,1.6
黎明の神剣(R5),華館4,元チャ+防御%+会心率,鍾離,11624,1859.748,18006,0.678,0,2.853775,0,0.96:1.93,2.00,,0.32:0.96,0,0,1.6
狼牙(R5),華館+劇団,元チャ+岩バフ+防御%,鍾離,11610,1649.508,18006,1.474,0,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
シナバースピンドル(R5),華館4,元チャ+元素熟知+会心ダメージ,鍾離,11546,1953.48,18006,0.678,1562.784,1.995461,187,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館4,元チャ+元素熟知+会心率,鍾離,11546,1953.48,18006,0.678,1562.784,1.995461,187,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,元チャ+防御%+防御%,鍾離,11443,3255.216,18006,0.678,0,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館+劇団,元チャ+岩バフ+防御%,鍾離,11435,2534.268,18006,1.154,0,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
シナバースピンドル(R5),劇団4(控え),元チャ+元素熟知+会心ダメージ,鍾離,11410,1480.44,18006,1.188,1184.352,1.995461,187,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),劇団4(控え),元チャ+元素熟知+会心率,鍾離,11410,1480.44,18006,1.188,1184.352,1.995461,187,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
磐岩結緑,華館4,元チャ+岩バフ+防御%,鍾離,11383,1859.748,20651.2,1.144,0,2.18734,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
磐岩結緑,華館4,元チャ+防御%+防御%,鍾離,11356,2370.456,20651.2,0.678,0,2.18734,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館+劇団,元チャ+岩バフ+会心ダメージ,鍾離,11352,2023.56,18006,1.154,0,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館+劇団,元チャ+岩バフ+会心率,鍾離,11352,2023.56,18006,1.154,0,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
シナバースピンドル(R5),劇団4(控え),元チャ+防御%+防御%,,11305,2501.856,18006,1.038,2001.485,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
黎明の神剣(R5),劇団4(控え),元チャ+防御%+会心ダメージ,鍾離,11301,1386.708,18006,1.188,0,2.853775,0,0.96:1.93,2.00,,0.63:0.33,0,0,1.6
黎明の神剣(R5),劇団4(控え),元チャ+防御%+会心率,鍾離,11301,1386.708,18006,1.188,0,2.853775,0,0.96:1.93,2.00,,0.32:0.96,0,0,1.6
シナバースピンドル(R5),劇団4(控え),元チャ+防御%+会心ダメージ,,11186,1991.148,18006,1.038,1592.918,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),劇団4(控え),元チャ+防御%+会心率,,11186,1991.148,18006,1.038,1592.918,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館+劇団,元チャ+防御%+会心ダメージ,鍾離,11141,2534.268,18006,0.688,0,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館+劇団,元チャ+防御%+会心率,鍾離,11141,2534.268,18006,0.688,0,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
シナバースピンドル(R5),劇団4(控え),元チャ+岩バフ+元素熟知,鍾離,11131,1480.44,18006,1.654,1184.352,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
黎明の神剣(R5),劇団4(控え),元チャ+岩バフ+防御%,鍾離,11064,1386.708,18006,1.654,0,2.303305,0,0.81:1.61,2.00,,0.48:0.65,0,0,1.6
磐岩結緑,華館4,元チャ+防御%+会心ダメージ,鍾離,11058,1859.748,20651.2,0.678,0,2.714952,0,0.93:1.85,2.00,,0.44:0.73,0,0,1.6
磐岩結緑,華館4,元チャ+防御%+会心率,鍾離,11058,1859.748,20651.2,0.678,0,2.714952,0,0.93:1.85,2.00,,0.12:1.35,0,0,1.6
シナバースピンドル(R5),劇団4(控え),元チャ+岩バフ+防御%,,11055,1991.148,18006,1.504,1592.918,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
黎明の神剣(R5),華館+劇団,元チャ+防御%+防御%,鍾離,10962,2160.216,18006,0.688,0,2.303305,0,0.81:1.61,2.00,,0.48:0.65,0,0,1.6
シナバースピンドル(R5),華館4,元チャ+岩バフ+防御%,,10894,2464.188,18006,0.994,1971.35,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
腐植の剣(R5),劇団4(控え),元チャ+防御%+防御%,鍾離,10833,1897.416,18006,1.508,0,1.7442,0,0.61:1.22,2.00,,0.44:0.72,0,0,1.6
腐植の剣(R5),華館4,元チャ+防御%+防御%,鍾離,10782,2370.456,18006,0.998,0,1.7442,0,0.61:1.22,2.00,,0.44:0.72,0,0,1.6
シナバースピンドル(R5),華館+劇団,元チャ+元素熟知+防御%,鍾離,10779,2253.948,18006,0.688,1803.158,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
黎明の神剣(R5),華館4,元チャ+岩バフ+会心ダメージ,鍾離,10773,1349.04,18006,1.144,0,2.853775,0,0.96:1.93,2.00,,0.63:0.33,0,0,1.6
黎明の神剣(R5),華館4,元チャ+岩バフ+会心率,鍾離,10773,1349.04,18006,1.144,0,2.853775,0,0.96:1.93,2.00,,0.32:0.96,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館+劇団,元チャ+防御%+防御%,鍾離,10767,3044.976,18006,0.688,0,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
磐岩結緑,劇団4(控え),元チャ+防御%+会心ダメージ,鍾離,10751,1386.708,20651.2,1.188,0,2.714952,0,0.93:1.85,2.00,,0.44:0.73,0,0,1.6
磐岩結緑,劇団4(控え),元チャ+防御%+会心率,鍾離,10751,1386.708,20651.2,1.188,0,2.714952,0,0.93:1.85,2.00,,0.12:1.35,0,0,1.6
シナバースピンドル(R5),華館4,元チャ+岩バフ+会心ダメージ,,10738,1953.48,18006,0.994,1562.784,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館4,元チャ+岩バフ+会心率,,10738,1953.48,18006,0.994,1562.784,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
黎明の神剣(R5),華館+劇団,元チャ+岩バフ+防御%,鍾離,10681,1649.508,18006,1.154,0,2.303305,0,0.81:1.61,2.00,,0.48:0.65,0,0,1.6
シナバースピンドル(R5),華館+劇団,元チャ+岩バフ+元素熟知,鍾離,10638,1743.24,18006,1.154,1394.592,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
狼牙(R5),華館4,元チャ+元素熟知+防御%,鍾離,10571,1859.748,18006,0.998,0,2.179648,187,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
腐植の剣(R5),華館4,元チャ+防御%+会心ダメージ,鍾離,10534,1859.748,18006,0.998,0,2.171981,0,0.77:1.53,2.00,,0.60:0.41,0,0,1.6
腐植の剣(R5),華館4,元チャ+防御%+会心率,鍾離,10534,1859.748,18006,0.998,0,2.171981,0,0.77:1.53,2.00,,0.28:1.03,0,0,1.6
磐岩結緑,劇団4(控え),元チャ+岩バフ+防御%,鍾離,10507,1386.708,20651.2,1.654,0,2.18734,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
腐植の剣(R5),華館4,元チャ+岩バフ+防御%,鍾離,10432,1859.748,18006,1.464,0,1.7442,0,0.61:1.22,2.00,,0.44:0.72,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),元チャ+元素熟知+防御%,鍾離,10411,2271.468,18006,1.188,0,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
磐岩結緑,華館+劇団,元チャ+防御%+防御%,鍾離,10410,2160.216,20651.2,0.688,0,2.18734,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
シナバースピンドル(R5),華館4,元チャ+防御%+会心ダメージ,,10379,2464.188,18006,0.528,1971.35,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館4,元チャ+防御%+会心率,,10379,2464.188,18006,0.528,1971.35,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
黎明の神剣(R5),華館+劇団,元チャ+防御%+会心ダメージ,鍾離,10371,1649.508,18006,0.688,0,2.853775,0,0.96:1.93,2.00,,0.63:0.33,0,0,1.6
黎明の神剣(R5),華館+劇団,元チャ+防御%+会心率,鍾離,10371,1649.508,18006,0.688,0,2.853775,0,0.96:1.93,2.00,,0.32:0.96,0,0,1.6
シナバースピンドル(R5),華館+劇団,元チャ+元素熟知+会心ダメージ,鍾離,10365,1743.24,18006,0.688,1394.592,1.995461,187,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館+劇団,元チャ+元素熟知+会心率,鍾離,10365,1743.24,18006,0.688,1394.592,1.995461,187,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
磐岩結緑,華館4,元チャ+岩バフ+会心ダメージ,鍾離,10249,1349.04,20651.2,1.144,0,2.714952,0,0.93:1.85,2.00,,0.44:0.73,0,0,1.6
磐岩結緑,華館4,元チャ+岩バフ+会心率,鍾離,10249,1349.04,20651.2,1.144,0,2.714952,0,0.93:1.85,2.00,,0.12:1.35,0,0,1.6
シナバースピンドル(R5),劇団4(控え),元チャ+岩バフ+会心ダメージ,,10219,1480.44,18006,1.504,1184.352,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),劇団4(控え),元チャ+岩バフ+会心率,,10219,1480.44,18006,1.504,1184.352,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
磐岩結緑,華館+劇団,元チャ+岩バフ+防御%,鍾離,10144,1649.508,20651.2,1.154,0,2.18734,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
シナバースピンドル(R5),華館4,元チャ+防御%+防御%,,10079,2974.896,18006,0.528,2379.917,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),元チャ+元素熟知+会心ダメージ,鍾離,10034,1760.76,18006,1.188,0,1.995461,187,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),元チャ+元素熟知+会心率,鍾離,10034,1760.76,18006,1.188,0,1.995461,187,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,元チャ+岩バフ+元素熟知,鍾離,10033,2233.8,18006,1.144,0,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
シナバースピンドル(R5),華館+劇団,元チャ+岩バフ+防御%,,10015,2253.948,18006,1.004,1803.158,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
狼牙(R5),劇団4(控え),元チャ+防御%+防御%,,9961,1897.416,18006,1.358,0,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
狼牙(R5),華館+劇団,元チャ+岩バフ+会心ダメージ,鍾離,9949,1138.8,18006,1.474,0,2.705704,0,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),華館+劇団,元チャ+岩バフ+会心率,鍾離,9949,1138.8,18006,1.474,0,2.705705,0,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
狼牙(R5),劇団4(控え),元チャ+元素熟知+防御%,鍾離,9894,1386.708,18006,1.508,0,2.179648,187,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
腐植の剣(R5),華館+劇団,元チャ+防御%+防御%,鍾離,9875,2160.216,18006,1.008,0,1.7442,0,0.61:1.22,2.00,,0.44:0.72,0,0,1.6
磐岩結緑,華館+劇団,元チャ+防御%+会心ダメージ,鍾離,9866,1649.508,20651.2,0.688,0,2.714952,0,0.93:1.85,2.00,,0.44:0.73,0,0,1.6
磐岩結緑,華館+劇団,元チャ+防御%+会心率,鍾離,9866,1649.508,20651.2,0.688,0,2.714952,0,0.93:1.85,2.00,,0.12:1.35,0,0,1.6
腐植の剣(R5),劇団4(控え),元チャ+防御%+会心ダメージ,鍾離,9859,1386.708,18006,1.508,0,2.171981,0,0.77:1.53,2.00,,0.60:0.41,0,0,1.6
腐植の剣(R5),劇団4(控え),元チャ+防御%+会心率,鍾離,9859,1386.708,18006,1.508,0,2.171981,0,0.77:1.53,2.00,,0.28:1.03,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),元チャ+岩バフ+元素熟知,鍾離,9789,1760.76,18006,1.654,0,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,元チャ+元素熟知+会心ダメージ,鍾離,9762,2233.8,18006,0.678,0,1.995461,187,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,元チャ+元素熟知+会心率,鍾離,9762,2233.8,18006,0.678,0,1.995461,187,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
狼牙(R5),華館4,元チャ+防御%+防御%,,9753,2370.456,18006,0.848,0,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
サーンドルの渡し守(R5),劇団4(控え),元チャ+防御%+防御%,鍾離,9720,1897.416,18006,1.188,0,1.7938,0,0.63:1.26,2.00,,0.42:0.76,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,元チャ+元素熟知+防御%,鍾離,9647,2744.508,18006,0.678,0,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
シナバースピンドル(R5),華館+劇団,元チャ+岩バフ+会心ダメージ,,9630,1743.24,18006,1.004,1394.592,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館+劇団,元チャ+岩バフ+会心率,,9630,1743.24,18006,1.004,1394.592,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
狼牙(R5),華館4,元チャ+岩バフ+防御%,,9581,1859.748,18006,1.314,0,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
シナバースピンドル(R5),華館+劇団,元チャ+防御%+会心ダメージ,,9556,2253.948,18006,0.538,1803.158,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館+劇団,元チャ+防御%+会心率,,9556,2253.948,18006,0.538,1803.158,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
狼牙(R5),華館4,元チャ+元素熟知+会心ダメージ,鍾離,9519,1349.04,18006,0.998,0,2.705704,187,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),華館4,元チャ+元素熟知+会心率,鍾離,9519,1349.04,18006,0.998,0,2.705705,187,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
狼牙(R5),華館4,元チャ+防御%+会心ダメージ,,9498,1859.748,18006,0.848,0,2.705704,0,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),華館4,元チャ+防御%+会心率,,9498,1859.748,18006,0.848,0,2.705705,0,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
狼牙(R5),華館4,元チャ+岩バフ+元素熟知,鍾離,9456,1349.04,18006,1.464,0,2.179648,187,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),元チャ+防御%+会心ダメージ,,9436,2271.468,18006,1.038,0,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),元チャ+防御%+会心率,,9436,2271.468,18006,1.038,0,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
シナバースピンドル(R5),華館+劇団,元チャ+防御%+防御%,,9428,2764.656,18006,0.538,2211.725,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
腐植の剣(R5),華館4,元チャ+岩バフ+会心ダメージ,鍾離,9423,1349.04,18006,1.464,0,2.171981,0,0.77:1.53,2.00,,0.60:0.41,0,0,1.6
腐植の剣(R5),華館4,元チャ+岩バフ+会心率,鍾離,9423,1349.04,18006,1.464,0,2.171981,0,0.77:1.53,2.00,,0.28:1.03,0,0,1.6
狼牙(R5),華館+劇団,元チャ+元素熟知+防御%,鍾離,9423,1649.508,18006,1.008,0,2.179648,187,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
腐植の剣(R5),華館+劇団,元チャ+防御%+会心ダメージ,鍾離,9390,1649.508,18006,1.008,0,2.171981,0,0.77:1.53,2.00,,0.60:0.41,0,0,1.6
腐植の剣(R5),華館+劇団,元チャ+防御%+会心率,鍾離,9390,1649.508,18006,1.008,0,2.171981,0,0.77:1.53,2.00,,0.28:1.03,0,0,1.6
腐植の剣(R5),劇団4(控え),元チャ+岩バフ+防御%,鍾離,9388,1386.708,18006,1.974,0,1.7442,0,0.61:1.22,2.00,,0.44:0.72,0,0,1.6
黎明の神剣(R5),華館4,元チャ+元素熟知+防御%,鍾離,9381,1859.748,18006,0.678,0,2.303305,187,0.81:1.61,2.00,,0.48:0.65,0,0,1.6
サーンドルの渡し守(R5),華館4,元チャ+岩バフ+防御%,鍾離,9335,1859.748,18006,1.144,0,1.7938,0,0.63:1.26,2.00,,0.42:0.76,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),元チャ+岩バフ+防御%,,9325,2271.468,18006,1.504,0,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
サーンドルの渡し守(R5),華館4,元チャ+防御%+防御%,鍾離,9313,2370.456,18006,0.678,0,1.7938,0,0.63:1.26,2.00,,0.42:0.76,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),元チャ+防御%+防御%,,9296,2782.176,18006,1.038,0,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
