武器,聖遺物セット,聖遺物メイン,バフキャラ,スキル期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
霧切(完凸),劇団4(表),防御%、防御%、会心率,なし,11466.09,1236,18006,1.088,2.330896,0,0.82:1.63,2.00,a,0.45475,0,0,0
霧切(完凸),劇団4(表),防御%、防御%、会心ダメージ,なし,11466.09,1236,18006,1.088,2.330896,0,0.82:1.63,2.00,a,0.76575,0,0,0
霧切(完凸),華館4,防御%、元素バフ、会心率,なし,11309.31,1236,18006,1.554,2.330896,0,0.82:1.63,2.00,a,0.45475,0,0,0
霧切(完凸),華館4,防御%、元素バフ、会心ダメージ,なし,11309.31,1236,18006,1.554,2.330896,0,0.82:1.63,2.00,a,0.76575,0,0,0
狼牙(完凸),花海4,防御%、防御%、防御%,なし,11302.49,1072,20651.2,0.288,2.179648,0,0.77:1.54,2.00,a,0.282,0,0,0
萃光の裁葉,劇団4(控え),防御%、防御%、防御%,なし,11278.77,1104,18006,0.288,2.249781,0,0.79:1.58,2.00,a,0.7005,0,0,0
黎明の神剣,劇団4(控え),防御%、防御%、会心率,なし,11272.62,963,18006,0.288,2.853775,0,0.96:1.93,2.00,a,0.32175,0,0,0
黎明の神剣,劇団4(控え),防御%、防御%、会心ダメージ,なし,11272.62,963,18006,0.288,2.853775,0,0.96:1.93,2.00,a,0.63275,0,0,0
狼牙(3),劇団4(控え),防御%、元素バフ、防御%,なし,11269.84,1072,18006,0.7539999,2.119008,0,0.75:1.50,2.00,a,0.302,0,0,0
狼牙(2),劇団4(控え),防御%、防御%、会心率,なし,11263.68,1072,18006,0.288,2.596684,0,0.89:1.79,2.00,a,0.1565,0,0,0
狼牙(2),劇団4(控え),防御%、防御%、会心ダメージ,なし,11263.68,1072,18006,0.288,2.596684,0,0.89:1.79,2.00,a,0.4675,0,0,0
霧切(フル),劇団4(控え),防御%、防御%、防御%,なし,11225.98,1236,18006,0.688,1.87186,0,0.66:1.32,2.00,a,0.61025,0,0,0
霧切(完凸),悠久4,防御%、防御%、防御%,なし,11225.98,1236,18006,1.438,1.87186,0,0.66:1.32,2.00,a,0.61025,0,0,0
黎明の神剣,劇団4(控え),防御%、元素バフ、防御%,なし,11178.58,963,18006,0.7539999,2.303305,0,0.81:1.61,2.00,a,0.47725,0,0,0
狼牙(1),劇団4(控え),防御%、防御%、防御%,なし,11137.95,1072,18006,0.288,2.059968,0,0.73:1.46,2.00,a,0.322,0,0,0
霧切(完凸),花海4,防御%、元素バフ、防御%,なし,11080.09,1236,20651.2,1.554,1.87186,0,0.66:1.32,2.00,a,0.61025,0,0,0
狼牙(完凸),花海4,防御%、防御%、会心率,なし,11054.83,1072,20651.2,0.288,2.705704,0,0.92:1.85,2.00,a,0.1265,0,0,0
狼牙(完凸),花海4,防御%、防御%、会心ダメージ,なし,11054.83,1072,20651.2,0.288,2.705704,0,0.92:1.85,2.00,a,0.4375,0,0,0
狼牙(完凸),劇団4(表),防御%、防御%、防御%,なし,11034.41,1072,18006,0.288,2.179648,0,0.77:1.54,2.00,a,0.282,0,0,0
萃光の裁葉,劇団4(控え),防御%、防御%、会心率,なし,11020.04,1104,18006,0.288,2.789832,0,0.95:1.89,2.00,a,0.545,0,0,0
霧切(フル),劇団4(控え),防御%、防御%、会心率,なし,11014.32,1236,18006,0.688,2.330896,0,0.82:1.63,2.00,a,0.45475,0,0,0
霧切(フル),劇団4(控え),防御%、防御%、会心ダメージ,なし,11014.32,1236,18006,0.688,2.330896,0,0.82:1.63,2.00,a,0.76575,0,0,0
霧切(完凸),悠久4,防御%、防御%、会心率,なし,11014.32,1236,18006,1.438,2.330896,0,0.82:1.63,2.00,a,0.45475,0,0,0
霧切(完凸),悠久4,防御%、防御%、会心ダメージ,なし,11014.32,1236,18006,1.438,2.330896,0,0.82:1.63,2.00,a,0.76575,0,0,0
萃光の裁葉,劇団4(控え),防御%、防御%、会心ダメージ,なし,10995.26,1104,18006,0.288,2.78356,0,0.89:2.00,2.25,a,0.8,0,0,0
磐岩結緑,劇団4(控え),防御%、防御%、防御%,なし,10965.74,1104,20651.2,0.288,2.18734,0,0.77:1.54,2.00,a,0.2795,0,0,0
磐岩結緑(完凸),劇団4(控え),防御%、防御%、防御%,なし,10965.74,1104,23296.4,0.288,2.18734,0,0.77:1.54,2.00,a,0.2795,0,0,0
狼牙(2),劇団4(控え),防御%、元素バフ、防御%,なし,10949.79,1072,18006,0.7539999,2.089288,0,0.74:1.48,2.00,a,0.312,0,0,0
狼牙(完凸),華館4,防御%、元素バフ、防御%,なし,10946.25,1072,18006,0.7539999,2.179648,0,0.77:1.54,2.00,a,0.282,0,0,0
狼牙(4),花海4,防御%、防御%、防御%,なし,10932.76,1072,20651.2,0.288,2.149128,0,0.76:1.52,2.00,a,0.292,0,0,0
萃光の裁葉,劇団4(控え),防御%、元素バフ、防御%,なし,10918.81,1104,18006,0.7539999,2.249781,0,0.79:1.58,2.00,a,0.7005,0,0,0
静水流転の輝き,花海4,防御%、防御%、防御%,なし,10911.93,1104,24354.48,0.288,2.18734,0,0.77:1.54,2.00,a,0.7205,0,0,0
狼牙(1),劇団4(控え),防御%、防御%、会心率,なし,10910.95,1072,18006,0.288,2.561144,0,0.88:1.77,2.00,a,0.1665,0,0,0
狼牙(1),劇団4(控え),防御%、防御%、会心ダメージ,なし,10910.95,1072,18006,0.288,2.561144,0,0.88:1.77,2.00,a,0.4775,0,0,0
霧切(完凸),劇団4(控え),防御%、元素バフ、会心率,なし,10909.04,1236,18006,1.554,2.330896,0,0.82:1.63,2.00,a,0.45475,0,0,0
霧切(完凸),劇団4(控え),防御%、元素バフ、会心ダメージ,なし,10909.04,1236,18006,1.554,2.330896,0,0.82:1.63,2.00,a,0.76575,0,0,0
霧切(完凸),劇団4(表),防御%、元素バフ、防御%,なし,10898.69,1236,18006,1.554,1.87186,0,0.66:1.32,2.00,a,0.61025,0,0,0
狼牙(完凸),花海4,防御%、元素バフ、防御%,なし,10874.16,1072,20651.2,0.7539999,2.179648,0,0.77:1.54,2.00,a,0.282,0,0,0
狼牙(完凸),劇団4(控え),防御%、元素バフ、会心率,なし,10823.52,1072,18006,0.7539999,2.705704,0,0.92:1.85,2.00,a,0.1265,0,0,0
狼牙(完凸),劇団4(控え),防御%、元素バフ、会心ダメージ,なし,10823.52,1072,18006,0.7539999,2.705704,0,0.92:1.85,2.00,a,0.4375,0,0,0
狼牙(完凸),劇団4(表),防御%、防御%、会心率,なし,10792.61,1072,18006,0.288,2.705704,0,0.92:1.85,2.00,a,0.1265,0,0,0
狼牙(完凸),劇団4(表),防御%、防御%、会心ダメージ,なし,10792.61,1072,18006,0.288,2.705704,0,0.92:1.85,2.00,a,0.4375,0,0,0
霧切(完凸),劇団+千岩,防御%、防御%、防御%,なし,10765.52,1236,20651.2,1.088,1.87186,0,0.66:1.32,2.00,a,0.61025,0,0,0
磐岩結緑,劇団4(控え),防御%、防御%、会心率,なし,10724.26,1104,20651.2,0.288,2.714952,0,0.93:1.85,2.00,a,0.124,0,0,0
磐岩結緑,劇団4(控え),防御%、防御%、会心ダメージ,なし,10724.26,1104,20651.2,0.288,2.714952,0,0.93:1.85,2.00,a,0.435,0,0,0
磐岩結緑(完凸),劇団4(控え),防御%、防御%、会心率,なし,10724.26,1104,23296.4,0.288,2.714952,0,0.93:1.85,2.00,a,0.124,0,0,0
磐岩結緑(完凸),劇団4(控え),防御%、防御%、会心ダメージ,なし,10724.26,1104,23296.4,0.288,2.714952,0,0.93:1.85,2.00,a,0.435,0,0,0
狼牙(4),花海4,防御%、防御%、会心率,なし,10697.79,1072,20651.2,0.288,2.668965,0,0.91:1.83,2.00,a,0.1365,0,0,0
狼牙(4),花海4,防御%、防御%、会心ダメージ,なし,10697.79,1072,20651.2,0.288,2.668964,0,0.91:1.83,2.00,a,0.4475,0,0,0
霧切(通常無し),劇団4(控え),防御%、防御%、防御%,なし,10673.43,1236,18006,0.568,1.87186,0,0.66:1.32,2.00,a,0.61025,0,0,0
静水流転の輝き,花海4,防御%、防御%、会心率,なし,10671.64,1104,24354.48,0.288,2.714952,0,0.93:1.85,2.00,a,0.565,0,0,0
狼牙(4),劇団4(表),防御%、防御%、防御%,なし,10668.43,1072,18006,0.288,2.149128,0,0.76:1.52,2.00,a,0.292,0,0,0
狼牙(完凸),劇団4(表),防御%、元素バフ、防御%,なし,10662.93,1072,18006,0.7539999,2.179648,0,0.77:1.54,2.00,a,0.282,0,0,0
狼牙(完凸),華館4,防御%、元素バフ、会心率,なし,10660.6,1072,18006,0.7539999,2.705704,0,0.92:1.85,2.00,a,0.1265,0,0,0
狼牙(完凸),華館4,防御%、元素バフ、会心ダメージ,なし,10660.6,1072,18006,0.7539999,2.705704,0,0.92:1.85,2.00,a,0.4375,0,0,0
静水流転の輝き,劇団4(表),防御%、防御%、防御%,なし,10642.9,1104,21709.28,0.288,2.18734,0,0.77:1.54,2.00,a,0.7205,0,0,0
狼牙(1),劇団4(控え),防御%、元素バフ、防御%,なし,10636.42,1072,18006,0.7539999,2.059968,0,0.73:1.46,2.00,a,0.322,0,0,0
静水流転の輝き,花海4,防御%、防御%、会心ダメージ,なし,10626.23,1104,24354.48,0.288,2.7034,0,0.85:2.00,2.36,a,0.8,0,0,0
磐岩結緑,劇団4(控え),防御%、元素バフ、防御%,なし,10615.77,1104,20651.2,0.7539999,2.18734,0,0.77:1.54,2.00,a,0.2795,0,0,0
磐岩結緑(完凸),劇団4(控え),防御%、元素バフ、防御%,なし,10615.77,1104,23296.4,0.7539999,2.18734,0,0.77:1.54,2.00,a,0.2795,0,0,0
狼牙(4),華館4,防御%、元素バフ、防御%,なし,10584.82,1072,18006,0.7539999,2.149128,0,0.76:1.52,2.00,a,0.292,0,0,0
静水流転の輝き,花海4,防御%、元素バフ、防御%,なし,10573.38,1104,24354.48,0.7539999,2.18734,0,0.77:1.54,2.00,a,0.7205,0,0,0
狼牙(3),花海4,防御%、防御%、防御%,なし,10571.04,1072,20651.2,0.288,2.119008,0,0.75:1.50,2.00,a,0.302,0,0,0
霧切(完凸),劇団+千岩,防御%、防御%、会心率,なし,10562.54,1236,20651.2,1.088,2.330896,0,0.82:1.63,2.00,a,0.45475,0,0,0
霧切(完凸),劇団+千岩,防御%、防御%、会心ダメージ,なし,10562.54,1236,20651.2,1.088,2.330896,0,0.82:1.63,2.00,a,0.76575,0,0,0
静水流転の輝き,華館4,防御%、元素バフ、防御%,なし,10561.16,1104,21709.28,0.7539999,2.18734,0,0.77:1.54,2.00,a,0.7205,0,0,0
狼牙(4),花海4,防御%、元素バフ、防御%,なし,10555.28,1072,20651.2,0.7539999,2.149128,0,0.76:1.52,2.00,a,0.292,0,0,0
静水流転の輝き,劇団4(控え),防御%、元素バフ、会心率,なし,10552.85,1104,21709.28,0.7539999,2.714952,0,0.93:1.85,2.00,a,0.565,0,0,0
霧切(フル),劇団4(控え),防御%、元素バフ、防御%,なし,10535.88,1236,18006,1.154,1.87186,0,0.66:1.32,2.00,a,0.61025,0,0,0
霧切(完凸),悠久4,防御%、元素バフ、防御%,なし,10535.88,1236,18006,1.904,1.87186,0,0.66:1.32,2.00,a,0.61025,0,0,0
霧切(完凸),劇団+沈淪,防御%、防御%、防御%,なし,10535.29,1236,18006,1.088,1.87186,0,0.66:1.32,2.00,a,0.61025,0,0,0
