武器,聖遺物セット,聖遺物メイン,バフキャラ,爆発一発目期待値,爆発通常合計期待値,願力,爆発一発目倍率,元チャ,攻撃力,加算,バフ合計,バフ共通,元素バフ,バフ爆発,耐性ダウン,耐性ダウン計算後,パーティ元素,熟知,率ダメ,サブステ,スコア
赤砂の杖(スキル命中3),ファントム4,攻撃%+雷バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),132750,38605,36,9.73,1.32,2879,0,1.914,1.05,0.594,0.27,0,0.575,Pyro:1、Hydro:1、Electro:1、Anemo:1、,150,0.96:1.91,0.11:0.79,1
護摩(HP50%以上),ファントム4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+フリーナ(フル)+ベネット(西風、旧貴族),132401,40066,38,9.87,1.32,3770,0,2.014,0.75,0.994,0.27,0,0.45,Pyro:1、Hydro:1、Electro:2、,100,0.90:1.80,0.49:0.02,1
護摩(HP50%以上),ファントム4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+フリーナ(フル)+ベネット(西風、旧貴族),132401,40066,38,9.87,1.32,3770,0,2.014,0.75,0.994,0.27,0,0.45,Pyro:1、Hydro:1、Electro:2、,100,0.90:1.80,0.18:0.64,1
護摩(HP50%以上),絶縁4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),131962,39934,38,9.87,1.52,3770,0,2.024,0.3,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.72:1.44,0.36:0.28,1
草薙の稲光,絶縁4,元チャ+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),131725,39862,38,9.87,2.889,3667,0,2.91385,0.3,1.6216,0.99225,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.56:1.11,0.19:0.61,1
草薙の稲光,絶縁4,元チャ+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),131720,39860,38,9.87,2.889,3667,0,2.91385,0.3,1.6216,0.99225,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.55:1.12,0.50:0.00,1
赤砂の杖(スキル命中3),ファントム4,元素熟知+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+フリーナ(フル)+ベネット(西風、旧貴族),131329,39742,38,9.87,1.32,3469,0,2.014,0.75,0.994,0.27,0,0.45,Pyro:1、Hydro:1、Electro:2、,287,0.96:1.91,0.11:0.79,1
赤砂の杖(スキル命中3),絶縁4,元チャ+攻撃%+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),131255,39719,38,9.87,2.038,3624,0,1.8947,0.3,0.8152001,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.78:1.55,0.29:0.43,1
赤砂の杖(スキル命中3),絶縁4,元素熟知+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),131243,39716,38,9.87,1.52,3469,0,2.024,0.3,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,287,0.78:1.55,0.29:0.43,1
赤砂の杖(スキル命中3),絶縁4,元チャ+攻撃%+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),131174,39695,38,9.87,2.038,3624,0,1.8947,0.3,0.8152001,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.80:1.50,0.00:1.00,1
赤砂の杖(スキル命中3),絶縁4,元素熟知+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),131162,39691,38,9.87,1.52,3469,0,2.024,0.3,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,287,0.80:1.50,0.00:1.00,1
赤砂の杖(スキル命中3),絶縁4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+モナ(max),131014,39647,38,9.87,1.52,3624,0,2.324,0.6,1.074,0.65,0,0.45,Pyro:1、Hydro:1、Electro:2、,100,0.85:1.70,0.21:0.58,1
和璞鳶,ファントム4,攻撃%+雷バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上、ヒーラー)+フリーナ(フル)+ベネット(西風、旧貴族),130775,38031,36,9.73,1.32,3122,0,2.134,0.87,0.994,0.27,0,0.565,Pyro:1、Hydro:1、Electro:1、Geo:1、,150,0.85:1.69,0.22:0.57,1
草薙の稲光,絶縁4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),130351,39446,38,9.87,2.371,3970,0,2.57715,0.3,1.4144,0.86275,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.56:1.11,0.19:0.61,1
草薙の稲光,絶縁4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),130346,39444,38,9.87,2.371,3970,0,2.57715,0.3,1.4144,0.86275,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.55:1.12,0.50:0.00,1
赤砂の杖(スキル命中3),ファントム4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼4、2凸、2色以上、ヒーラー)+フリーナ(フル)+ベネット(西風、旧貴族),130283,37888,36,9.73,1.32,3289,0,1.548,0.75,0.528,0.27,0,0.565,Pyro:1、Hydro:1、Electro:1、Geo:1、,150,0.96:1.91,0.11:0.79,1
赤砂の杖(スキル命中3),ファントム4,元チャ+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+フリーナ(フル)+ベネット(西風、旧貴族),130068,39360,38,9.87,1.838,3215,0,2.2212,0.75,1.2012,0.27,0,0.45,Pyro:1、Hydro:1、Electro:2、,100,0.96:1.91,0.11:0.79,1
草薙の稲光,絶縁4,元チャ+攻撃%+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),129976,39333,38,9.87,2.889,4108,0,2.44785,0.3,1.1556,0.99225,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.56:1.11,0.19:0.61,1
草薙の稲光,絶縁4,元チャ+攻撃%+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),129971,39331,38,9.87,2.889,4108,0,2.44785,0.3,1.1556,0.99225,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.55:1.12,0.50:0.00,1
赤砂の杖(スキル命中3),絶縁4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+モナ(max),129923,39316,38,9.87,1.52,3624,0,2.324,0.6,1.074,0.65,0,0.45,Pyro:1、Hydro:1、Electro:2、,100,0.95:1.50,0.00:1.00,1
赤砂の杖(スキル命中3),絶縁4,攻撃%+攻撃%+会心ダメージ,イアンサ(灰燼4、爆発lv10)+モナ(max)+万葉(翠緑4),129814,39283,38,9.87,1.52,2958,0,2.158,0.9,0.608,0.65,0,0.575,Hydro:1、Electro:2、Anemo:1、,100,0.85:1.70,0.21:0.58,1
和璞鳶,絶縁4,元チャ+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),129809,39282,38,9.87,2.038,3482,0,2.4807,0.42,1.2812,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.67:1.33,0.40:0.21,1
和璞鳶,絶縁4,元チャ+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),129809,39282,38,9.87,2.038,3482,0,2.4807,0.42,1.2812,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.67:1.33,0.08:0.83,1
和璞鳶,ファントム4,攻撃%+雷バフ+会心率,シロネン(灰燼4、2凸、2色以上、ヒーラー)+フリーナ(フル)+ベネット(西風、旧貴族),129784,37743,36,9.73,1.32,3122,0,2.134,0.87,0.994,0.27,0,0.565,Pyro:1、Hydro:1、Electro:1、Geo:1、,150,0.94:1.50,0.00:1.00,1
和璞鳶,絶縁4,攻撃%+攻撃%+会心ダメージ,イアンサ(灰燼4、爆発lv10)+モナ(max)+万葉(翠緑4),129678,39242,38,9.87,1.52,3322,0,2.278,1.02,0.608,0.65,0,0.575,Hydro:1、Electro:2、Anemo:1、,100,0.74:1.48,0.32:0.36,1
和璞鳶,絶縁4,攻撃%+攻撃%+会心率,イアンサ(灰燼4、爆発lv10)+モナ(max)+万葉(翠緑4),129678,39242,38,9.87,1.52,3322,0,2.278,1.02,0.608,0.65,0,0.575,Hydro:1、Electro:2、Anemo:1、,100,0.74:1.48,0.01:0.98,1
護摩(HP50%以上),絶縁4,元チャ+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),129524,39196,38,9.87,2.038,3329,0,2.3607,0.3,1.2812,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.72:1.44,0.36:0.28,1
赤砂の杖(スキル命中3),ファントム4,攻撃%+攻撃%+会心ダメージ,イアンサ(灰燼4、爆発lv10)+フリーナ(フル)+ベネット(西風、旧貴族),129102,39068,38,9.87,1.32,4034,0,1.548,0.75,0.528,0.27,0,0.45,Pyro:1、Hydro:1、Electro:2、,100,0.96:1.91,0.11:0.79,1
赤砂の杖(スキル命中3),絶縁4,攻撃%+攻撃%+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),129096,39066,38,9.87,1.52,4034,0,1.558,0.3,0.608,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.78:1.55,0.29:0.43,1
死闘の槍(R5、敵2以上),ファントム4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+フリーナ(フル)+ベネット(西風、旧貴族),129059,39055,38,9.87,1.32,3583,0,2.014,0.75,0.994,0.27,0,0.45,Pyro:1、Hydro:1、Electro:2、,100,0.92:1.84,0.14:0.72,1
赤砂の杖(スキル命中3),絶縁4,攻撃%+攻撃%+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),129017,39042,38,9.87,1.52,4034,0,1.558,0.3,0.608,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.80:1.50,0.00:1.00,1
和璞鳶,ファントム4,攻撃%+雷バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),128843,37469,36,9.73,1.32,3122,0,2.034,1.17,0.594,0.27,0,0.575,Pyro:1、Hydro:1、Electro:1、Anemo:1、,150,0.85:1.69,0.22:0.57,1
赤砂の杖(スキル命中3),絶縁4,攻撃%+雷バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上、ヒーラー)+ベネット(西風、旧貴族)+モナ(max),128828,37465,36,9.73,1.52,2879,0,2.324,0.6,1.074,0.65,0,0.565,Pyro:1、Hydro:1、Electro:1、Geo:1、,150,0.85:1.70,0.21:0.58,1
死闘の槍(R5、敵2以上),絶縁4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),128734,38957,38,9.87,1.52,3583,0,2.024,0.3,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.74:1.48,0.32:0.36,1
死闘の槍(R5、敵2以上),絶縁4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),128734,38957,38,9.87,1.52,3583,0,2.024,0.3,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.74:1.48,0.01:0.98,1
赤砂の杖(スキル命中3),絶縁4,攻撃%+攻撃%+会心率,イアンサ(灰燼4、爆発lv10)+モナ(max)+万葉(翠緑4),128732,38956,38,9.87,1.52,2958,0,2.158,0.9,0.608,0.65,0,0.575,Hydro:1、Electro:2、Anemo:1、,100,0.95:1.50,0.00:1.00,1
死闘の槍(R5、敵2以上),絶縁4,元チャ+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),128348,38840,38,9.87,2.038,3214,0,2.3607,0.3,1.2812,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.74:1.48,0.32:0.36,1
死闘の槍(R5、敵2以上),絶縁4,元チャ+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),128348,38840,38,9.87,2.038,3214,0,2.3607,0.3,1.2812,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.74:1.48,0.01:0.98,1
赤砂の杖(スキル命中3),絶縁4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+モナ(max)+万葉(翠緑4),128342,38838,38,9.87,1.52,2549,0,2.624,0.9,1.074,0.65,0,0.575,Hydro:1、Electro:2、Anemo:1、,100,0.85:1.70,0.21:0.58,1
ひれ長(R5),ファントム4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+フリーナ(フル)+ベネット(西風、旧貴族),128203,38796,38,9.87,1.32,3761,0,2.686,0.75,0.994,0.942,0,0.45,Pyro:1、Hydro:1、Electro:2、,100,0.74:1.47,0.33:0.35,1
ひれ長(R5),ファントム4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+フリーナ(フル)+ベネット(西風、旧貴族),128203,38796,38,9.87,1.32,3761,0,2.686,0.75,0.994,0.942,0,0.45,Pyro:1、Hydro:1、Electro:2、,100,0.74:1.47,0.01:0.97,1
護摩(HP50%以上),絶縁4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),128179,38789,38,9.87,1.52,3770,0,2.024,0.3,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.55:1.78,0.50:0.00,1
護摩(HP50%以上),ファントム4,攻撃%+雷バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上、ヒーラー)+フリーナ(フル)+ベネット(西風、旧貴族),128132,37262,36,9.73,1.32,2948,0,2.014,0.75,0.994,0.27,0,0.565,Pyro:1、Hydro:1、Electro:1、Geo:1、,150,0.90:1.80,0.49:0.02,1
護摩(HP50%以上),ファントム4,攻撃%+雷バフ+会心率,シロネン(灰燼4、2凸、2色以上、ヒーラー)+フリーナ(フル)+ベネット(西風、旧貴族),128132,37262,36,9.73,1.32,2948,0,2.014,0.75,0.994,0.27,0,0.565,Pyro:1、Hydro:1、Electro:1、Geo:1、,150,0.90:1.80,0.18:0.64,1
和璞鳶,ファントム4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼4、2凸、2色以上、ヒーラー)+フリーナ(フル)+ベネット(西風、旧貴族),128132,37262,36,9.73,1.32,3593,0,1.668,0.87,0.528,0.27,0,0.565,Pyro:1、Hydro:1、Electro:1、Geo:1、,150,0.85:1.69,0.22:0.57,1
赤砂の杖(スキル命中3),絶縁4,元チャ+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+モナ(max),127979,38728,38,9.87,2.038,3215,0,2.6607,0.6,1.2812,0.7795,0,0.45,Pyro:1、Hydro:1、Electro:2、,100,0.85:1.70,0.21:0.58,1
和璞鳶,ファントム4,攻撃%+雷バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),127867,37185,36,9.73,1.32,3122,0,2.034,1.17,0.594,0.27,0,0.575,Pyro:1、Hydro:1、Electro:1、Anemo:1、,150,0.94:1.50,0.00:1.00,1
赤砂の杖(スキル命中3),絶縁4,攻撃%+雷バフ+会心率,シロネン(灰燼4、2凸、2色以上、ヒーラー)+ベネット(西風、旧貴族)+モナ(max),127754,37152,36,9.73,1.52,2879,0,2.324,0.6,1.074,0.65,0,0.565,Pyro:1、Hydro:1、Electro:1、Geo:1、,150,0.95:1.50,0.00:1.00,1
赤砂の杖(スキル命中3),ファントム4,元素熟知+雷バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上、ヒーラー)+フリーナ(フル)+ベネット(西風、旧貴族),127641,37120,36,9.73,1.32,2724,0,2.014,0.75,0.994,0.27,0,0.565,Pyro:1、Hydro:1、Electro:1、Geo:1、,337,0.96:1.91,0.11:0.79,1
和璞鳶,絶縁4,元チャ+攻撃%+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),127641,38626,38,9.87,2.038,3953,0,2.0147,0.42,0.8152001,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.67:1.33,0.40:0.21,1
和璞鳶,絶縁4,元チャ+攻撃%+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),127641,38626,38,9.87,2.038,3953,0,2.0147,0.42,0.8152001,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.67:1.33,0.08:0.83,1
ひれ長(R5),絶縁4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),127591,38611,38,9.87,1.52,3761,0,2.696,0.3,1.074,1.322,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.56:1.11,0.19:0.61,1
ひれ長(R5),絶縁4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),127586,38609,38,9.87,1.52,3761,0,2.696,0.3,1.074,1.322,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.55:1.12,0.50:0.00,1
和璞鳶,ファントム4,攻撃%+攻撃%+会心ダメージ,イアンサ(灰燼4、爆発lv10)+フリーナ(フル)+ベネット(西風、旧貴族),127479,38577,38,9.87,1.32,4424,0,1.668,0.87,0.528,0.27,0,0.45,Pyro:1、Hydro:1、Electro:2、,100,0.85:1.69,0.22:0.57,1
赤砂の杖(スキル命中3),ファントム4,攻撃%+攻撃%+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),127385,37045,36,9.73,1.32,3289,0,1.448,1.05,0.128,0.27,0,0.575,Pyro:1、Hydro:1、Electro:1、Anemo:1、,150,0.96:1.91,0.11:0.79,1
赤砂の杖(スキル命中3),絶縁4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+モナ(max)+万葉(翠緑4),127273,38515,38,9.87,1.52,2549,0,2.624,0.9,1.074,0.65,0,0.575,Hydro:1、Electro:2、Anemo:1、,100,0.95:1.50,0.00:1.00,1
赤砂の杖(スキル命中3),絶縁4,攻撃%+雷バフ+会心ダメージ,ベネット(西風、旧貴族)+モナ(max)+万葉(翠緑4),127164,36981,36,9.73,1.52,2879,0,2.224,0.9,0.674,0.65,0,0.575,Pyro:1、Hydro:1、Electro:1、Anemo:1、,150,0.85:1.70,0.21:0.58,1
和璞鳶,ファントム4,攻撃%+攻撃%+会心率,シロネン(灰燼4、2凸、2色以上、ヒーラー)+フリーナ(フル)+ベネット(西風、旧貴族),127160,36980,36,9.73,1.32,3593,0,1.668,0.87,0.528,0.27,0,0.565,Pyro:1、Hydro:1、Electro:1、Geo:1、,150,0.94:1.50,0.00:1.00,1
和璞鳶,絶縁4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+モナ(max)+万葉(翠緑4),127109,38465,38,9.87,1.52,2851,0,2.744,1.02,1.074,0.65,0,0.575,Hydro:1、Electro:2、Anemo:1、,100,0.74:1.48,0.32:0.36,1
和璞鳶,絶縁4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+モナ(max)+万葉(翠緑4),127109,38465,38,9.87,1.52,2851,0,2.744,1.02,1.074,0.65,0,0.575,Hydro:1、Electro:2、Anemo:1、,100,0.74:1.48,0.01:0.98,1
赤砂の杖(スキル命中3),絶縁4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ジン(翠緑4)+ベネット(西風、旧貴族),127019,41312,42,10.15,1.52,3624,0,1.724,0,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.78:1.55,0.29:0.43,1
赤砂の杖(スキル命中3),絶縁4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ジン(翠緑4)+ベネット(西風、旧貴族),126941,41286,42,10.15,1.52,3624,0,1.724,0,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.80:1.50,0.00:1.00,1
赤砂の杖(スキル命中3),絶縁4,元チャ+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+モナ(max),126913,38406,38,9.87,2.038,3215,0,2.6607,0.6,1.2812,0.7795,0,0.45,Pyro:1、Hydro:1、Electro:2、,100,0.95:1.50,0.00:1.00,1
和璞鳶,絶縁4,攻撃%+攻撃%+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),126898,38401,38,9.87,1.52,4424,0,1.678,0.42,0.608,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.67:1.33,0.40:0.21,1
和璞鳶,絶縁4,攻撃%+攻撃%+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),126898,38401,38,9.87,1.52,4424,0,1.678,0.42,0.608,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.67:1.33,0.08:0.83,1
和璞鳶,絶縁4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+モナ(max),126881,38396,38,9.87,1.52,3953,0,2.444,0.72,1.074,0.65,0,0.45,Pyro:1、Hydro:1、Electro:2、,100,0.74:1.48,0.32:0.36,1
和璞鳶,絶縁4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+モナ(max),126881,38396,38,9.87,1.52,3953,0,2.444,0.72,1.074,0.65,0,0.45,Pyro:1、Hydro:1、Electro:2、,100,0.74:1.48,0.01:0.98,1
護摩(HP50%以上),絶縁4,攻撃%+攻撃%+会心率,イアンサ(灰燼4、爆発lv10)+モナ(max)+万葉(翠緑4),126827,38380,38,9.87,1.52,3121,0,2.158,0.9,0.608,0.65,0,0.575,Hydro:1、Electro:2、Anemo:1、,100,0.80:1.59,0.29:0.43,1
和璞鳶,ファントム4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ジン(翠緑4)+フリーナ(フル),126798,41240,42,10.15,1.32,2851,0,2.134,0.87,0.994,0.27,0,0.575,Hydro:1、Electro:2、Anemo:1、,100,0.85:1.69,0.22:0.57,1
赤砂の杖(スキル命中3),ファントム4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ジン(翠緑4)+フリーナ(フル),126780,41234,42,10.15,1.32,2549,0,2.014,0.75,0.994,0.27,0,0.575,Hydro:1、Electro:2、Anemo:1、,100,0.96:1.91,0.11:0.79,1
赤砂の杖(スキル命中3),絶縁4,元チャ+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ジン(翠緑4)+ベネット(西風、旧貴族),126590,41172,42,10.15,2.038,3215,0,2.0607,0,1.2812,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,100,0.78:1.55,0.29:0.43,1
赤砂の杖(スキル命中3),絶縁4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼4、2凸、2色以上、ヒーラー)+ベネット(西風、旧貴族)+モナ(max),126524,36795,36,9.73,1.52,3289,0,1.858,0.6,0.608,0.65,0,0.565,Pyro:1、Hydro:1、Electro:1、Geo:1、,150,0.85:1.70,0.21:0.58,1
