武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,倍率,加算,バフ合計,バフ共通,バフ落下,耐性ダウン,パーティ元素,熟知,率ダメ,サブステ,スコア
草薙の稲光,ファントム4,元チャ+風バフ+会心ダメージ,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),106888,2304.783,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,防御%+風バフ+会心率,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),106885,2304.638,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,防御%+風バフ+会心ダメージ,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),106885,2304.638,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,HP%+風バフ+会心率,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),106885,2304.638,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,HP%+風バフ+会心ダメージ,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),106885,2304.638,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,元素熟知+風バフ+会心率,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),106885,2304.638,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,187,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,元素熟知+風バフ+会心ダメージ,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),106885,2304.638,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,187,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,攻撃%+攻撃%+会心率,ジン+ファルザン(西風、完凸)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),104828,2160.162,4.04,9208,1.407,0,1.407,-0.4,Anemo:3、None:1、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,攻撃%+攻撃%+会心ダメージ,ジン+ファルザン(西風、完凸)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),104828,2160.162,4.04,9208,1.407,0,1.407,-0.4,Anemo:3、None:1、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,攻撃%+攻撃%+攻撃%,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103814,3642.524,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,0.96:1.91,0.29:1.01,1.6
草薙の稲光,辰砂4,攻撃%+攻撃%+会心率,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103567,3828.182,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,0.93:1.86,0.32:0.96,1.6
草薙の稲光,辰砂4,攻撃%+攻撃%+会心ダメージ,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103567,3828.182,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,0.93:1.86,0.63:0.34,1.6
草薙の稲光,辰砂4,元チャ+風バフ+会心率,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103217,2936.403,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,0.93:1.86,0.32:0.96,1.6
草薙の稲光,辰砂4,元チャ+風バフ+会心ダメージ,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103217,2936.403,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,0.93:1.86,0.63:0.34,1.6
草薙の稲光,辰砂4,防御%+風バフ+会心率,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103214,2936.258,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,0.93:1.86,0.32:0.96,1.6
草薙の稲光,辰砂4,防御%+風バフ+会心ダメージ,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103214,2936.258,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,0.93:1.86,0.63:0.34,1.6
草薙の稲光,辰砂4,HP%+風バフ+会心率,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103214,2936.258,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,0.93:1.86,0.32:0.96,1.6
草薙の稲光,辰砂4,HP%+風バフ+会心ダメージ,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103214,2936.258,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,0.93:1.86,0.63:0.34,1.6
草薙の稲光,辰砂4,元素熟知+風バフ+会心率,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103214,2936.258,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,187,0.93:1.86,0.32:0.96,1.6
草薙の稲光,辰砂4,元素熟知+風バフ+会心ダメージ,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),103214,2936.258,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,187,0.93:1.86,0.63:0.34,1.6
草薙の稲光,ファントム4,元チャ+風バフ+攻撃%,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),102908,2750.745,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,0.96:1.91,0.29:1.01,1.6
草薙の稲光,ファントム4,攻撃%+風バフ+防御%,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),102905,2750.6,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,0.96:1.91,0.29:1.01,1.6
草薙の稲光,ファントム4,攻撃%+風バフ+HP%,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),102905,2750.6,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,0.96:1.91,0.29:1.01,1.6
草薙の稲光,ファントム4,攻撃%+風バフ+元素熟知,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),102905,2750.6,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,187,0.96:1.91,0.29:1.01,1.6
草薙の稲光,ファントム4,攻撃%+風バフ+治癒効果,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),102905,2750.6,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,0.96:1.91,0.29:1.01,1.6
草薙の稲光,ファントム4,元チャ+風バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101776,1268.383,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,元チャ+風バフ+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101776,1268.383,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,防御%+風バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101772,1268.238,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,防御%+風バフ+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101772,1268.238,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,HP%+風バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101772,1268.238,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,HP%+風バフ+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101772,1268.238,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,元素熟知+風バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101772,1268.238,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,187,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,元素熟知+風バフ+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101772,1268.238,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,187,1.00:2.22,0.45:0.70,1.6
草薙の稲光,辰砂4,元チャ+風バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101757,1900.003,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,0.93:1.86,0.32:0.96,1.6
草薙の稲光,辰砂4,元チャ+風バフ+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101757,1900.003,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,0.93:1.86,0.63:0.34,1.6
草薙の稲光,辰砂4,防御%+風バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101754,1899.858,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,0.93:1.86,0.32:0.96,1.6
草薙の稲光,辰砂4,防御%+風バフ+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101754,1899.858,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,0.93:1.86,0.63:0.34,1.6
草薙の稲光,辰砂4,HP%+風バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101754,1899.858,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,0.93:1.86,0.32:0.96,1.6
草薙の稲光,辰砂4,HP%+風バフ+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101754,1899.858,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,0.93:1.86,0.63:0.34,1.6
草薙の稲光,辰砂4,元素熟知+風バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101754,1899.858,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,187,0.93:1.86,0.32:0.96,1.6
草薙の稲光,辰砂4,元素熟知+風バフ+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101754,1899.858,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,187,0.93:1.86,0.63:0.34,1.6
草薙の稲光,辰砂4,攻撃%+攻撃%+会心率,ジン+ファルザン(西風、完凸)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101627,2791.782,4.04,9208,1.407,0,1.407,-0.4,Anemo:3、None:1、,0,0.93:1.86,0.32:0.96,1.6
草薙の稲光,辰砂4,攻撃%+攻撃%+会心ダメージ,ジン+ファルザン(西風、完凸)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101627,2791.782,4.04,9208,1.407,0,1.407,-0.4,Anemo:3、None:1、,0,0.93:1.86,0.63:0.34,1.6
草薙の稲光,ファントム4,元チャ+攻撃%+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101243,1714.345,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,元チャ+攻撃%+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101243,1714.345,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,攻撃%+防御%+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,攻撃%+防御%+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,攻撃%+HP%+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,攻撃%+HP%+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,攻撃%+元素熟知+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,187,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,攻撃%+元素熟知+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,187,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,攻撃%+炎バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,攻撃%+炎バフ+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,攻撃%+水バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,攻撃%+水バフ+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,攻撃%+雷バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,攻撃%+雷バフ+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,攻撃%+氷バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,攻撃%+氷バフ+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,攻撃%+岩バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,攻撃%+岩バフ+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,攻撃%+草バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,攻撃%+草バフ+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,攻撃%+物理バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),101239,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
