武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,防御力,HP,バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,789756.3,1035,570,30078.21,0.766,230,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+会心率,トーマ+鍾離+万葉,789756.2,1035,570,30078.21,0.766,230,1.00:2.04,,0.47:0.66,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,789165.8,1061.48,570,36759.61,0.766,267,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,788570.3,1061.48,570,29683.4,0.766,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,788570.3,1061.48,570,29683.4,0.766,267,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,788215.4,947,570,36759.61,0.916,392,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素熟知+会心率,トーマ+鍾離+万葉,788197.9,1061.48,570,36759.61,0.3,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,788197.9,1061.48,570,36759.61,0.3,267,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+鍾離,787973,947,570,43835.82,0.766,205,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,787928.1,947,570,29683.4,0.916,392,1.00:2.37,,0.18:1.25,1.6
古祠の瓏(完凸),沈淪4,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,787620.6,947,570,29683.4,0.916,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),沈淪4,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,787620.6,947,570,29683.4,0.916,392,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),沈淪4,HP%+HP%+会心率,アルベド+トーマ+万葉,787147.6,947,570,43835.82,0.45,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),沈淪4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,787147.6,947,570,43835.82,0.45,205,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+HP%+会心率,トーマ+鍾離+万葉,785818.1,1035,570,37154.42,0.3,230,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+HP%+会心ダメージ,トーマ+鍾離+万葉,785818.1,1035,570,37154.42,0.3,230,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),金メッキ4(同元素1),HP%+元素バフ+会心率,アルベド+トーマ+万葉,785687.6,1036.04,570,36759.61,0.766,385,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ4(同元素1),HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,785687.6,1036.04,570,36759.61,0.766,385,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+HP%,アルベド+トーマ+万葉,785251.7,947,570,43835.82,0.766,435,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,アルベド+トーマ+鍾離,784094.3,947,570,36759.61,0.766,392,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,しめ縄4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,783461.3,1165.32,570,37154.42,0.766,125,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,沈淪4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,783456.8,1035,570,37154.42,0.45,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,沈淪4,HP%+HP%+会心率,アルベド+トーマ+万葉,783456.7,1035,570,37154.42,0.45,125,1.00:2.04,,0.47:0.66,1.6
古祠の瓏(完凸),沈淪4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,783272.9,947,570,36759.61,0.45,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),沈淪4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,783272.9,947,570,36759.61,0.45,392,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,しめ縄4,HP%+HP%+HP%,アルベド+トーマ+万葉,782596.5,1165.32,570,44230.63,0.3,125,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素熟知+元素熟知,トーマ+鍾離+万葉,782096,947,570,36759.61,0.45,454,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),花海+楽団,HP%+元素バフ+会心率,アルベド+トーマ+万葉,781824.7,947,570,39796.61,0.766,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+楽団,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,781824.7,947,570,39796.61,0.766,285,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),花海+金メッキ,HP%+元素バフ+会心率,アルベド+トーマ+万葉,781824.7,947,570,39796.61,0.766,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+金メッキ,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,781824.7,947,570,39796.61,0.766,285,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),楽団+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,781824.7,947,570,39796.61,0.766,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,781824.7,947,570,39796.61,0.766,285,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,781824.7,947,570,39796.61,0.766,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,781824.7,947,570,39796.61,0.766,285,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),楽団+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,778697.9,947,570,36759.61,0.916,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,778697.9,947,570,36759.61,0.916,285,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),楽団+黒曜の秘典,HP%+元素バフ+会心率,アルベド+トーマ+万葉,778697.9,947,570,36759.61,0.916,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+黒曜の秘典,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,778697.9,947,570,36759.61,0.916,285,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,778697.9,947,570,36759.61,0.916,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,778697.9,947,570,36759.61,0.916,285,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ+黒曜の秘典,HP%+元素バフ+会心率,アルベド+トーマ+万葉,778697.9,947,570,36759.61,0.916,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ+黒曜の秘典,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,778697.9,947,570,36759.61,0.916,285,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+元素バフ+会心率,アルベド+トーマ+万葉,778525.8,1136.36,570,30078.21,0.766,305,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,778525.8,1136.36,570,30078.21,0.766,305,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,しめ縄4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,778149.4,1165.32,570,30078.21,0.766,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,沈淪4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,778144.9,1035,570,30078.21,0.45,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,沈淪4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,778144.9,1035,570,30078.21,0.45,312,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+会心率,トーマ+鍾離+万葉,777340.1,1061.48,570,36759.61,0.766,80,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,777340.1,1061.48,570,36759.61,0.766,80,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),花海+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,777051.5,947,570,39796.61,0.916,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,777051.5,947,570,39796.61,0.916,205,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),花海+黒曜の秘典,HP%+元素バフ+会心率,アルベド+トーマ+万葉,777051.5,947,570,39796.61,0.916,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+黒曜の秘典,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,777051.5,947,570,39796.61,0.916,205,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),千岩+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,777051.5,947,570,39796.61,0.916,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),千岩+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,777051.5,947,570,39796.61,0.916,205,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),黒曜の秘典+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,777051.5,947,570,39796.61,0.916,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),黒曜の秘典+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,777051.5,947,570,39796.61,0.916,205,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+HP%,トーマ+鍾離+万葉,776620.3,947,570,43835.82,0.766,310,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,楽団+金メッキ,HP%+元素バフ+HP%,アルベド+トーマ+万葉,776043.2,1035,570,37154.42,0.766,285,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+楽団,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,775760.6,1035,570,33115.21,0.766,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+金メッキ,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,775760.6,1035,570,33115.21,0.766,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,775760.6,1035,570,33115.21,0.766,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,775760.6,1035,570,33115.21,0.766,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+楽団,HP%+元素バフ+会心率,アルベド+トーマ+万葉,775760.5,1035,570,33115.21,0.766,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+金メッキ,HP%+元素バフ+会心率,アルベド+トーマ+万葉,775760.5,1035,570,33115.21,0.766,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,775760.5,1035,570,33115.21,0.766,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,775760.5,1035,570,33115.21,0.766,205,1.00:2.04,,0.47:0.66,1.6
古祠の瓏(完凸),花海+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,775628.2,947,570,42833.61,0.766,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,775628.2,947,570,42833.61,0.766,205,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,しめ縄4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,775352.9,1165.32,570,37154.42,0.3,187,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+鍾離,774884.9,1035,570,37154.42,0.766,125,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),しめ縄4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,774681.2,1061.48,570,43835.82,0.3,392,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+会心率,アルベド+トーマ+万葉,774675.7,1035,570,37154.42,0.45,125,1.00:2.44,,0.27:1.06,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,774675.7,1035,570,37154.42,0.45,125,1.00:2.44,,0.58:0.44,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+HP%+会心率,アルベド+トーマ+万葉,774643.6,1136.36,570,37154.42,0.3,305,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,774643.6,1136.36,570,37154.42,0.3,305,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+千岩,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,773809.6,1035,570,36152.21,0.766,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+楽団,HP%+元素バフ+HP%,アルベド+トーマ+万葉,773774.6,1035,570,40191.42,0.766,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+金メッキ,HP%+元素バフ+HP%,アルベド+トーマ+万葉,773774.6,1035,570,40191.42,0.766,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,楽団+千岩,HP%+元素バフ+HP%,アルベド+トーマ+万葉,773774.6,1035,570,40191.42,0.766,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+千岩,HP%+元素バフ+HP%,アルベド+トーマ+万葉,773774.6,1035,570,40191.42,0.766,205,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),楽団+金メッキ,HP%+元素バフ+会心率,アルベド+トーマ+万葉,773558.2,947,570,36759.61,0.766,365,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+金メッキ,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,773558.2,947,570,36759.61,0.766,365,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素熟知+元素熟知,アルベド+トーマ+万葉,773452.4,947,570,36759.61,0.45,579,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,772833.8,947,570,36759.61,0.916,267,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),黒曜の秘典4,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,772552.2,947,570,29683.4,0.916,267,1.00:2.37,,0.18:1.25,1.6
古祠の瓏(完凸),沈淪4,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,772250.5,947,570,29683.4,0.916,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),沈淪4,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,772250.5,947,570,29683.4,0.916,267,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,しめ縄4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,771752.8,1165.32,570,30078.21,0.766,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,しめ縄4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,771752.7,1165.32,570,30078.21,0.766,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,沈淪4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,769934.7,1035,570,37154.42,0.916,125,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,769864.1,947,570,36759.61,1.066,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),黒曜の秘典+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,769864.1,947,570,36759.61,1.066,205,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+元素熟知,アルベド+トーマ+鍾離,769631.1,1035,570,30078.21,0.766,312,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,769423.3,1035,570,30078.21,0.45,312,1.00:2.44,,0.27:1.06,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,769423.3,1035,570,30078.21,0.45,312,1.00:2.44,,0.58:0.44,1.6
古祠の瓏(完凸),金メッキ4(同元素1),HP%+元素バフ+会心率,トーマ+鍾離+万葉,769182.3,1036.04,570,36759.61,0.766,260,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ4(同元素1),HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,769182.3,1036.04,570,36759.61,0.766,260,0.99:1.97,,0.38:0.85,1.6
