武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,一発目期待値,攻撃力,防御力,HP,共通バフ,通常バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
トゥライトゥーラの記憶,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離+白朮,688028.7,334688.8,1167,570,34117.42,0.15,0.63,187,0.96:1.91,,0.31:0.97,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+HP%,エミリエ+トーマ+鍾離,684585.1,333013.7,947,570,38976.62,0.616,0.15,40,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+HP%,トーマ+鍾離,684585.1,333013.7,947,570,38976.62,0.616,0.15,40,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+HP%,トーマ+鍾離+白朮,684585.1,333013.7,947,570,38976.62,0.616,0.15,40,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+HP%,エミリエ+トーマ+白朮,682317.9,331910.8,947,570,38976.62,0.616,0.15,140,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+元素熟知,エミリエ+トーマ+白朮,680354.9,330956,947,570,31900.41,0.616,0.15,327,1.00:2.06,,0.02:1.56,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,エミリエ+トーマ+鍾離,676688.8,329172.6,1003,570,33312.61,0.616,0.47,187,0.85:1.69,,0.20:1.19,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離,676688.8,329172.6,1003,570,33312.61,0.616,0.47,187,0.85:1.69,,0.20:1.19,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+白朮,676688.8,329172.6,1003,570,33312.61,0.616,0.47,187,0.85:1.69,,0.20:1.19,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+元素熟知,エミリエ+トーマ+鍾離,671999.5,326891.5,1061.48,570,31900.41,0.466,0.65,227,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+元素熟知,トーマ+鍾離,671999.5,326891.5,1061.48,570,31900.41,0.466,0.65,227,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+元素熟知,トーマ+鍾離+白朮,671999.5,326891.5,1061.48,570,31900.41,0.466,0.65,227,0.83:1.66,,0.22:1.16,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+元素バフ+HP%,エミリエ+トーマ+鍾離,669428.1,325640.7,1141.4,570,34117.42,0.776,0.15,80,0.98:1.97,,0.34:0.92,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+元素バフ+HP%,トーマ+鍾離,669428.1,325640.7,1141.4,570,34117.42,0.776,0.15,80,0.98:1.97,,0.34:0.92,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+元素バフ+HP%,トーマ+鍾離+白朮,669428.1,325640.7,1141.4,570,34117.42,0.776,0.15,80,0.98:1.97,,0.34:0.92,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+元素バフ+元素熟知,エミリエ+トーマ+鍾離,666561.8,324246.4,1141.4,570,27041.21,0.776,0.15,267,0.98:1.97,,0.34:0.92,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離,666561.8,324246.4,1141.4,570,27041.21,0.776,0.15,267,0.98:1.97,,0.34:0.92,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+白朮,666561.8,324246.4,1141.4,570,27041.21,0.776,0.15,267,0.98:1.97,,0.34:0.92,1.6
凛流の監視者,黒曜の秘典4,HP%+元素バフ+HP%,エミリエ+トーマ+白朮,664675.2,323328.6,1303.96,570,34117.42,0.616,0.63,100,0.96:1.91,,0.09:1.41,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素バフ+HP%,エミリエ+トーマ+白朮,664450.5,323219.3,1167,570,34117.42,0.616,0.63,100,0.96:1.91,,0.31:0.97,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+会心率,エミリエ+トーマ+鍾離,663241.9,322631.4,947,570,31900.41,0.466,0.15,270,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,エミリエ+トーマ+鍾離,663241.9,322631.4,947,570,31900.41,0.466,0.15,270,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+会心率,トーマ+鍾離,663241.9,322631.4,947,570,31900.41,0.466,0.15,270,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,トーマ+鍾離,663241.9,322631.4,947,570,31900.41,0.466,0.15,270,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+会心率,トーマ+鍾離+白朮,663241.9,322631.4,947,570,31900.41,0.466,0.15,270,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,トーマ+鍾離+白朮,663241.9,322631.4,947,570,31900.41,0.466,0.15,270,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,黒曜の秘典4,元素熟知+元素バフ+元素熟知,エミリエ+トーマ+鍾離,661392.1,321731.6,947,570,24824.2,0.616,0.15,414,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,元素熟知+元素バフ+元素熟知,トーマ+鍾離,661392.1,321731.6,947,570,24824.2,0.616,0.15,414,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,元素熟知+元素バフ+元素熟知,トーマ+鍾離+白朮,661392.1,321731.6,947,570,24824.2,0.616,0.15,414,1.00:2.06,,0.02:1.56,1.6
ヤチュシェの環(完凸),黒曜の秘典4,元素熟知+元素バフ+会心率,エミリエ+トーマ+鍾離,658230.2,320193.5,1003,570,26236.4,0.616,0.47,187,1.00:2.00,,0.05:1.50,1.6
ヤチュシェの環(完凸),黒曜の秘典4,元素熟知+元素バフ+会心ダメージ,エミリエ+トーマ+鍾離,658230.2,320193.5,1003,570,26236.4,0.616,0.47,187,1.00:2.00,,0.36:0.88,1.6
ヤチュシェの環(完凸),黒曜の秘典4,元素熟知+元素バフ+会心率,トーマ+鍾離,658230.2,320193.5,1003,570,26236.4,0.616,0.47,187,1.00:2.00,,0.05:1.50,1.6
ヤチュシェの環(完凸),黒曜の秘典4,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離,658230.2,320193.5,1003,570,26236.4,0.616,0.47,187,1.00:2.00,,0.36:0.88,1.6
ヤチュシェの環(完凸),黒曜の秘典4,元素熟知+元素バフ+会心率,トーマ+鍾離+白朮,658230.2,320193.5,1003,570,26236.4,0.616,0.47,187,1.00:2.00,,0.05:1.50,1.6
ヤチュシェの環(完凸),黒曜の秘典4,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+白朮,658230.2,320193.5,1003,570,26236.4,0.616,0.47,187,1.00:2.00,,0.36:0.88,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+元素バフ+HP%,エミリエ+トーマ+白朮,656763.3,319479.9,1141.4,570,34117.42,0.776,0.15,180,0.98:1.97,,0.34:0.92,1.6
古祠の瓏,沈淪4,HP%+元素バフ+元素熟知,エミリエ+トーマ+鍾離,656120.5,319167.2,947,570,31900.41,0.616,0.45,227,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,沈淪4,HP%+元素バフ+元素熟知,トーマ+鍾離,656120.5,319167.2,947,570,31900.41,0.616,0.45,227,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,沈淪4,HP%+元素バフ+元素熟知,トーマ+鍾離+白朮,656120.5,319167.2,947,570,31900.41,0.616,0.45,227,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+HP%,エミリエ+トーマ+鍾離,654863.1,318555.6,947,570,38976.62,0.466,0.15,270,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+HP%,トーマ+鍾離,654863.1,318555.6,947,570,38976.62,0.466,0.15,270,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+HP%,トーマ+鍾離+白朮,654863.1,318555.6,947,570,38976.62,0.466,0.15,270,0.83:1.66,,0.22:1.16,1.6
凛流の監視者,黒曜の秘典4,HP%+元素バフ+元素熟知,エミリエ+トーマ+白朮,654558.6,318407.5,1303.96,570,27041.21,0.616,0.63,287,0.96:1.91,,0.09:1.41,1.6
凛流の監視者,黒曜の秘典4,HP%+HP%+元素熟知,エミリエ+トーマ+白朮,654498.8,318378.3,1303.96,570,34117.42,0.15,0.63,287,0.96:1.91,,0.09:1.41,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素バフ+元素熟知,エミリエ+トーマ+白朮,654337.4,318299.8,1167,570,27041.21,0.616,0.63,287,0.96:1.91,,0.31:0.97,1.6
凛流の監視者,黒曜の秘典4,HP%+元素バフ+HP%,エミリエ+トーマ+鍾離,654289.6,318276.6,1303.96,570,34117.42,0.616,0.63,0,0.96:1.91,,0.09:1.41,1.6
凛流の監視者,黒曜の秘典4,HP%+元素バフ+HP%,トーマ+鍾離,654289.6,318276.6,1303.96,570,34117.42,0.616,0.63,0,0.96:1.91,,0.09:1.41,1.6
凛流の監視者,黒曜の秘典4,HP%+元素バフ+HP%,トーマ+鍾離+白朮,654289.6,318276.6,1303.96,570,34117.42,0.616,0.63,0,0.96:1.91,,0.09:1.41,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+HP%+元素熟知,エミリエ+トーマ+白朮,654277.6,318270.8,1167,570,34117.42,0.15,0.63,287,0.96:1.91,,0.31:0.97,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素バフ+HP%,エミリエ+トーマ+鍾離,654068.4,318169,1167,570,34117.42,0.616,0.63,0,0.96:1.91,,0.31:0.97,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素バフ+HP%,トーマ+鍾離,654068.4,318169,1167,570,34117.42,0.616,0.63,0,0.96:1.91,,0.31:0.97,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素バフ+HP%,トーマ+鍾離+白朮,654068.4,318169,1167,570,34117.42,0.616,0.63,0,0.96:1.91,,0.31:0.97,1.6
久遠流転の大典,黒曜の秘典4,HP%+元素バフ+元素熟知,エミリエ+トーマ+鍾離,653050.8,317674,1035,570,29470.81,0.616,0.15,187,1.00:2.13,,0.42:0.75,1.6
久遠流転の大典,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離,653050.8,317674,1035,570,29470.81,0.616,0.15,187,1.00:2.13,,0.42:0.75,1.6
久遠流転の大典,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+白朮,653050.8,317674,1035,570,29470.81,0.616,0.15,187,1.00:2.13,,0.42:0.75,1.6
凛流の監視者,黒曜の秘典4,HP%+元素熟知+元素熟知,エミリエ+トーマ+鍾離,651672.2,317003.3,1303.96,570,27041.21,0.15,0.63,374,0.96:1.91,,0.09:1.41,1.6
凛流の監視者,黒曜の秘典4,HP%+元素熟知+元素熟知,トーマ+鍾離,651672.2,317003.3,1303.96,570,27041.21,0.15,0.63,374,0.96:1.91,,0.09:1.41,1.6
凛流の監視者,黒曜の秘典4,HP%+元素熟知+元素熟知,トーマ+鍾離+白朮,651672.2,317003.3,1303.96,570,27041.21,0.15,0.63,374,0.96:1.91,,0.09:1.41,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素熟知+元素熟知,エミリエ+トーマ+鍾離,651451.9,316896.2,1167,570,27041.21,0.15,0.63,374,0.96:1.91,,0.31:0.97,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素熟知+元素熟知,トーマ+鍾離,651451.9,316896.2,1167,570,27041.21,0.15,0.63,374,0.96:1.91,,0.31:0.97,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素熟知+元素熟知,トーマ+鍾離+白朮,651451.9,316896.2,1167,570,27041.21,0.15,0.63,374,0.96:1.91,,0.31:0.97,1.6
古祠の瓏,黒曜の秘典4,HP%+HP%+元素熟知,エミリエ+トーマ+鍾離,649158.3,315780.5,947,570,38976.62,0.15,0.15,227,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離,649158.3,315780.5,947,570,38976.62,0.15,0.15,227,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離+白朮,649158.3,315780.5,947,570,38976.62,0.15,0.15,227,1.00:2.06,,0.02:1.56,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素熟知+会心率,エミリエ+トーマ+鍾離,649057.1,315731.3,1003,570,33312.61,0.15,0.47,187,1.00:2.00,,0.05:1.50,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素熟知+会心ダメージ,エミリエ+トーマ+鍾離,649057.1,315731.3,1003,570,33312.61,0.15,0.47,187,1.00:2.00,,0.36:0.88,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素熟知+会心率,トーマ+鍾離,649057.1,315731.3,1003,570,33312.61,0.15,0.47,187,1.00:2.00,,0.05:1.50,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素熟知+会心ダメージ,トーマ+鍾離,649057.1,315731.3,1003,570,33312.61,0.15,0.47,187,1.00:2.00,,0.36:0.88,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素熟知+会心率,トーマ+鍾離+白朮,649057.1,315731.3,1003,570,33312.61,0.15,0.47,187,1.00:2.00,,0.05:1.50,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素熟知+会心ダメージ,トーマ+鍾離+白朮,649057.1,315731.3,1003,570,33312.61,0.15,0.47,187,1.00:2.00,,0.36:0.88,1.6
古祠の瓏,しめ縄4,HP%+元素熟知+会心率,エミリエ+トーマ+鍾離,648435.2,315428.8,1061.48,570,31900.41,0,0.65,227,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,HP%+元素熟知+会心ダメージ,エミリエ+トーマ+鍾離,648435.2,315428.8,1061.48,570,31900.41,0,0.65,227,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,しめ縄4,HP%+元素熟知+会心率,トーマ+鍾離,648435.2,315428.8,1061.48,570,31900.41,0,0.65,227,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,HP%+元素熟知+会心ダメージ,トーマ+鍾離,648435.2,315428.8,1061.48,570,31900.41,0,0.65,227,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,しめ縄4,HP%+元素熟知+会心率,トーマ+鍾離+白朮,648435.2,315428.8,1061.48,570,31900.41,0,0.65,227,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,HP%+元素熟知+会心ダメージ,トーマ+鍾離+白朮,648435.2,315428.8,1061.48,570,31900.41,0,0.65,227,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,しめ縄4,元素熟知+元素バフ+会心率,エミリエ+トーマ+鍾離,647108.8,314783.5,1061.48,570,24824.2,0.466,0.65,227,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,元素熟知+元素バフ+会心ダメージ,エミリエ+トーマ+鍾離,647108.8,314783.5,1061.48,570,24824.2,0.466,0.65,227,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,しめ縄4,元素熟知+元素バフ+会心率,トーマ+鍾離,647108.8,314783.5,1061.48,570,24824.2,0.466,0.65,227,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離,647108.8,314783.5,1061.48,570,24824.2,0.466,0.65,227,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,しめ縄4,元素熟知+元素バフ+会心率,トーマ+鍾離+白朮,647108.8,314783.5,1061.48,570,24824.2,0.466,0.65,227,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+白朮,647108.8,314783.5,1061.48,570,24824.2,0.466,0.65,227,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+会心率,エミリエ+トーマ+鍾離,645546.9,314023.8,1061.48,570,31900.41,0.466,0.65,40,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+会心ダメージ,エミリエ+トーマ+鍾離,645546.9,314023.8,1061.48,570,31900.41,0.466,0.65,40,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+会心率,トーマ+鍾離,645546.9,314023.8,1061.48,570,31900.41,0.466,0.65,40,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+会心ダメージ,トーマ+鍾離,645546.9,314023.8,1061.48,570,31900.41,0.466,0.65,40,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+会心率,トーマ+鍾離+白朮,645546.9,314023.8,1061.48,570,31900.41,0.466,0.65,40,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+会心ダメージ,トーマ+鍾離+白朮,645546.9,314023.8,1061.48,570,31900.41,0.466,0.65,40,0.99:1.97,,0.38:0.85,1.6
凛流の監視者,金メッキ4(同元素0),HP%+元素バフ+HP%,エミリエ+トーマ+鍾離,644120.2,313329.7,1303.96,570,34117.42,0.466,0.63,230,0.76:1.51,,0.29:1.01,1.6
凛流の監視者,金メッキ4(同元素0),HP%+元素バフ+HP%,トーマ+鍾離,644120.2,313329.7,1303.96,570,34117.42,0.466,0.63,230,0.76:1.51,,0.29:1.01,1.6
凛流の監視者,金メッキ4(同元素0),HP%+元素バフ+HP%,トーマ+鍾離+白朮,644120.2,313329.7,1303.96,570,34117.42,0.466,0.63,230,0.76:1.51,,0.29:1.01,1.6
トゥライトゥーラの記憶,金メッキ4(同元素0),HP%+元素バフ+HP%,エミリエ+トーマ+鍾離,643893,313219.2,1167,570,34117.42,0.466,0.63,230,0.76:1.51,,0.51:0.57,1.6
トゥライトゥーラの記憶,金メッキ4(同元素0),HP%+元素バフ+HP%,トーマ+鍾離,643893,313219.2,1167,570,34117.42,0.466,0.63,230,0.76:1.51,,0.51:0.57,1.6
トゥライトゥーラの記憶,金メッキ4(同元素0),HP%+元素バフ+HP%,トーマ+鍾離+白朮,643893,313219.2,1167,570,34117.42,0.466,0.63,230,0.76:1.51,,0.51:0.57,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,エミリエ+トーマ+白朮,643493.9,313025.1,1003,570,33312.61,0.616,0.47,287,0.85:1.69,,0.20:1.19,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+会心率,エミリエ+トーマ+白朮,643408.9,312983.7,1061.48,570,31900.41,0.466,0.65,140,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+会心ダメージ,エミリエ+トーマ+白朮,643408.9,312983.7,1061.48,570,31900.41,0.466,0.65,140,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,しめ縄4,HP%+HP%+元素熟知,エミリエ+トーマ+鍾離,640243.4,311443.9,1061.48,570,38976.62,0,0.65,227,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,しめ縄4,HP%+HP%+元素熟知,トーマ+鍾離,640243.4,311443.9,1061.48,570,38976.62,0,0.65,227,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,しめ縄4,HP%+HP%+元素熟知,トーマ+鍾離+白朮,640243.4,311443.9,1061.48,570,38976.62,0,0.65,227,0.83:1.66,,0.22:1.16,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素バフ+会心率,エミリエ+トーマ+白朮,639659,311159.6,1003,570,33312.61,0.616,0.47,100,1.00:2.00,,0.05:1.50,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素バフ+会心ダメージ,エミリエ+トーマ+白朮,639659,311159.6,1003,570,33312.61,0.616,0.47,100,1.00:2.00,,0.36:0.88,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+HP%+元素熟知,エミリエ+トーマ+鍾離,637510.1,310114.3,1141.4,570,34117.42,0.31,0.15,267,0.98:1.97,,0.34:0.92,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離,637510.1,310114.3,1141.4,570,34117.42,0.31,0.15,267,0.98:1.97,,0.34:0.92,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離+白朮,637510.1,310114.3,1141.4,570,34117.42,0.31,0.15,267,0.98:1.97,,0.34:0.92,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+HP%,エミリエ+トーマ+鍾離,637391.6,310056.6,1061.48,570,38976.62,0.466,0.65,40,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+HP%,トーマ+鍾離,637391.6,310056.6,1061.48,570,38976.62,0.466,0.65,40,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+HP%,トーマ+鍾離+白朮,637391.6,310056.6,1061.48,570,38976.62,0.466,0.65,40,0.83:1.66,,0.22:1.16,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+HP%+元素熟知,エミリエ+トーマ+鍾離,637150.8,309939.5,1003,570,40388.82,0.15,0.47,187,0.85:1.69,,0.20:1.19,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離,637150.8,309939.5,1003,570,40388.82,0.15,0.47,187,0.85:1.69,,0.20:1.19,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離+白朮,637150.8,309939.5,1003,570,40388.82,0.15,0.47,187,0.85:1.69,,0.20:1.19,1.6
ヤチュシェの環(完凸),黒曜の秘典4,元素熟知+元素バフ+元素熟知,エミリエ+トーマ+鍾離,636664.2,309702.8,1003,570,26236.4,0.616,0.47,374,0.85:1.69,,0.20:1.19,1.6
ヤチュシェの環(完凸),黒曜の秘典4,元素熟知+元素バフ+元素熟知,トーマ+鍾離,636664.2,309702.8,1003,570,26236.4,0.616,0.47,374,0.85:1.69,,0.20:1.19,1.6
ヤチュシェの環(完凸),黒曜の秘典4,元素熟知+元素バフ+元素熟知,トーマ+鍾離+白朮,636664.2,309702.8,1003,570,26236.4,0.616,0.47,374,0.85:1.69,,0.20:1.19,1.6
凛流の監視者,黒曜の秘典4,HP%+HP%+HP%,エミリエ+トーマ+白朮,636024.1,309391.4,1303.96,570,41193.63,0.15,0.63,100,0.96:1.91,,0.09:1.41,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+HP%+HP%,エミリエ+トーマ+白朮,635809.1,309286.8,1167,570,41193.63,0.15,0.63,100,0.96:1.91,,0.31:0.97,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+HP%,エミリエ+トーマ+白朮,635280.7,309029.8,1061.48,570,38976.62,0.466,0.65,140,0.83:1.66,,0.22:1.16,1.6
凛流の監視者,金メッキ4(同元素0),HP%+元素バフ+会心率,エミリエ+トーマ+鍾離,634051.4,308431.8,1303.96,570,27041.21,0.466,0.63,230,0.91:1.82,,0.14:1.32,1.6
凛流の監視者,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,エミリエ+トーマ+鍾離,634051.4,308431.8,1303.96,570,27041.21,0.466,0.63,230,0.91:1.82,,0.45:0.70,1.6
凛流の監視者,金メッキ4(同元素0),HP%+元素バフ+会心率,トーマ+鍾離,634051.4,308431.8,1303.96,570,27041.21,0.466,0.63,230,0.91:1.82,,0.14:1.32,1.6
凛流の監視者,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,トーマ+鍾離,634051.4,308431.8,1303.96,570,27041.21,0.466,0.63,230,0.91:1.82,,0.45:0.70,1.6
凛流の監視者,金メッキ4(同元素0),HP%+元素バフ+会心率,トーマ+鍾離+白朮,634051.4,308431.8,1303.96,570,27041.21,0.466,0.63,230,0.91:1.82,,0.14:1.32,1.6
凛流の監視者,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,トーマ+鍾離+白朮,634051.4,308431.8,1303.96,570,27041.21,0.466,0.63,230,0.91:1.82,,0.45:0.70,1.6
