武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,一発目期待値,攻撃力,防御力,HP,バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
サーフィンタイム,しめ縄4,HP%+HP%+会心率,アルベド+トーマ+万葉,1115034,542404,1165.32,570,37154.42,0.3,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,しめ縄4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1115034,542404.1,1165.32,570,37154.42,0.3,125,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,1113943,541873.4,947,570,43835.82,0.45,267,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+HP%,トーマ+鍾離+万葉,1113525,541669.8,1035,570,37154.42,0.766,230,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,エミリエ+トーマ+万葉,1109693,539806,947,570,36759.61,0.916,267,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+白朮+万葉,1109693,539806,947,570,36759.61,0.916,267,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+万葉,1109693,539806,947,570,36759.61,0.916,267,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,しめ縄4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,1107474,538726.5,1165.32,570,30078.21,0.3,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,しめ縄4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,1107474,538726.6,1165.32,570,30078.21,0.3,312,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1104160,537114,947,570,43835.82,0.916,205,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+HP%+HP%,アルベド+トーマ+万葉,1102287,536203.3,1035,570,44230.63,0.3,355,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+元素バフ+HP%,アルベド+トーマ+万葉,1101682,535908.8,1136.36,570,37154.42,0.766,305,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,沈淪4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,1101143,535646.7,1035,570,37154.42,0.45,312,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1098724,534470.1,947,570,36759.61,0.916,392,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),黒曜の秘典4,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1098324,534275.4,947,570,29683.4,0.916,392,1.00:2.37,,0.18:1.25,1.6
古祠の瓏(完凸),沈淪4,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,1097895,534066.8,947,570,29683.4,0.916,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),沈淪4,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1097895,534066.8,947,570,29683.4,0.916,392,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),沈淪4,HP%+HP%+会心率,アルベド+トーマ+万葉,1097236,533746.1,947,570,43835.82,0.45,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),沈淪4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1097236,533746.1,947,570,43835.82,0.45,205,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+会心率,トーマ+鍾離+万葉,1096884,533574.7,1035,570,30078.21,0.766,230,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,1096884,533574.8,1035,570,30078.21,0.766,230,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,1096064,533175.8,1061.48,570,36759.61,0.766,267,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,1095236,532773.4,1061.48,570,29683.4,0.766,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,1095236,532773.4,1061.48,570,29683.4,0.766,267,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ4(同元素1),HP%+元素バフ+会心率,アルベド+トーマ+万葉,1095201,532756.1,1036.04,570,36759.61,0.766,385,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ4(同元素1),HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1095201,532756.1,1036.04,570,36759.61,0.766,385,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素熟知+会心率,トーマ+鍾離+万葉,1094719,532521.9,1061.48,570,36759.61,0.3,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,1094719,532521.9,1061.48,570,36759.61,0.3,267,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+HP%,アルベド+トーマ+万葉,1094593,532460.6,947,570,43835.82,0.766,435,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,しめ縄4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1092098,531246.5,1165.32,570,37154.42,0.766,125,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,沈淪4,HP%+HP%+会心率,アルベド+トーマ+万葉,1092091,531243.4,1035,570,37154.42,0.45,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,沈淪4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1092091,531243.4,1035,570,37154.42,0.45,125,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),沈淪4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,1091835,531118.8,947,570,36759.61,0.45,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),沈淪4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,1091835,531118.8,947,570,36759.61,0.45,392,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+HP%+会心率,トーマ+鍾離+万葉,1091414,530914,1035,570,37154.42,0.3,230,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+HP%+会心ダメージ,トーマ+鍾離+万葉,1091414,530914,1035,570,37154.42,0.3,230,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,しめ縄4,HP%+HP%+HP%,アルベド+トーマ+万葉,1090892,530660.1,1165.32,570,44230.63,0.3,125,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),花海+楽団,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1089816,530136.8,947,570,39796.61,0.766,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+楽団,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1089816,530136.8,947,570,39796.61,0.766,285,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),花海+金メッキ,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1089816,530136.8,947,570,39796.61,0.766,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+金メッキ,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1089816,530136.8,947,570,39796.61,0.766,285,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),楽団+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1089816,530136.8,947,570,39796.61,0.766,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1089816,530136.8,947,570,39796.61,0.766,285,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1089816,530136.8,947,570,39796.61,0.766,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1089816,530136.8,947,570,39796.61,0.766,285,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素熟知+元素熟知,トーマ+鍾離+万葉,1086244,528399.3,947,570,36759.61,0.45,454,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),楽団+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1085458,528016.6,947,570,36759.61,0.916,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1085458,528016.6,947,570,36759.61,0.916,285,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),楽団+黒曜の秘典,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1085458,528016.6,947,570,36759.61,0.916,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+黒曜の秘典,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1085458,528016.6,947,570,36759.61,0.916,285,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1085458,528016.6,947,570,36759.61,0.916,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1085458,528016.6,947,570,36759.61,0.916,285,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ+黒曜の秘典,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1085458,528016.6,947,570,36759.61,0.916,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ+黒曜の秘典,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1085458,528016.6,947,570,36759.61,0.916,285,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+元素バフ+会心率,アルベド+トーマ+万葉,1085218,527899.8,1136.36,570,30078.21,0.766,305,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1085218,527899.9,1136.36,570,30078.21,0.766,305,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,しめ縄4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1084693,527644.7,1165.32,570,30078.21,0.766,312,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,沈淪4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,1084687,527641.6,1035,570,30078.21,0.45,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,沈淪4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,1084687,527641.6,1035,570,30078.21,0.45,312,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),花海+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1083163,526900.2,947,570,39796.61,0.916,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1083163,526900.2,947,570,39796.61,0.916,205,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),花海+黒曜の秘典,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1083163,526900.2,947,570,39796.61,0.916,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+黒曜の秘典,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1083163,526900.2,947,570,39796.61,0.916,205,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),千岩+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1083163,526900.2,947,570,39796.61,0.916,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),千岩+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1083163,526900.2,947,570,39796.61,0.916,205,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),黒曜の秘典+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1083163,526900.2,947,570,39796.61,0.916,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),黒曜の秘典+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1083163,526900.2,947,570,39796.61,0.916,205,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,楽団+金メッキ,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1081757,526216.5,1035,570,37154.42,0.766,285,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+楽団,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1081363,526024.8,1035,570,33115.21,0.766,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+楽団,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1081363,526024.8,1035,570,33115.21,0.766,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+金メッキ,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1081363,526024.8,1035,570,33115.21,0.766,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+金メッキ,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1081363,526024.8,1035,570,33115.21,0.766,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1081363,526024.8,1035,570,33115.21,0.766,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1081363,526024.8,1035,570,33115.21,0.766,205,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1081363,526024.8,1035,570,33115.21,0.766,205,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1081363,526024.8,1035,570,33115.21,0.766,205,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),花海+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1081179,525935.1,947,570,42833.61,0.766,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1081179,525935.1,947,570,42833.61,0.766,205,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),しめ縄4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,1079859,525292.9,1061.48,570,43835.82,0.3,392,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+会心率,アルベド+トーマ+万葉,1079851,525289.2,1035,570,37154.42,0.45,125,1.00:2.44,,0.27:1.06,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1079851,525289.2,1035,570,37154.42,0.45,125,1.00:2.44,,0.58:0.44,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+HP%+会心率,アルベド+トーマ+万葉,1079806,525267.4,1136.36,570,37154.42,0.3,305,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1079806,525267.4,1136.36,570,37154.42,0.3,305,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+会心率,トーマ+鍾離+万葉,1079639,525186.1,1061.48,570,36759.61,0.766,80,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,1079639,525186.1,1061.48,570,36759.61,0.766,80,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,花海+千岩,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1078644,524701.9,1035,570,36152.21,0.766,312,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+HP%,トーマ+鍾離+万葉,1078639,524699.8,947,570,43835.82,0.766,310,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,花海+楽団,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1078595,524678.2,1035,570,40191.42,0.766,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+金メッキ,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1078595,524678.2,1035,570,40191.42,0.766,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,楽団+千岩,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1078595,524678.2,1035,570,40191.42,0.766,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+千岩,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1078595,524678.2,1035,570,40191.42,0.766,205,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),楽団+金メッキ,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1078293,524531.5,947,570,36759.61,0.766,365,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+金メッキ,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1078293,524531.5,947,570,36759.61,0.766,365,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素熟知+元素熟知,アルベド+トーマ+万葉,1078146,524459.8,947,570,36759.61,0.45,579,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,しめ縄4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,1076879,523843.5,1165.32,570,37154.42,0.3,187,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,しめ縄4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1075777,523307.2,1165.32,570,30078.21,0.766,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,しめ縄4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1075776,523307.2,1165.32,570,30078.21,0.766,125,1.00:2.04,,0.47:0.66,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,1073380,522141.5,947,570,36759.61,0.916,267,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,沈淪4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1073242,522074.4,1035,570,37154.42,0.916,125,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1073144,522026.6,947,570,36759.61,1.066,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),黒曜の秘典+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1073144,522026.6,947,570,36759.61,1.066,205,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),黒曜の秘典4,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,1072989,521951.3,947,570,29683.4,0.916,267,1.00:2.37,,0.18:1.25,1.6
古祠の瓏(完凸),沈淪4,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,1072570,521747.5,947,570,29683.4,0.916,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),沈淪4,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,1072570,521747.5,947,570,29683.4,0.916,267,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,1072529,521727.7,1035,570,30078.21,0.45,312,1.00:2.44,,0.27:1.06,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,1072529,521727.7,1035,570,30078.21,0.45,312,1.00:2.44,,0.58:0.44,1.6
