武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,一発目期待値,攻撃力,防御力,HP,バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
古祠の瓏,沈淪4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,918305.3,446706,947,570,31900.41,0.45,352,0.99:1.97,,0.38:0.85,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,917128.2,446133.4,1141.4,570,27041.21,1.076,267,0.98:1.97,,0.34:0.92,1.6
古祠の瓏,黒曜の秘典4,HP%+元素熟知+元素熟知,トーマ+鍾離+万葉,916706,445928,947,570,31900.41,0.45,414,1.00:2.06,,0.02:1.56,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素熟知+会心率,トーマ+鍾離+万葉,915777.2,445476.2,1003,570,33312.61,0.45,187,1.00:2.00,,0.05:1.50,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,915777.2,445476.2,1003,570,33312.61,0.45,187,1.00:2.00,,0.36:0.88,1.6
万国諸海(完凸),黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,915259.2,445224.2,1058,570,34117.42,1.236,235,0.85:1.69,,0.20:1.19,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,914887.3,445043.3,1141.4,570,34117.42,0.61,267,0.98:1.97,,0.34:0.92,1.6
古祠の瓏,花海+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,914710.6,444957.3,947,570,37974.41,0.766,165,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,花海+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,914710.6,444957.3,947,570,37974.41,0.766,165,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,黒曜の秘典4,HP%+元素熟知+元素熟知,アルベド+トーマ+万葉,914703.6,444954,947,570,31900.41,0.45,539,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,913420.9,444330,1061.48,570,31900.41,0.766,227,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,しめ縄4,HP%+HP%+HP%,アルベド+トーマ+万葉,912344.1,443806.2,1061.48,570,46052.83,0.3,165,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,しめ縄4,HP%+元素熟知+会心率,トーマ+鍾離+万葉,912300.7,443785.1,1061.48,570,31900.41,0.3,227,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,912300.7,443785.1,1061.48,570,31900.41,0.3,227,0.99:1.97,,0.38:0.85,1.6
久遠流転の大典,黒曜の秘典4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,911933.4,443606.4,1035,570,36547.02,0.45,312,1.00:2.13,,0.42:0.75,1.6
凛流の監視者,黒曜の秘典4,HP%+元素熟知+元素熟知,アルベド+トーマ+万葉,909928.3,442631.1,1303.96,570,27041.21,0.45,499,0.96:1.91,,0.09:1.41,1.6
万国諸海(完凸),黒曜の秘典4,HP%+HP%+会心率,アルベド+トーマ+万葉,909636.9,442489.3,1058,570,34117.42,0.77,235,1.00:2.00,,0.05:1.50,1.6
万国諸海(完凸),黒曜の秘典4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,909636.9,442489.3,1058,570,34117.42,0.77,235,1.00:2.00,,0.36:0.88,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素熟知+元素熟知,アルベド+トーマ+万葉,909620.8,442481.5,1167,570,27041.21,0.45,499,0.96:1.91,,0.31:0.97,1.6
久遠流転の大典,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,909509.7,442427.4,1035,570,29470.81,0.916,187,1.00:2.13,,0.42:0.75,1.6
古祠の瓏,金メッキ4(同元素1),HP%+元素バフ+HP%,アルベド+トーマ+万葉,909114.3,442235.1,1036.04,570,38976.62,0.766,345,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,しめ縄4,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,908676.7,442022.2,1061.48,570,24824.2,0.766,352,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,908676.7,442022.2,1061.48,570,24824.2,0.766,352,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,花海+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,907440.5,441420.8,947,570,34937.41,0.916,165,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,花海+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,907440.5,441420.8,947,570,34937.41,0.916,165,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,花海+黒曜の秘典,HP%+元素バフ+会心率,アルベド+トーマ+万葉,907440.5,441420.8,947,570,34937.41,0.916,165,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,花海+黒曜の秘典,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,907440.5,441420.8,947,570,34937.41,0.916,165,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,千岩+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,907440.5,441420.8,947,570,34937.41,0.916,165,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,千岩+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,907440.5,441420.8,947,570,34937.41,0.916,165,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,黒曜の秘典+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,907440.5,441420.8,947,570,34937.41,0.916,165,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,黒曜の秘典+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,907440.5,441420.8,947,570,34937.41,0.916,165,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,沈淪4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,906704.2,441062.7,947,570,38976.62,0.45,352,0.83:1.66,,0.22:1.16,1.6
凛流の監視者,黒曜の秘典4,HP%+元素熟知+元素熟知,トーマ+鍾離+万葉,906553.1,440989.2,1303.96,570,27041.21,0.45,374,0.96:1.91,,0.09:1.41,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素熟知+元素熟知,トーマ+鍾離+万葉,906246.6,440840.1,1167,570,27041.21,0.45,374,0.96:1.91,,0.31:0.97,1.6
古祠の瓏,楽団+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,906006.6,440723.4,947,570,31900.41,0.916,245,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,楽団+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,906006.6,440723.4,947,570,31900.41,0.916,245,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,楽団+黒曜の秘典,HP%+元素バフ+会心率,アルベド+トーマ+万葉,906006.6,440723.4,947,570,31900.41,0.916,245,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,楽団+黒曜の秘典,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,906006.6,440723.4,947,570,31900.41,0.916,245,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,金メッキ+沈淪,HP%+元素バフ+会心率,アルベド+トーマ+万葉,906006.6,440723.4,947,570,31900.41,0.916,245,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,金メッキ+沈淪,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,906006.6,440723.4,947,570,31900.41,0.916,245,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,金メッキ+黒曜の秘典,HP%+元素バフ+会心率,アルベド+トーマ+万葉,906006.6,440723.4,947,570,31900.41,0.916,245,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,金メッキ+黒曜の秘典,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,906006.6,440723.4,947,570,31900.41,0.916,245,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,楽団+金メッキ,HP%+元素バフ+会心率,アルベド+トーマ+万葉,905389.3,440423.1,947,570,31900.41,0.766,325,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,楽団+金メッキ,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,905389.3,440423.1,947,570,31900.41,0.766,325,0.99:1.97,,0.38:0.85,1.6
凛流の監視者,金メッキ4(同元素0),HP%+HP%+会心率,アルベド+トーマ+万葉,905259.3,440359.8,1303.96,570,34117.42,0.3,355,0.91:1.82,,0.14:1.32,1.6
凛流の監視者,金メッキ4(同元素0),HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,905259.3,440359.8,1303.96,570,34117.42,0.3,355,0.91:1.82,,0.45:0.70,1.6
トゥライトゥーラの記憶,金メッキ4(同元素0),HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,904949.4,440209.1,1167,570,34117.42,0.3,355,0.91:1.82,,0.67:0.26,1.6
トゥライトゥーラの記憶,金メッキ4(同元素0),HP%+HP%+会心率,アルベド+トーマ+万葉,904949.3,440209,1167,570,34117.42,0.3,355,0.91:1.82,,0.36:0.88,1.6
凛流の監視者,金メッキ4(同元素0),HP%+元素バフ+HP%,アルベド+トーマ+万葉,904888.2,440179.3,1303.96,570,34117.42,0.766,355,0.76:1.51,,0.29:1.01,1.6
トゥライトゥーラの記憶,金メッキ4(同元素0),HP%+元素バフ+HP%,アルベド+トーマ+万葉,904569.1,440024.1,1167,570,34117.42,0.766,355,0.76:1.51,,0.51:0.57,1.6
久遠流転の大典,金メッキ4(同元素0),HP%+元素バフ+HP%,アルベド+トーマ+万葉,904194.5,439841.8,1035,570,36547.02,0.766,355,0.87:1.73,,0.62:0.35,1.6
凛流の監視者,黒曜の秘典4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,902641.3,439086.3,1303.96,570,27041.21,0.45,312,1.00:2.22,,0.25:1.10,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,902501.4,439018.2,1167,570,27041.21,0.45,312,1.00:2.22,,0.16:1.28,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,902501.4,439018.2,1167,570,27041.21,0.45,312,1.00:2.22,,0.47:0.66,1.6
古祠の瓏,しめ縄4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,900775.4,438178.7,1061.48,570,38976.62,0.3,227,0.83:1.66,,0.22:1.16,1.6
凛流の監視者,黒曜の秘典4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,900546.9,438067.5,1303.96,570,27041.21,0.916,125,1.00:2.22,,0.25:1.10,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,900407.3,437999.6,1167,570,27041.21,0.916,125,1.00:2.22,,0.16:1.28,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,900407.3,437999.6,1167,570,27041.21,0.916,125,1.00:2.22,,0.47:0.66,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+HP%+HP%,アルベド+トーマ+万葉,899008.8,437319.3,1003,570,47465.04,0.45,125,0.85:1.69,,0.20:1.19,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,898978.1,437304.4,1003,570,40388.82,0.45,187,0.85:1.69,,0.20:1.19,1.6
古祠の瓏,黒曜の秘典4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,898204.8,436928.1,947,570,38976.62,0.45,165,1.00:2.37,,0.18:1.25,1.6
古祠の瓏,花海+千岩,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,896945.2,436315.5,947,570,30898.2,0.766,352,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,花海+千岩,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,896945.2,436315.5,947,570,30898.2,0.766,352,0.99:1.97,,0.38:0.85,1.6
ヤチュシェの環(完凸),黒曜の秘典4,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,896302.6,436002.9,1003,570,26236.4,0.916,187,1.00:2.00,,0.05:1.50,1.6
ヤチュシェの環(完凸),黒曜の秘典4,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,896302.6,436002.9,1003,570,26236.4,0.916,187,1.00:2.00,,0.36:0.88,1.6
