武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,熟知,率ダメ,サブステ,スコア
雨裁,楽団+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),142623,2690.68,325,0.89:1.77,0.26:0.87,1.4
雨裁,楽団+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),142623,2690.68,325,0.89:1.77,0.58:0.25,1.4
雨裁,楽園+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),142623,2690.68,325,0.89:1.77,0.26:0.87,1.4
雨裁,楽園+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),142623,2690.68,325,0.89:1.77,0.58:0.25,1.4
葦海の標(1),火魔女4(1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),142021.9,3057.9,187,1.00:2.10,0.10:1.20,1.4
葦海の標(1),火魔女4(1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),142021.9,3057.9,187,1.00:2.10,0.41:0.58,1.4
雨裁,金メッキ4(同元素0),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),141455.7,2690.68,582,0.89:1.77,0.26:0.87,1.4
雨裁,金メッキ4(同元素0),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),141455.7,2690.68,582,0.89:1.77,0.58:0.25,1.4
葦海の標(1),金メッキ4(同元素0),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),141136.4,3057.9,417,1.00:2.10,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素0),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),141136.4,3057.9,417,1.00:2.10,0.41:0.58,1.4
雨裁,金メッキ4(同元素1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),141119.2,2804.36,532,0.89:1.77,0.26:0.87,1.4
雨裁,金メッキ4(同元素1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),141119.2,2804.36,532,0.89:1.77,0.58:0.25,1.4
赤角石塵滅砕,火魔女4(1),元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),141097.4,2751.16,374,0.95:1.90,0.64:0.12,1.4
赤角石塵滅砕,金メッキ4(同元素3),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),141042.3,3105.64,267,0.95:1.90,0.64:0.12,1.4
赤角石塵滅砕,金メッキ4(同元素2),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),140936.8,2987.48,317,1.00:2.40,0.70:0.00,1.4
赤角石塵滅砕,楽団+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),140713,2751.16,160,1.00:2.40,0.70:0.00,1.4
赤角石塵滅砕,楽園+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),140713,2751.16,160,1.00:2.40,0.70:0.00,1.4
裁断,火魔女4(1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),140642.8,3195.84,187,1.00:1.99,0.15:1.09,1.4
裁断,火魔女4(1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),140642.8,3195.84,187,1.00:1.99,0.47:0.47,1.4
黒岩完凸(平均),金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),140419.5,3096.68,180,1.00:2.07,0.70:0.00,1.4
雨裁,金メッキ4(同元素2),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),140353.1,2918.04,482,0.89:1.77,0.26:0.87,1.4
雨裁,金メッキ4(同元素2),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),140353.1,2918.04,482,0.89:1.77,0.58:0.25,1.4
赤角石塵滅砕,楽団+金メッキ,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),140126.8,2751.16,347,0.95:1.90,0.64:0.12,1.4
赤角石塵滅砕,楽園+金メッキ,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),140126.8,2751.16,347,0.95:1.90,0.64:0.12,1.4
葦海の標(1),金メッキ4(同元素3),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),140083.9,3440.1,267,0.90:1.79,0.25:0.89,1.4
葦海の標(1),火魔女4(1),元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),140058.7,3057.9,374,0.90:1.79,0.25:0.89,1.4
裁断,金メッキ4(同元素0),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),140021.9,3195.84,417,0.84:1.68,0.31:0.78,1.4
裁断,金メッキ4(同元素0),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139765.9,3195.84,417,1.00:1.99,0.15:1.09,1.4
裁断,金メッキ4(同元素0),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139765.9,3195.84,417,1.00:1.99,0.47:0.47,1.4
赤角石塵滅砕,金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139707.8,2869.32,180,1.00:2.21,0.49:0.43,1.4
葦海の標(1),金メッキ4(同元素1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139612,3185.3,367,1.00:2.10,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139612,3185.3,367,1.00:2.10,0.41:0.58,1.4
雨裁,火魔女+楽団,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139510.1,2690.68,245,0.89:1.77,0.26:0.87,1.4
雨裁,火魔女+楽団,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139510.1,2690.68,245,0.89:1.77,0.58:0.25,1.4
雨裁,火魔女+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139510.1,2690.68,245,0.89:1.77,0.26:0.87,1.4
雨裁,火魔女+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139510.1,2690.68,245,0.89:1.77,0.58:0.25,1.4
雨裁,火魔女+楽園,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139510.1,2690.68,245,0.89:1.77,0.26:0.87,1.4
雨裁,火魔女+楽園,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139510.1,2690.68,245,0.89:1.77,0.58:0.25,1.4
赤角石塵滅砕,ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139251.3,2751.16,187,1.00:2.26,0.46:0.48,1.4
黒岩完凸(平均),金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139208.5,3096.68,180,1.00:2.05,0.40:0.60,1.4
黒岩完凸(平均),ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139182.5,2983,187,1.00:2.10,0.38:0.64,1.4
葦海の標(1),金メッキ4(同元素2),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139169.1,3312.7,130,1.00:2.10,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素2),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139169.1,3312.7,130,1.00:2.10,0.41:0.58,1.4
雨裁,金メッキ4(同元素3),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139122.3,3031.72,432,0.89:1.77,0.26:0.87,1.4
雨裁,金メッキ4(同元素3),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139122.3,3031.72,432,0.89:1.77,0.58:0.25,1.4
葦海の標(1),楽団+金メッキ,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139095.2,3057.9,347,0.90:1.79,0.25:0.89,1.4
葦海の標(1),楽園+金メッキ,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139095.2,3057.9,347,0.90:1.79,0.25:0.89,1.4
雨裁,火魔女4(1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139060.5,2690.68,352,0.73:1.46,0.42:0.56,1.4
黒岩完凸(平均),金メッキ4(同元素0),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139007.8,2983,417,0.87:1.74,0.56:0.28,1.4
葦海の標(1),ファントム4,元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),138823.8,3057.9,374,1.00:2.15,0.07:1.25,1.4
裁断,金メッキ4(同元素1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),138662.9,3332.48,367,0.84:1.68,0.31:0.78,1.4
赤角石塵滅砕,火魔女+楽団,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),138580.8,2751.16,267,0.95:1.90,0.64:0.12,1.4
赤角石塵滅砕,火魔女+金メッキ,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),138580.8,2751.16,267,0.95:1.90,0.64:0.12,1.4
赤角石塵滅砕,火魔女+楽園,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),138580.8,2751.16,267,0.95:1.90,0.64:0.12,1.4
黒岩完凸(平均),火魔女4(1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),138445.2,2983,187,1.00:2.07,0.70:0.00,1.4
裁断,金メッキ4(同元素1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),138409.4,3332.48,367,1.00:1.99,0.15:1.09,1.4
裁断,金メッキ4(同元素1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),138409.4,3332.48,367,1.00:1.99,0.47:0.47,1.4
裁断,金メッキ4(同元素2),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),138115.2,3469.12,130,1.00:1.99,0.15:1.09,1.4
裁断,金メッキ4(同元素2),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),138115.2,3469.12,130,1.00:1.99,0.47:0.47,1.4
裁断,火魔女4(1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),138089,3195.84,187,0.84:1.68,0.31:0.78,1.4
赤角石塵滅砕,金メッキ4(同元素3),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),138054.2,3105.64,267,1.00:2.40,0.70:0.00,1.4
裁断,ファントム4,元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137921.7,3195.84,374,1.00:2.04,0.13:1.14,1.4
赤角石塵滅砕,火魔女4(1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137668.4,2751.16,0,1.00:2.40,0.70:0.00,1.4
黒岩完凸(平均),金メッキ4(同元素0),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137582,2983,417,1.00:2.07,0.70:0.00,1.4
葦海の標(1),火魔女+楽団,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137560.6,3057.9,267,0.90:1.79,0.25:0.89,1.4
葦海の標(1),火魔女+金メッキ,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137560.6,3057.9,267,0.90:1.79,0.25:0.89,1.4
葦海の標(1),火魔女+楽園,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137560.6,3057.9,267,0.90:1.79,0.25:0.89,1.4
赤角石塵滅砕,火魔女+楽団,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137539.8,2751.16,267,1.00:2.40,0.70:0.00,1.4
赤角石塵滅砕,火魔女+金メッキ,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137539.8,2751.16,267,1.00:2.40,0.70:0.00,1.4
赤角石塵滅砕,火魔女+楽園,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137539.8,2751.16,267,1.00:2.40,0.70:0.00,1.4
葦海の標(1),金メッキ4(同元素2),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137483.1,3312.7,317,1.00:2.10,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素2),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137483.1,3312.7,317,1.00:2.10,0.41:0.58,1.4
赤角石塵滅砕,火魔女4(1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137431.2,2751.16,187,1.00:2.21,0.49:0.43,1.4
雨裁,火魔女+楽団,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137312.3,2690.68,432,0.89:1.77,0.26:0.87,1.4
雨裁,火魔女+楽団,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137312.3,2690.68,432,0.89:1.77,0.58:0.25,1.4
雨裁,火魔女+金メッキ,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137312.3,2690.68,432,0.89:1.77,0.26:0.87,1.4
雨裁,火魔女+金メッキ,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137312.3,2690.68,432,0.89:1.77,0.58:0.25,1.4
雨裁,火魔女+楽園,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137312.3,2690.68,432,0.89:1.77,0.26:0.87,1.4
雨裁,火魔女+楽園,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137312.3,2690.68,432,0.89:1.77,0.58:0.25,1.4
