武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,熟知,率ダメ,サブステ,スコア
赤角石塵滅砕,火魔女4(1),元素熟知+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),132791.7,2751.16,374,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,金メッキ4(同元素3),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),132739.9,3105.64,267,0.91:1.81,0.49:0.43,1.4
葦海の標(1),ファントム4,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),132510.4,3057.9,187,1.00:1.90,0.00:1.40,1.4
赤角石塵滅砕,楽団+金メッキ,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),131878.2,2751.16,347,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,楽園+金メッキ,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),131878.2,2751.16,347,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,火魔女4(1),元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),131865.2,2751.16,374,0.81:2.00,0.70:0.00,1.4
裁断,ファントム4,元素熟知+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),131852.4,3195.84,374,0.82:1.64,0.13:1.14,1.4
赤角石塵滅砕,金メッキ4(同元素3),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),131813.7,3105.64,267,0.81:2.00,0.70:0.00,1.4
裁断,ファントム4,元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),131760.4,3195.84,374,0.98:1.95,0.29:0.83,1.4
葦海の標(1),金メッキ4(同元素3),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),131721.4,3440.1,267,0.85:1.70,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素3),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),131721.4,3440.1,267,0.85:1.70,0.41:0.58,1.4
葦海の標(1),火魔女4(1),元素熟知+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),131697.8,3057.9,374,0.85:1.70,0.10:1.20,1.4
葦海の標(1),火魔女4(1),元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),131697.8,3057.9,374,0.85:1.70,0.41:0.58,1.4
裁断,金メッキ4(同元素0),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),131569.8,3195.84,417,0.80:1.59,0.15:1.09,1.4
裁断,金メッキ4(同元素0),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),131569.8,3195.84,417,0.80:1.59,0.47:0.47,1.4
裁断,ファントム4,元素熟知+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),131526.7,3195.84,374,1.00:1.90,0.00:1.40,1.4
赤角石塵滅砕,楽団+金メッキ,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130958,2751.16,347,0.81:2.00,0.70:0.00,1.4
赤角石塵滅砕,楽園+金メッキ,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130958,2751.16,347,0.81:2.00,0.70:0.00,1.4
黒岩完凸(平均),ファントム4,元素熟知+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130918,2983,374,0.85:1.70,0.38:0.64,1.4
葦海の標(1),楽団+金メッキ,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130791.8,3057.9,347,0.85:1.70,0.10:1.20,1.4
葦海の標(1),楽団+金メッキ,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130791.8,3057.9,347,0.85:1.70,0.41:0.58,1.4
葦海の標(1),楽園+金メッキ,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130791.8,3057.9,347,0.85:1.70,0.10:1.20,1.4
葦海の標(1),楽園+金メッキ,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130791.8,3057.9,347,0.85:1.70,0.41:0.58,1.4
黒岩完凸(平均),金メッキ4(同元素0),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130659.5,2983,417,0.82:1.65,0.40:0.60,1.4
黒岩完凸(平均),金メッキ4(同元素0),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130640,2983,417,0.81:1.67,0.70:0.00,1.4
赤角石塵滅砕,ファントム4,元素熟知+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130600.6,2751.16,374,1.00:2.17,0.31:0.79,1.4
赤角石塵滅砕,ファントム4,元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130600.6,2751.16,374,1.00:2.17,0.62:0.17,1.4
雨裁,火魔女4(1),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130580.1,2690.68,352,0.69:1.37,0.26:0.87,1.4
雨裁,火魔女4(1),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130580.1,2690.68,352,0.69:1.37,0.58:0.25,1.4
赤角石塵滅砕,火魔女+楽団,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130423.2,2751.16,267,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,火魔女+金メッキ,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130423.2,2751.16,267,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,火魔女+楽園,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130423.2,2751.16,267,0.91:1.81,0.49:0.43,1.4
黒岩完凸(平均),ファントム4,元素熟知+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130340.3,2983,374,1.00:2.01,0.22:0.96,1.4
黒岩完凸(平均),ファントム4,元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130340.3,2983,374,1.00:2.01,0.53:0.33,1.4
裁断,金メッキ4(同元素1),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130292.8,3332.48,367,0.80:1.59,0.15:1.09,1.4
裁断,金メッキ4(同元素1),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),130292.8,3332.48,367,0.80:1.59,0.47:0.47,1.4
赤角石塵滅砕,火魔女4(1),元素熟知+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),129797.6,2751.16,374,0.75:1.50,0.64:0.12,1.4
裁断,火魔女4(1),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),129753.5,3195.84,187,0.80:1.59,0.15:1.09,1.4
裁断,火魔女4(1),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),129753.5,3195.84,187,0.80:1.59,0.47:0.47,1.4
雨裁,ファントム4,元素熟知+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),129738.3,2690.68,539,0.71:1.42,0.24:0.92,1.4
赤角石塵滅砕,火魔女+楽団,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),129513.2,2751.16,267,0.81:2.00,0.70:0.00,1.4
赤角石塵滅砕,火魔女+金メッキ,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),129513.2,2751.16,267,0.81:2.00,0.70:0.00,1.4
赤角石塵滅砕,火魔女+楽園,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),129513.2,2751.16,267,0.81:2.00,0.70:0.00,1.4
葦海の標(1),火魔女+楽団,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),129348.8,3057.9,267,0.85:1.70,0.10:1.20,1.4
葦海の標(1),火魔女+楽団,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),129348.8,3057.9,267,0.85:1.70,0.41:0.58,1.4
葦海の標(1),火魔女+金メッキ,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),129348.8,3057.9,267,0.85:1.70,0.10:1.20,1.4
葦海の標(1),火魔女+金メッキ,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),129348.8,3057.9,267,0.85:1.70,0.41:0.58,1.4
葦海の標(1),火魔女+楽園,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),129348.8,3057.9,267,0.85:1.70,0.10:1.20,1.4
葦海の標(1),火魔女+楽園,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),129348.8,3057.9,267,0.85:1.70,0.41:0.58,1.4
葦海の標(1),ファントム4,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+閑雲(翠緑冠会心炎共鳴)+夜蘭(終焉、9秒平均),129108.2,1985.4,287,1.00:2.06,0.23:0.94,1.4
黒岩完凸(平均),金メッキ4(同元素1),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128929.4,3096.68,367,0.82:1.65,0.40:0.60,1.4
赤角石塵滅砕,金メッキ4(同元素0),攻撃%+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128923.9,3144.464,230,0.91:1.81,0.49:0.43,1.4
黒岩完凸(平均),金メッキ4(同元素1),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128910.2,3096.68,367,0.81:1.67,0.70:0.00,1.4
黒岩完凸(平均),火魔女4(1),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128855.8,2983,187,0.82:1.65,0.40:0.60,1.4
黒岩完凸(平均),火魔女4(1),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128836.6,2983,187,0.81:1.67,0.70:0.00,1.4
葦海の標(1),火魔女4(1),元素熟知+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128501,3057.9,374,0.70:1.39,0.25:0.89,1.4
裁断,金メッキ4(同元素2),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128440.8,3469.12,317,0.80:1.59,0.15:1.09,1.4
裁断,金メッキ4(同元素2),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128440.8,3469.12,317,0.80:1.59,0.47:0.47,1.4
雨裁,ファントム4,攻撃%+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128423.7,3069.072,352,0.87:1.73,0.08:1.23,1.4
雨裁,ファントム4,攻撃%+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128423.7,3069.072,352,0.87:1.73,0.40:0.61,1.4
雨裁,金メッキ4(同元素0),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128397.7,2690.68,582,0.69:1.37,0.26:0.87,1.4
雨裁,金メッキ4(同元素0),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128397.7,2690.68,582,0.69:1.37,0.58:0.25,1.4
雨裁,金メッキ4(同元素1),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128092.2,2804.36,532,0.69:1.37,0.26:0.87,1.4
雨裁,金メッキ4(同元素1),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128092.2,2804.36,532,0.69:1.37,0.58:0.25,1.4
雨裁,ファントム4,攻撃%+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128059.7,3069.072,165,0.87:1.73,0.08:1.23,1.4
雨裁,ファントム4,攻撃%+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128059.7,3069.072,165,0.87:1.73,0.40:0.61,1.4
赤角石塵滅砕,金メッキ4(同元素0),攻撃%+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),128024.4,3144.464,230,0.81:2.00,0.70:0.00,1.4
葦海の標(1),金メッキ4(同元素0),攻撃%+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),127942.1,3481.96,230,0.85:1.70,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素0),攻撃%+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),127942.1,3481.96,230,0.85:1.70,0.41:0.58,1.4
葦海の標(1),ファントム4,元素熟知+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),127765.5,3057.9,374,1.00:1.90,0.00:1.40,1.4
雨裁,金メッキ4(同元素2),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),127396.9,2918.04,482,0.69:1.37,0.26:0.87,1.4
雨裁,金メッキ4(同元素2),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),127396.9,2918.04,482,0.69:1.37,0.58:0.25,1.4
赤角石塵滅砕,ファントム4,元素熟知+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),127298.3,2751.16,561,0.93:1.86,0.46:0.48,1.4
赤角石塵滅砕,ファントム4,攻撃%+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),127124.4,3144.464,187,0.93:1.86,0.46:0.48,1.4
赤角石塵滅砕,しめ縄+金メッキ,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),127059.4,2903.08,267,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,金メッキ+剣闘士,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),127059.4,2903.08,267,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,金メッキ+残響,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),127059.4,2903.08,267,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,金メッキ+辰砂,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),127059.4,2903.08,267,0.91:1.81,0.49:0.43,1.4
黒岩完凸(平均),金メッキ4(同元素2),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),126665.7,3210.36,317,0.82:1.65,0.40:0.60,1.4
黒岩完凸(平均),金メッキ4(同元素2),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),126646.8,3210.36,317,0.81:1.67,0.70:0.00,1.4
螭龍の剣(バフ無し),ファントム4,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),126631.5,2690.68,187,1.00:2.01,0.26:0.89,1.4
裁断,ファントム4,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+閑雲(翠緑冠会心炎共鳴)+夜蘭(終焉、9秒平均),126611.9,2106.84,287,0.98:1.95,0.29:0.83,1.4
黒岩完凸(効果無し),ファントム4,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),126610.4,2690.68,187,1.00:2.01,0.22:0.96,1.4
黒岩完凸(効果無し),ファントム4,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),126610.4,2690.68,187,1.00:2.01,0.53:0.33,1.4
雨裁,ファントム4,元素熟知+元素バフ+会心率,ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴)+夜蘭(終焉、9秒平均),126573.3,2853.08,452,0.87:1.73,0.08:1.23,1.4
雨裁,ファントム4,元素熟知+元素バフ+会心ダメージ,ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴)+夜蘭(終焉、9秒平均),126573.3,2853.08,452,0.87:1.73,0.40:0.61,1.4
裁断,ファントム4,元素熟知+元素バフ+会心率,フリーナ(フル)+閑雲(翠緑冠会心炎共鳴)+夜蘭(終焉、9秒平均),126387.4,2106.84,287,1.00:1.90,0.00:1.40,1.4
葦海の標(1),ファントム4,元素熟知+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),126309.1,3057.9,561,0.88:1.75,0.07:1.25,1.4
雨裁,金メッキ4(同元素3),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),126279.7,3031.72,432,0.69:1.37,0.26:0.87,1.4
雨裁,金メッキ4(同元素3),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),126279.7,3031.72,432,0.69:1.37,0.58:0.25,1.4
末路(R2、30%以下),ファントム4,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),126254.2,3554.76,187,0.87:1.73,0.08:1.23,1.4
末路(R2、30%以下),ファントム4,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),126254.2,3554.76,187,0.87:1.73,0.40:0.61,1.4
葦海の標(1),ファントム4,攻撃%+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),126215.7,3481.96,187,0.88:1.75,0.07:1.25,1.4
