武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,HP,バフ,熟知,率ダメ
葦海の標,金メッキ4(同元素1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,112868.5,3367.3,19853.08,0.75,367,0.92:1.84
葦海の標,金メッキ4(同元素1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,112868.5,3367.3,19853.08,0.75,367,0.92:1.84
葦海の標,金メッキ4(同元素1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,112640.2,3367.3,19853.08,1.216,367,0.77:1.53
葦海の標,火魔女4(1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,112502.1,3239.9,19853.08,1.441,187,0.77:1.53
赤角石塵滅砕,ファントム4,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,112426.9,2751.16,16199,0.75,187,1.00:2.62
赤角石塵滅砕,ファントム4,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,112426.9,2751.16,16199,0.75,187,1.00:2.62
葦海の標,金メッキ4(同元素2),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,112316.6,3494.7,19853.08,1.216,130,0.92:1.84
葦海の標,金メッキ4(同元素2),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,112316.6,3494.7,19853.08,1.216,130,0.92:1.84
葦海の標,金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),112291.4,2167.4,22707.83,1.406,330,0.92:1.84
葦海の標,金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),112291.4,2167.4,22707.83,1.406,330,0.92:1.84
葦海の標,ファントム4,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),112047,2167.4,22707.83,0.94,287,1.00:2.40
葦海の標,ファントム4,元チャ+元素熟知+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),112046.9,2167.4,22707.83,0.94,287,1.00:2.40
赤角石塵滅砕,火魔女4(1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,111885.7,2751.16,16199,0.975,187,0.98:1.95
赤角石塵滅砕,火魔女4(1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,111885.7,2751.16,16199,0.975,187,0.98:1.95
葦海の標,ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),111751.8,2167.4,22707.83,1.406,287,0.95:1.89
雨裁,金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,111682.8,2804.36,16199,1.576,345,0.76:1.51
雨裁,金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,111682.8,2804.36,16199,1.576,345,0.76:1.51
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,111265.7,2751.16,16199,1.216,417,0.82:1.64
赤角石塵滅砕,ファントム4,元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,111254.7,2751.16,16199,0.75,374,1.00:2.00
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,111188.1,2751.16,16199,0.75,417,0.98:1.95
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,111188.1,2751.16,16199,0.75,417,0.98:1.95
葦海の標,楽団+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,111129.2,3239.9,19853.08,1.216,160,0.92:1.84
葦海の標,楽団+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,111129.2,3239.9,19853.08,1.216,160,0.92:1.84
葦海の標,楽園+楽団,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,111129.2,3239.9,19853.08,1.216,160,0.92:1.84
葦海の標,楽園+楽団,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,111129.2,3239.9,19853.08,1.216,160,0.92:1.84
葦海の標,楽園+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,111129.2,3239.9,19853.08,1.216,160,0.92:1.84
葦海の標,楽園+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,111129.2,3239.9,19853.08,1.216,160,0.92:1.84
葦海の標,金メッキ4(同元素2),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,110956,3494.7,19853.08,0.75,317,0.92:1.84
葦海の標,金メッキ4(同元素2),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,110956,3494.7,19853.08,0.75,317,0.92:1.84
葦海の標,金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),110837.4,2294.8,22707.83,1.406,280,0.92:1.84
葦海の標,金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),110837.4,2294.8,22707.83,1.406,280,0.92:1.84
葦海の標,金メッキ4(同元素2),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,110731.6,3494.7,19853.08,1.216,317,0.77:1.53
裁断,金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,110634.5,3195.84,16199,1.216,230,0.87:1.73
裁断,金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,110634.5,3195.84,16199,1.216,230,0.87:1.73
黒岩完凸(平均),金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109974,2983,16199,1.216,230,0.89:1.79
黒岩完凸(平均),金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109974,2983,16199,1.216,230,0.89:1.79
赤角石塵滅砕,金メッキ4(同元素1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109938.5,2869.32,16199,1.216,367,0.82:1.64
赤角石塵滅砕,金メッキ4(同元素1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109861.8,2869.32,16199,0.75,367,0.98:1.95
赤角石塵滅砕,金メッキ4(同元素1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109861.8,2869.32,16199,0.75,367,0.98:1.95
葦海の標,ファントム4,元チャ+元素バフ+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),109817.5,2167.4,22707.83,1.406,100,1.00:2.40
葦海の標,ファントム4,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),109817.5,2167.4,22707.83,1.406,100,1.00:2.40
赤角石塵滅砕,火魔女4(1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109729.8,2751.16,16199,1.441,187,0.82:1.64
雨裁,火魔女4(1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109666.4,2690.68,16199,1.801,165,0.76:1.51
雨裁,火魔女4(1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109666.4,2690.68,16199,1.801,165,0.76:1.51
雨裁,火魔女4(1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109665.9,2690.68,16199,1.335,352,0.76:1.51
雨裁,火魔女4(1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109665.9,2690.68,16199,1.335,352,0.76:1.51
雨裁,金メッキ4(同元素2),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109589.5,2918.04,16199,1.576,295,0.76:1.51
雨裁,金メッキ4(同元素2),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109589.5,2918.04,16199,1.576,295,0.76:1.51
赤角石塵滅砕,金メッキ4(同元素2),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109394.7,2987.48,16199,1.216,130,0.98:1.95
赤角石塵滅砕,金メッキ4(同元素2),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109394.7,2987.48,16199,1.216,130,0.98:1.95
葦海の標,ファントム4,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109181.9,3239.9,19853.08,1.216,0,1.00:2.40
葦海の標,ファントム4,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109181.9,3239.9,19853.08,1.216,0,1.00:2.40
裁断,ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,109128.6,3195.84,16199,1.216,187,0.89:1.78
葦海の標,火魔女4(1),元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108851.4,3239.9,19853.08,0.975,374,0.77:1.53
葦海の標,金メッキ4(同元素2),元チャ+元素バフ+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),108746.7,2422.2,22707.83,1.406,230,0.92:1.84
葦海の標,金メッキ4(同元素2),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),108746.7,2422.2,22707.83,1.406,230,0.92:1.84
葦海の標,火魔女4(1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108724.6,3239.9,19853.08,1.441,0,0.92:1.84
葦海の標,火魔女4(1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108724.6,3239.9,19853.08,1.441,0,0.92:1.84
葦海の標,火魔女+楽団,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108623.1,3239.9,19853.08,0.9,267,0.92:1.84
葦海の標,火魔女+楽団,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108623.1,3239.9,19853.08,0.9,267,0.92:1.84
葦海の標,火魔女+金メッキ,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108623.1,3239.9,19853.08,0.9,267,0.92:1.84
葦海の標,火魔女+金メッキ,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108623.1,3239.9,19853.08,0.9,267,0.92:1.84
葦海の標,火魔女+楽園,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108623.1,3239.9,19853.08,0.9,267,0.92:1.84
葦海の標,火魔女+楽園,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108623.1,3239.9,19853.08,0.9,267,0.92:1.84
葦海の標,金メッキ4(同元素3),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108528.1,3622.1,19853.08,0.75,267,0.92:1.84
葦海の標,金メッキ4(同元素3),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108528.1,3622.1,19853.08,0.75,267,0.92:1.84
黒岩完凸(平均),ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108451.6,2983,16199,1.216,187,0.92:1.84
裁断,ファントム4,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108448.6,3195.84,16199,0.75,187,1.00:2.18
裁断,ファントム4,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108448.6,3195.84,16199,0.75,187,1.00:2.18
葦海の標,楽団+金メッキ,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108321.6,3239.9,19853.08,0.75,347,0.92:1.84
葦海の標,楽団+金メッキ,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108321.6,3239.9,19853.08,0.75,347,0.92:1.84
葦海の標,楽園+楽団,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108321.6,3239.9,19853.08,0.75,347,0.92:1.84
葦海の標,楽園+楽団,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108321.6,3239.9,19853.08,0.75,347,0.92:1.84
葦海の標,楽園+金メッキ,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108321.6,3239.9,19853.08,0.75,347,0.92:1.84
葦海の標,楽園+金メッキ,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108321.6,3239.9,19853.08,0.75,347,0.92:1.84
葦海の標,金メッキ4(同元素3),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108308.6,3622.1,19853.08,1.216,267,0.77:1.53
赤角石塵滅砕,金メッキ4(同元素2),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108144.9,2987.48,16199,1.216,317,0.82:1.64
葦海の標,楽団+金メッキ,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108102.5,3239.9,19853.08,1.216,347,0.77:1.53
葦海の標,楽園+楽団,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108102.5,3239.9,19853.08,1.216,347,0.77:1.53
葦海の標,楽園+金メッキ,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108102.5,3239.9,19853.08,1.216,347,0.77:1.53
赤角石塵滅砕,楽団+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108095.9,2751.16,16199,1.216,160,0.98:1.95
赤角石塵滅砕,楽団+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108095.9,2751.16,16199,1.216,160,0.98:1.95
赤角石塵滅砕,楽園+楽団,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108095.9,2751.16,16199,1.216,160,0.98:1.95
赤角石塵滅砕,楽園+楽団,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108095.9,2751.16,16199,1.216,160,0.98:1.95
赤角石塵滅砕,楽園+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108095.9,2751.16,16199,1.216,160,0.98:1.95
赤角石塵滅砕,楽園+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108095.9,2751.16,16199,1.216,160,0.98:1.95
葦海の標,火魔女4(1),元チャ+元素熟知+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),108081.9,2167.4,22707.83,1.165,287,0.92:1.84
葦海の標,火魔女4(1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),108081.9,2167.4,22707.83,1.165,287,0.92:1.84
赤角石塵滅砕,金メッキ4(同元素2),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108069.5,2987.48,16199,0.75,317,0.98:1.95
赤角石塵滅砕,金メッキ4(同元素2),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,108069.5,2987.48,16199,0.75,317,0.98:1.95
螭龍の剣(完凸),ファントム4,元チャ+元素熟知+会心率,フリーナ(フル)+閑雲+鍾離,107872.9,1480.28,16199,1.25,187,1.00:2.29
螭龍の剣(完凸),ファントム4,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+閑雲+鍾離,107872.9,1480.28,16199,1.25,187,1.00:2.29
雨裁,ファントム4,元チャ+元素バフ+会心率,ベネット(西風、旧貴族)+閑雲+夜蘭(終焉、9秒平均),107712,2853.08,16199,1.016,265,0.94:1.87
雨裁,ファントム4,元チャ+元素バフ+会心ダメージ,ベネット(西風、旧貴族)+閑雲+夜蘭(終焉、9秒平均),107712,2853.08,16199,1.016,265,0.94:1.87
裁断,金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,107501,3332.48,16199,1.216,180,0.87:1.73
裁断,金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,107501,3332.48,16199,1.216,180,0.87:1.73
黒岩完凸(平均),ファントム4,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,107373.5,2983,16199,0.75,187,1.00:2.29
黒岩完凸(平均),ファントム4,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,107373.5,2983,16199,0.75,187,1.00:2.29
雨裁,ファントム4,元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,107323.2,2690.68,16199,1.11,539,0.78:1.56
雨裁,楽団+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,107102.9,2690.68,16199,1.576,325,0.76:1.51
雨裁,楽団+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,107102.9,2690.68,16199,1.576,325,0.76:1.51
雨裁,楽園+楽団,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,107102.9,2690.68,16199,1.576,325,0.76:1.51
雨裁,楽園+楽団,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,107102.9,2690.68,16199,1.576,325,0.76:1.51
雨裁,楽園+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,107102.9,2690.68,16199,1.576,325,0.76:1.51
雨裁,楽園+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,107102.9,2690.68,16199,1.576,325,0.76:1.51
葦海の標,金メッキ4(同元素3),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,107033.1,3622.1,19853.08,1.216,80,0.92:1.84
葦海の標,金メッキ4(同元素3),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,107033.1,3622.1,19853.08,1.216,80,0.92:1.84
雨裁,金メッキ4(同元素3),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,106959.3,3031.72,16199,1.576,245,0.76:1.51
雨裁,金メッキ4(同元素3),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,106959.3,3031.72,16199,1.576,245,0.76:1.51
葦海の標,火魔女+楽団,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,106909.9,3239.9,19853.08,1.366,267,0.77:1.53
葦海の標,火魔女+金メッキ,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,106909.9,3239.9,19853.08,1.366,267,0.77:1.53
葦海の標,火魔女+楽園,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,106909.9,3239.9,19853.08,1.366,267,0.77:1.53
雨裁,ファントム4,元チャ+元素バフ+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),106586.4,1642.68,19053.75,1.766,265,0.94:1.87
雨裁,ファントム4,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),106586.4,1642.68,19053.75,1.766,265,0.94:1.87
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),106545.4,1695.16,19053.75,1.406,330,0.98:1.95
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),106545.4,1695.16,19053.75,1.406,330,0.98:1.95
黒岩完凸(平均),金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,106486,3096.68,16199,1.216,180,0.89:1.79
黒岩完凸(平均),金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,106486,3096.68,16199,1.216,180,0.89:1.79
葦海の標,火魔女4(1),元チャ+元素バフ+会心率,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),106463.4,2167.4,22707.83,1.631,100,0.92:1.84
葦海の標,火魔女4(1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),106463.4,2167.4,22707.83,1.631,100,0.92:1.84
雨裁,金メッキ4(同元素0),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,106226.3,2690.68,16199,1.11,582,0.76:1.51
雨裁,金メッキ4(同元素0),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,106226.3,2690.68,16199,1.11,582,0.76:1.51
赤角石塵滅砕,火魔女4(1),元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,106169,2751.16,16199,0.975,374,0.82:1.64
螭龍の剣(完凸),金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+閑雲+鍾離,106140.7,1480.28,16199,1.716,230,0.89:1.79
螭龍の剣(完凸),金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲+鍾離,106140.7,1480.28,16199,1.716,230,0.89:1.79
葦海の標,ファントム4,元チャ+元素熟知+元素熟知,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),106103.7,2167.4,22707.83,0.94,474,0.95:1.89
赤角石塵滅砕,ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+閑雲+夜蘭(終焉、9秒平均),105973.9,1695.16,19053.75,1.406,287,1.00:2.00
