武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,熟知,率ダメ,サブステ,スコア
赤角石塵滅砕,金メッキ4(同元素2),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),108610.7,2987.48,317,0.81:2.00,0.70:0.00,1.4
葦海の標(1),金メッキ4(同元素2),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),108515.1,3312.7,317,0.85:1.70,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素2),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),108515.1,3312.7,317,0.85:1.70,0.41:0.58,1.4
赤角石塵滅砕,楽団+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),108438.3,2751.16,160,0.81:2.00,0.70:0.00,1.4
赤角石塵滅砕,楽園+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),108438.3,2751.16,160,0.81:2.00,0.70:0.00,1.4
葦海の標(1),楽団+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),108300.7,3057.9,160,0.85:1.70,0.10:1.20,1.4
葦海の標(1),楽団+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),108300.7,3057.9,160,0.85:1.70,0.41:0.58,1.4
葦海の標(1),楽園+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),108300.7,3057.9,160,0.85:1.70,0.10:1.20,1.4
葦海の標(1),楽園+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),108300.7,3057.9,160,0.85:1.70,0.41:0.58,1.4
葦海の標(1),金メッキ4(同元素2),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),108036.8,3312.7,317,0.70:1.39,0.25:0.89,1.4
雨裁,ファントム4,元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),107959.5,2690.68,539,0.71:1.42,0.24:0.92,1.4
雨裁,金メッキ4(同元素3),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),107867.5,3031.72,245,0.69:1.37,0.26:0.87,1.4
雨裁,金メッキ4(同元素3),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),107867.5,3031.72,245,0.69:1.37,0.58:0.25,1.4
雨裁,楽団+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),107725.6,2690.68,325,0.69:1.37,0.26:0.87,1.4
雨裁,楽団+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),107725.6,2690.68,325,0.69:1.37,0.58:0.25,1.4
雨裁,楽園+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),107725.6,2690.68,325,0.69:1.37,0.26:0.87,1.4
雨裁,楽園+金メッキ,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),107725.6,2690.68,325,0.69:1.37,0.58:0.25,1.4
黒岩完凸(平均),金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),107632.7,3096.68,180,0.82:1.65,0.40:0.60,1.4
黒岩完凸(平均),金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),107616.7,3096.68,180,0.81:1.67,0.70:0.00,1.4
葦海の標(1),金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+閑雲(翠緑冠会心炎共鳴)+夜蘭(終焉、9秒平均),107253,1985.4,330,0.85:1.70,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲(翠緑冠会心炎共鳴)+夜蘭(終焉、9秒平均),107253,1985.4,330,0.85:1.70,0.41:0.58,1.4
赤角石塵滅砕,金メッキ4(同元素3),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),107136.9,3105.64,267,0.91:1.81,0.49:0.43,1.4
葦海の標(1),ファントム4,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106951.7,3057.9,187,1.00:1.90,0.00:1.40,1.4
赤角石塵滅砕,火魔女4(1),元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106895,2751.16,374,0.75:1.50,0.64:0.12,1.4
裁断,火魔女4(1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106858.7,3195.84,187,0.80:1.59,0.15:1.09,1.4
裁断,火魔女4(1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106858.7,3195.84,187,0.80:1.59,0.47:0.47,1.4
赤角石塵滅砕,金メッキ4(同元素3),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106853.3,3105.64,267,0.75:1.50,0.64:0.12,1.4
雨裁,金メッキ4(同元素0),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106843.9,2690.68,582,0.69:1.37,0.26:0.87,1.4
雨裁,金メッキ4(同元素0),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106843.9,2690.68,582,0.69:1.37,0.58:0.25,1.4
赤角石塵滅砕,火魔女4(1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106837.5,2751.16,0,0.91:1.81,0.49:0.43,1.4
葦海の標(1),ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+閑雲(翠緑冠会心炎共鳴)+夜蘭(終焉、9秒平均),106803.1,1985.4,287,0.88:1.75,0.07:1.25,1.4
赤角石塵滅砕,火魔女+楽団,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106737.7,2751.16,267,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,火魔女+金メッキ,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106737.7,2751.16,267,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,火魔女+楽園,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106737.7,2751.16,267,0.91:1.81,0.49:0.43,1.4
雨裁,金メッキ4(同元素1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106589.7,2804.36,532,0.69:1.37,0.26:0.87,1.4
雨裁,金メッキ4(同元素1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106589.7,2804.36,532,0.69:1.37,0.58:0.25,1.4
雨裁,ファントム4,元チャ+攻撃%+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106562.7,3069.072,165,0.87:1.73,0.08:1.23,1.4
雨裁,ファントム4,元チャ+攻撃%+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106562.7,3069.072,165,0.87:1.73,0.40:0.61,1.4
赤角石塵滅砕,楽団+金メッキ,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106441.4,2751.16,347,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,楽園+金メッキ,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106441.4,2751.16,347,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+閑雲(翠緑冠会心炎共鳴)+夜蘭(終焉、9秒平均),106423.7,1695.16,330,0.91:1.81,0.49:0.43,1.4
裁断,ファントム4,元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106420.6,3195.84,374,0.82:1.64,0.13:1.14,1.4
赤角石塵滅砕,金メッキ4(同元素3),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106389.4,3105.64,267,0.81:2.00,0.70:0.00,1.4
葦海の標(1),金メッキ4(同元素3),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106314.9,3440.1,267,0.85:1.70,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素3),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106314.9,3440.1,267,0.85:1.70,0.41:0.58,1.4
雨裁,ファントム4,元チャ+元素バフ+会心率,フリーナ(フル)+閑雲(翠緑冠会心炎共鳴)+夜蘭(終焉、9秒平均),106270.1,1642.68,265,0.87:1.73,0.08:1.23,1.4
雨裁,ファントム4,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲(翠緑冠会心炎共鳴)+夜蘭(終焉、9秒平均),106270.1,1642.68,265,0.87:1.73,0.40:0.61,1.4
裁断,金メッキ4(同元素0),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106192.5,3195.84,417,0.80:1.59,0.15:1.09,1.4
裁断,金メッキ4(同元素0),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106192.5,3195.84,417,0.80:1.59,0.47:0.47,1.4
葦海の標(1),金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+閑雲(翠緑冠会心炎共鳴)+夜蘭(終焉、9秒平均),106179,2112.8,280,0.85:1.70,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+閑雲(翠緑冠会心炎共鳴)+夜蘭(終焉、9秒平均),106179,2112.8,280,0.85:1.70,0.41:0.58,1.4
赤角石塵滅砕,楽団+金メッキ,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106159.7,2751.16,347,0.75:1.50,0.64:0.12,1.4
赤角石塵滅砕,楽園+金メッキ,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106159.7,2751.16,347,0.75:1.50,0.64:0.12,1.4
黒岩完凸(平均),火魔女4(1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),106119.4,2983,187,0.82:1.65,0.40:0.60,1.4
