武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,加算,HP,バフ,バフ共通,元素バフ,バフ落下,会心ダメ期待値,熟知,元素反応,耐性ダウン計算後,率ダメ,聖遺物組み合わせ,花,羽,時計,杯,冠,サブステ,サブHP%,サブHP,スコア
護摩,ファントム4,HP%+元素熟知+元素熟知,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),90337,4986,0,30690,1.3,0.75,0.4,0,2.416245,374,2.378429,0.565,0.84:1.68,,(),(),(),(),(),0.43:0.14,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),90283,4081,0,23442,1.666,1.05,0.466,0,2.988018,187,1.990968,0.575,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
護摩,ファントム4,元素熟知+元素熟知+元素熟知,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),90269,4402,0,23442,1.3,0.75,0.4,0,2.416245,561,2.691994,0.565,0.84:1.68,,(),(),(),(),(),0.43:0.14,0,0,1
護摩,しめ縄4,元素熟知+炎バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),89958,4531,0,23442,2.116,0.75,0.866,0.5,2.334978,187,1.990968,0.565,0.82:1.63,,(),(),(),(),(),0.46:0.09,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),89826,4081,0,23442,1.666,1.05,0.466,0,2.97288,187,1.990968,0.575,0.91:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,ファントム4,元素熟知+元素熟知+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+マーヴィカ(灰燼以外、戦意200時),89799,3414,0,23442,1.7,1.15,0.4,0,2.988018,374,2.378429,0.565,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
赤砂の杖(スキル命中0),ファントム4,元素熟知+元素熟知+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),89710,3854,0,20332,1.3,0.75,0.4,0,3.104,374,2.378429,0.565,1.00:2.10,,(),(),(),(),(),0.20:0.60,0,0,1
護摩,ファントム4,元素熟知+元素熟知+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+マーヴィカ(灰燼以外、戦意200時),89344,3414,0,23442,1.7,1.15,0.4,0,2.97288,374,2.378429,0.565,0.91:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,ファントム4,元素熟知+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),89001,4081,0,23442,1.2,1.05,0,0,2.988018,374,2.378429,0.575,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
護摩,ファントム4,元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),88550,4081,0,23442,1.2,1.05,0,0,2.97288,374,2.378429,0.575,0.91:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+マーヴィカ(灰燼以外、戦意200時),88144,3414,0,23442,2.166,1.15,0.866,0,2.988018,187,1.990968,0.565,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
赤砂の杖(スキル命中0),ファントム4,元素熟知+炎バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),88033,3757,0,20332,1.766,0.75,0.866,0,3.104,187,1.990968,0.565,1.00:2.10,,(),(),(),(),(),0.20:0.60,0,0,1
護摩,ファントム4,HP%+元素熟知+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+マーヴィカ(灰燼以外、戦意200時),88031,3998,0,30690,1.7,1.15,0.4,0,2.988018,187,1.990968,0.565,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+マーヴィカ(灰燼以外、戦意200時),87698,3414,0,23442,2.166,1.15,0.866,0,2.97288,187,1.990968,0.565,0.91:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,ファントム4,HP%+元素熟知+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+マーヴィカ(灰燼以外、戦意200時),87585,3998,0,30690,1.7,1.15,0.4,0,2.97288,187,1.990968,0.565,0.91:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
赤砂の杖(スキル命中0),ファントム4,元素熟知+元素熟知+元素熟知,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),87445,3952,0,20332,1.3,0.75,0.4,0,2.607424,561,2.691994,0.565,0.90:1.79,,(),(),(),(),(),0.05:0.91,0,0,1
護摩,ファントム4,元素熟知+炎バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),87215,4081,0,23442,1.666,1.05,0.466,0,2.416245,374,2.378429,0.575,0.84:1.68,,(),(),(),(),(),0.43:0.14,0,0,1
赤砂の杖(スキル命中0),しめ縄4,元素熟知+元素熟知+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),86481,3971,0,20332,1.65,0.75,0.4,0.5,2.520768,374,2.378429,0.565,0.87:1.74,,(),(),(),(),(),0.38:0.24,0,0,1
赤砂の杖(スキル命中0),しめ縄4,元素熟知+元素熟知+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),86481,3971,0,20332,1.65,0.75,0.4,0.5,2.520768,374,2.378429,0.565,0.87:1.74,,(),(),(),(),(),0.07:0.86,0,0,1
護摩,しめ縄4,HP%+元素熟知+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),86368,5115,0,30690,1.65,0.75,0.4,0.5,2.334978,187,1.990968,0.565,0.82:1.63,,(),(),(),(),(),0.46:0.09,0,0,1
護摩,しめ縄4,元素熟知+元素熟知+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),85812,4531,0,23442,1.65,0.75,0.4,0.5,2.1924,374,2.378429,0.565,0.55:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,楽団+金メッキ,元素熟知+炎バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),85788,4402,0,23442,1.616,0.75,0.866,0,2.334978,347,2.327609,0.565,0.82:1.63,,(),(),(),(),(),0.46:0.09,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心率,シトラリ(灰燼4)+フリーナ(フル)+ベネット(西風、旧貴族),85525,4081,0,23442,1.766,0.75,0.866,0,2.988018,187,1.990968,0.525,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心率,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+夜蘭(終焉、9秒平均),85370,3692,0,27330,1.556,0.94,0.466,0,2.988018,287,2.208852,0.565,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
護摩,ファントム4,HP%+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),85167,4665,0,30690,1.2,1.05,0,0,2.988018,187,1.990968,0.575,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
護摩,しめ縄4,元素熟知+炎バフ+元素熟知,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),85157,4531,0,23442,2.116,0.75,0.866,0.5,1.8503,374,2.378429,0.565,0.55:1.55,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,ファントム4,元素熟知+炎バフ+元素熟知,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+マーヴィカ(灰燼以外、戦意200時),85149,3414,0,23442,2.166,1.15,0.866,0,2.416245,374,2.378429,0.565,0.84:1.68,,(),(),(),(),(),0.43:0.14,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心ダメージ,シトラリ(灰燼4)+フリーナ(フル)+ベネット(西風、旧貴族),85091,4081,0,23442,1.766,0.75,0.866,0,2.97288,187,1.990968,0.525,0.91:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,ファントム4,HP%+元素熟知+元素熟知,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+マーヴィカ(灰燼以外、戦意200時),85039,3998,0,30690,1.7,1.15,0.4,0,2.416245,374,2.378429,0.565,0.84:1.68,,(),(),(),(),(),0.43:0.14,0,0,1
護摩,ファントム4,元素熟知+元素熟知+会心率,シトラリ(灰燼4)+フリーナ(フル)+ベネット(西風、旧貴族),84956,4081,0,23442,1.3,0.75,0.4,0,2.988018,374,2.378429,0.525,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心ダメージ,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+夜蘭(終焉、9秒平均),84937,3692,0,27330,1.556,0.94,0.466,0,2.97288,287,2.208852,0.565,0.91:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心率,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),84929,4402,0,23442,1.366,0.75,0.466,0,2.988018,187,1.990968,0.565,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
護摩,ファントム4,HP%+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),84735,4665,0,30690,1.2,1.05,0,0,2.97288,187,1.990968,0.575,0.91:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,ファントム4,HP%+炎バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),84729,4986,0,30690,1.766,0.75,0.866,0,2.988018,0,1.5,0.565,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
護摩,ファントム4,元素熟知+元素熟知+会心ダメージ,シトラリ(灰燼4)+フリーナ(フル)+ベネット(西風、旧貴族),84525,4081,0,23442,1.3,0.75,0.4,0,2.97288,374,2.378429,0.525,0.91:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心ダメージ,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),84499,4402,0,23442,1.366,0.75,0.466,0,2.97288,187,1.990968,0.565,0.91:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,ファントム4,HP%+HP%+元素熟知,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),84480,5570,0,37937,1.3,0.75,0.4,0,2.416245,187,1.990968,0.565,0.84:1.68,,(),(),(),(),(),0.43:0.14,0,0,1
護摩,しめ縄4,元素熟知+炎バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),84465,4531,0,23442,2.116,0.75,0.866,0.5,2.1924,187,1.990968,0.565,0.55:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,ファントム+楽団,元素熟知+炎バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),84462,4402,0,23442,1.766,0.75,0.866,0,2.334978,267,2.167367,0.565,0.82:1.63,,(),(),(),(),(),0.46:0.09,0,0,1
護摩,ファントム+金メッキ,元素熟知+炎バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),84462,4402,0,23442,1.766,0.75,0.866,0,2.334978,267,2.167367,0.565,0.82:1.63,,(),(),(),(),(),0.46:0.09,0,0,1
護摩,しめ縄4,元素熟知+炎バフ+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),84446,4673,0,23442,1.556,0.19,0.866,0.5,2.334978,287,2.208852,0.565,0.82:1.63,,(),(),(),(),(),0.46:0.09,0,0,1
護摩,ファントム4,HP%+炎バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),84300,4986,0,30690,1.766,0.75,0.866,0,2.97288,0,1.5,0.565,0.91:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
赤砂の杖(スキル命中0),ファントム4,HP%+元素熟知+元素熟知,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),84228,4308,0,27579,1.3,0.75,0.4,0,2.607424,374,2.378429,0.565,0.90:1.79,,(),(),(),(),(),0.05:0.91,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),83556,4537,0,27330,1.556,0.94,0.466,0,2.988018,287,2.208852,0.45,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
護摩,ファントム4,HP%+炎バフ+元素熟知,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+マーヴィカ(灰燼以外、戦意200時),83472,3998,0,30690,2.166,1.15,0.866,0,2.416245,187,1.990968,0.565,0.84:1.68,,(),(),(),(),(),0.43:0.14,0,0,1
護摩,ファントム4,HP%+炎バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),83457,4665,0,30690,1.666,1.05,0.466,0,2.416245,187,1.990968,0.575,0.84:1.68,,(),(),(),(),(),0.43:0.14,0,0,1
赤砂の杖(スキル命中0),ファントム4,元素熟知+元素熟知+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),83352,3854,0,20332,1.3,0.75,0.4,0,2.884,374,2.378429,0.565,1.00:1.88,,(),(),(),(),(),0.00:1.00,0,0,1
護摩,しめ縄4,元素熟知+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),83153,4209,0,23442,1.55,1.05,0,0.5,2.334978,374,2.378429,0.575,0.82:1.63,,(),(),(),(),(),0.46:0.09,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),83132,4537,0,27330,1.556,0.94,0.466,0,2.97288,287,2.208852,0.45,0.91:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
赤砂の杖(スキル命中0),しめ縄4,元素熟知+炎バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),83038,3874,0,20332,2.116,0.75,0.866,0.5,2.520768,187,1.990968,0.565,0.87:1.74,,(),(),(),(),(),0.38:0.24,0,0,1
赤砂の杖(スキル命中0),しめ縄4,元素熟知+炎バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),83038,3874,0,20332,2.116,0.75,0.866,0.5,2.520768,187,1.990968,0.565,0.87:1.74,,(),(),(),(),(),0.07:0.86,0,0,1
赤砂の杖(スキル命中0),ファントム4,HP%+炎バフ+元素熟知,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),82879,4211,0,27579,1.766,0.75,0.866,0,2.607424,187,1.990968,0.565,0.90:1.79,,(),(),(),(),(),0.05:0.91,0,0,1
護摩,ファントム4,元素熟知+炎バフ+元素熟知,シトラリ(灰燼4)+フリーナ(フル)+ベネット(西風、旧貴族),82618,4081,0,23442,1.766,0.75,0.866,0,2.416245,374,2.378429,0.525,0.84:1.68,,(),(),(),(),(),0.43:0.14,0,0,1
護摩,しめ縄4,元素熟知+炎バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),82327,4209,0,23442,2.016,1.05,0.466,0.5,2.334978,187,1.990968,0.575,0.82:1.63,,(),(),(),(),(),0.46:0.09,0,0,1
護摩,ファントム4,HP%+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),82272,4665,0,30690,1.2,1.05,0,0,2.416245,374,2.378429,0.575,0.84:1.68,,(),(),(),(),(),0.43:0.14,0,0,1
護摩,しめ縄4,元素熟知+元素熟知+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+マーヴィカ(灰燼以外、戦意200時),82254,3543,0,23442,2.05,1.15,0.4,0.5,2.334978,374,2.378429,0.565,0.82:1.63,,(),(),(),(),(),0.46:0.09,0,0,1
護摩,しめ縄+楽団,元素熟知+炎バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),82214,4531,0,23442,1.616,0.75,0.866,0,2.334978,267,2.167367,0.565,0.82:1.63,,(),(),(),(),(),0.46:0.09,0,0,1
護摩,しめ縄+金メッキ,元素熟知+炎バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),82214,4531,0,23442,1.616,0.75,0.866,0,2.334978,267,2.167367,0.565,0.82:1.63,,(),(),(),(),(),0.46:0.09,0,0,1
護摩,ファントム4,元素熟知+元素熟知+元素熟知,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+マーヴィカ(灰燼以外、戦意200時),82189,3414,0,23442,1.7,1.15,0.4,0,2.416245,561,2.691994,0.565,0.84:1.68,,(),(),(),(),(),0.43:0.14,0,0,1
赤砂の杖(スキル命中0),ファントム4,元素熟知+炎バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),82171,3563,0,20332,1.666,1.05,0.466,0,2.607424,374,2.378429,0.575,0.90:1.79,,(),(),(),(),(),0.05:0.91,0,0,1
護摩,ファントム4,元素熟知+炎バフ+元素熟知,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),82043,4402,0,23442,1.366,0.75,0.466,0,2.416245,374,2.378429,0.565,0.84:1.68,,(),(),(),(),(),0.43:0.14,0,0,1
赤砂の杖(スキル命中0),ファントム4,HP%+元素熟知+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),82040,4211,0,27579,1.3,0.75,0.4,0,3.104,187,1.990968,0.565,1.00:2.10,,(),(),(),(),(),0.20:0.60,0,0,1
護摩,しめ縄4,元素熟知+元素熟知+元素熟知,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),81970,4531,0,23442,1.65,0.75,0.4,0.5,1.8503,561,2.691994,0.565,0.55:1.55,,(),(),(),(),(),0.50:0.00,0,0,1
赤砂の杖(スキル命中0),ファントム4,元素熟知+炎バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),81793,3757,0,20332,1.766,0.75,0.866,0,2.884,187,1.990968,0.565,1.00:1.88,,(),(),(),(),(),0.00:1.00,0,0,1
護摩,しめ縄4,HP%+元素熟知+元素熟知,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),81759,5115,0,30690,1.65,0.75,0.4,0.5,1.8503,374,2.378429,0.565,0.55:1.55,,(),(),(),(),(),0.50:0.00,0,0,1
赤砂の杖(スキル命中0),しめ縄4,元素熟知+炎バフ+元素熟知,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),81759,3971,0,20332,2.116,0.75,0.866,0.5,2.026745,374,2.378429,0.565,0.72:1.43,,(),(),(),(),(),0.23:0.55,0,0,1
護摩,ファントム+楽団,元素熟知+元素熟知+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),81670,4402,0,23442,1.3,0.75,0.4,0,2.334978,454,2.520316,0.565,0.82:1.63,,(),(),(),(),(),0.46:0.09,0,0,1
護摩,ファントム+金メッキ,元素熟知+元素熟知+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),81670,4402,0,23442,1.3,0.75,0.4,0,2.334978,454,2.520316,0.565,0.82:1.63,,(),(),(),(),(),0.46:0.09,0,0,1
護摩,ファントム4,HP%+HP%+元素熟知,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+マーヴィカ(灰燼以外、戦意200時),81585,4583,0,37937,1.7,1.15,0.4,0,2.416245,187,1.990968,0.565,0.84:1.68,,(),(),(),(),(),0.43:0.14,0,0,1
護摩,ファントム4,元素熟知+元素熟知+会心率,シロネン(灰燼4、2凸、2色以上)+トーマ+フリーナ(フル),81485,3414,0,23442,1.45,0.75,0.4,0,2.988018,374,2.378429,0.565,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
護摩,ファントム4,元素熟知+元素熟知+会心率,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),81475,4402,0,23442,0.9,0.75,0,0,2.988018,374,2.378429,0.565,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
護摩,ファントム4,元素熟知+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+万葉(翠緑4),81459,4081,0,23442,1.2,1.05,0,0,2.416245,561,2.691994,0.575,0.84:1.68,,(),(),(),(),(),0.43:0.14,0,0,1
護摩,ファントム4,HP%+元素熟知+会心率,シトラリ(灰燼4)+フリーナ(フル)+ベネット(西風、旧貴族),81295,4665,0,30690,1.3,0.75,0.4,0,2.988018,187,1.990968,0.525,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心率,シロネン(灰燼4、2凸、2色以上)+トーマ+フリーナ(フル),81184,3414,0,23442,1.916,0.75,0.866,0,2.988018,187,1.990968,0.565,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
護摩,しめ縄4,HP%+元素熟知+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),81094,5115,0,30690,1.65,0.75,0.4,0.5,2.1924,187,1.990968,0.565,0.55:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,ファントム4,元素熟知+元素熟知+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+トーマ+フリーナ(フル),81072,3414,0,23442,1.45,0.75,0.4,0,2.97288,374,2.378429,0.565,0.91:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,ファントム4,元素熟知+元素熟知+会心ダメージ,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),81062,4402,0,23442,0.9,0.75,0,0,2.97288,374,2.378429,0.565,0.91:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,ファントム4,HP%+元素熟知+会心ダメージ,シトラリ(灰燼4)+フリーナ(フル)+ベネット(西風、旧貴族),80884,4665,0,30690,1.3,0.75,0.4,0,2.97288,187,1.990968,0.525,0.91:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,ファントム4,HP%+元素熟知+会心率,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+夜蘭(終焉、9秒平均),80850,4276,0,34578,1.09,0.94,0,0,2.988018,287,2.208852,0.565,1.00:1.99,,(),(),(),(),(),0.28:0.45,0,0,1
赤砂の杖(スキル命中0),楽団+金メッキ,元素熟知+炎バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),80798,3840,0,20332,1.616,0.75,0.866,0,2.520768,347,2.327609,0.565,0.87:1.74,,(),(),(),(),(),0.38:0.24,0,0,1
赤砂の杖(スキル命中0),楽団+金メッキ,元素熟知+炎バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),80798,3840,0,20332,1.616,0.75,0.866,0,2.520768,347,2.327609,0.565,0.87:1.74,,(),(),(),(),(),0.07:0.86,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+トーマ+フリーナ(フル),80773,3414,0,23442,1.916,0.75,0.866,0,2.97288,187,1.990968,0.565,0.91:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
